name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
akuma,"in rage 1, 1, b or f+3, 2",m(Throw),55,16 pc1~,-,Throw(KND),Throw(KND),Rage art
akuma,1 or f+1,h,7,10,+1,+8,+8,
akuma,"1, 1","h, h","7,7",10,-3,+4,+4,
akuma,"1, 2","h, m","7,20",10,-17~-16,KND,KND,
akuma,2 or f+2,Sm,15,15~16,-9~-8,0~+1,0~+1,
akuma,3 or b+3,h,14,15,-8,+3,+3,
akuma,4,h,12,14~15,-13~-12,+2~+3,+2~+3,
akuma,"4, 3","h, h","12,17",14~15,-5~-4,+19k,KND,"Tail spin, Homing"
akuma,1+2 or WS+1+2,h,14,31 pc8~,-20,-8,-8,Power crush
akuma,"1+2, f, f (Cancel)",h,14,315 pc8~,-5,+7,+7,
akuma,"1+2, b, b (Cancel)",h,14,315 pc8~,-15,-3,-3,
akuma,"1+2, *",h,20,40 pc8~,-11,CS,CS,Power crush
akuma,"1+2*, f, f (Cancel)",h,20,405 pc8~,+4,CS(21),CS(21),Power crush
akuma,"1+2*, b, b (Cancel)",h,20,405 pc8~,-6,CS(11),CS(11),Power crush
akuma,"1+2, (Hold long as possible)*",h!,25,65 pc8~54,CS,CS,CS,Power crush
akuma,"1+2 (Hold long as possible)*, f, f (Cancel)",h,25,65 pc8~,CS(21),CS(21),CS(21),Power crush
akuma,"1+2 (Hold long as possible)*, b, b (Cancel)",h,25,65 pc8~,CS(11),CS(11),CS(11),Power crush
akuma,f+3,m,16,17,-4,+7,+7,
akuma,f+4,h,20,16~17,-5~-4,KND,KND,"Tail spin, Homing"
akuma,f+1+2,mm,"8,17","20,32",-8s,+7s,+7s,
akuma,f+1+2 (Second hit miss),m,5,20,–,–,–,
akuma,f+3+4,m (TJ)(TPORT),20,22~23a js9~,-9~-8,+2~+3,+2~+3,Homing
akuma,d/f+1,m,10,13~14,-4~-3,+7~+8,+7~+8,
akuma,"d/f+1, 1","m, h","10,7",13~14,-3,+6,+6,
