name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
alisa,in rage b+1+2 in rage WS+b+1+2 in rage DES b+1+2,"h x 6, (DES)",55,13(~43?) pc8~,+1,KND,KND,Rage art
alisa,in rage f+2+3,m (TJ)m,"12,25","16~17 ,36~37",0~+1,SPD,SPD,"Rage drive, Tail spin"
alisa,"in rage f+2+3, 3+4","m (TJ)m, (SBT)","12,25","16~17 ,36~37",+5~+6,SPD,SPD,"Rage art, Tail spin"
alisa,"in rage f+2+3, f+3+4","m (TJ)m, (DBT)","12,25","16~17 ,36~37",+5~+6,SPD,SPD,"Rage art, Tail spin"
alisa,1,h,7,10,+1,+8,+8,-
alisa,"1, 1","h, h","7,18",10,-3,+5,KND,-
alisa,"1, 1, 1+2","h, h, (DES)","7,18",10,-3,+5,KND,-
alisa,"1, 2","h, h","7,10",10,-2,+4,+9,-
alisa,"1, 2, 2","h, h, l","7,10,17",10,-11~-10,+2~+3,KND,-
alisa,"1, 2, 2*","h, h, l","7,10,22",10,-10~-9,KND,KND,-
alisa,"1, 2, 4","h, h, h","7,10,21",10,-5~-4,KND,KND,Tail spin
alisa,2,h,10,12,-6,+5,+5,-
alisa,"2, 3","h, m","10,8",12,-10~-9,+1~+2,+1~+2,-
alisa,"2, 3, 3","h, m, m (TJ)","10,8,25",12a,-11~-9,KND,KND,Tail spin
alisa,"2, 3, 4","h, m, l (TJ)","10,7,20",js24~,-13~-12,KND,KND,-
alisa,"2, 4","h, h","10,21",12,-5~-4,KND,KND,Tail spin
alisa,3,m,12,13~14,-12~-11,-1~0,-1~0,-
alisa,"3, 2","m, m x 5, (DES)","12,4*5",13~14,-12,+5,+5,-
alisa,4,h,24,13~14,-5~-4,KND,KND,"Tail spin, Homing"
alisa,1+2,m (TJ),21,33~34 js7~,-5~-4,KND,KND,-
alisa,f+2,m,12,17~18,-4~-3,+7~+8,+7~+8,-
alisa,"f+2, 1","m, m, (DES)","12,20",17~18,-14,CS,CS,-
alisa,"f+2, 1+2","m, (DES)",12,17~18,-4~-3,+7~+8,+7~+8,-
alisa,"f+2, 3","m, h (TJ)","12,8",js17~,-8,+4,+4,-
alisa,"f+2, 3, f","m, h (TJ), (Special)","12,8",17~a,-12,0,0,-
alisa,"f+2, 3, 3","m, h (TJ), m","12,8,22",js1~12,-10~-9,ED,ED,wb!
alisa,f+3,h,10,14~15,-14~-13,-3~-2,-3~-2,-
alisa,"f+3, 2","h, h, (DES)","10,17",14~15,-4~-2,KND,KND,Tail spin
alisa,"f+3, 1+2","h, m, (DES)","13,25",14~15,-13~-12,+8k,+8k,Tail spin
alisa,f+4,m,14,16,-12,-2,-2,Homing
alisa,"f+4, 1","m, h","14,14",16,-9~-8,KND,KND,-
alisa,"f+4, 1, 4","m, h, m","14,14,24",16,-14~+12 (-12),KND,KND,-
alisa,f+1+2,m,25,14~15,-12~-11,+7~+8,+7~+8,-
alisa,"f+1+2, 3+4","m, (Special) (TJ)(SBT)",25,14~15a,-16~-15,+3~+4,+3~+4,-
alisa,"f+1+2, f+3+4","m, (Special) (TJ)(DBT)",25,14~15a,-16~-15,+3~+4,+3~+4,-
alisa,d/f+1,m,10,13,-6,+5,+8,-
alisa,"d/f+1, 1","m, h","10,20",13,+1~+2,+8~+9,+8~+9,-
alisa,"d/f+1, 1, 2","m, h, h x 7, (DES)","10,20,4*7",13,+6,+8,+8,-
alisa,"d/f+1, 4","m, m","10,17",13,-9~-8,+5~+6s,KND,-
alisa,d/f+2,m,16,16~17,-9~-8,Launch (JG?)(+7),Launch (JG?),-
alisa,d/f+3,m,14,16,-9,+1,+1,-
alisa,"d/f+3, 3","m, l","14,17",16,-12~-11,+1~+2,KND,-
alisa,d/f+4,m,13,12,-7,+4,+4,-
alisa,d/f+1+2,"m, (DES)",25,18,-13,+8,+8,"Power Crush, Tail Spin"
alisa,d+2,m,17,24~26,-14~-12,+2~+4s,+2~+4s,-
alisa,"d+2, 4","m, m","17,24",24~26a,-13~-10,KND,KND,-
alisa,"d+2, 4, 1+2","m, m, (DES)","17,24",24~26a,-13~-10,KND,KND,-
alisa,d+3,"l (TJ), (Special) (TC)",17,23~32s js9~,-10~-1,+8~+17,KND,-
alisa,d+3 (After stance ends),"l (TJ), (Special) (TC)",17,23~32s js9~,-19~-10,-1~+8,KND,-
alisa,d+4,l,15,17~18,-16~-15,-5~-4,-5~-4,-
alisa,"d+4, 1+2","l, h","15,20",17~18,+2,KND,KND,Tail spin
alisa,d+3+4,l (TJ),20,27~28 js5~ cs20~,-37,KND,KND,Homing
