name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
anna,in rage b+1+2,h,55,13,-9,Throw(KND),Throw(KND),Rage art
anna,in rage qcf+2+3,"m, m)","17,2",15,+5s,JG,JG,Rage drive
anna,1,h,7,10,+1,+8,+8,
anna,"1, 2","h, h","7,1",10,-1,+5,+5,
anna,"1, 2, 1","h, h, h","7,10,6",10,-3,+4,+4,
anna,"1, 2, 1, 4","h, h, h, h","7,10,6,18",10,+7,JG,JG,
anna,"1, 2, 1, d+4","h, h, h, l","7,10,6,12",10 cs,-13,-2,-2,
anna,"1, 2, 3","h, h, l",10 cs,"7,10,10",-14,-3,-3,
anna,"1, 2, 4","h, h, h","7,10,22",10,-6,KND,KND,Tail spin
anna,"1, 4","h, l","7,12",10 cs,-13,-2,-2,
anna,2,h,10,10,+1,+7,+7,
anna,"2, 1","h, h","10,6",10,-3,+4,+4,
anna,"2, 1, 4","h, h, h","10,6,18",10,7,JG,JG,
anna,"2, 1, d+4","h, h, l (TC)","10,6,12",10,-13,-2,-2,
anna,"2, 3","h, m","10,14",10,-11,0,0,
anna,"2, 3, B","h, m (CJM)","10,14",10,-3,+8,+8,
anna,"2, 4","h, h","10,22",10,-6,KND,KND,Tail spin
anna,"2, d+4","h, l (TC)","10,1",10,-14,-3,-3,
anna,3,h,14,14,-16,-5,-5,
anna,"3, 3","h, l (TC)","14,1",14,-17,-6,-6,
anna,"3, 3, 2","h, l, m","14,10,10",14,-13,JG,JG,
anna,"3, 3, 3","h, l, h","14,10,18",14,-6,+5,JG,
anna,"3, 3, 3, 1","h, l, h, m","14,10,18,20",14,+2s,+5s,KND,
anna,"3, 4","h, h","14,2",14,-6,KND,KND,
anna,4,h,15,11,-9,+8,JG,
anna,"4, 3","h, l (TC)","15,13",11,-14,-3,-3,
anna,f+2,h,14,14,-2,+4,+4,
anna,"f+2, 3","h, h","14,2",14,-7,12k,+12k,Tail spin
anna,f+3,m,14,17,-13,-4,-4,
anna,"f+3, B",m (CJM),14,17,-5,+4,+4,
anna,"f+3, 2","m, m","14,2",17,-11,KND,KND,Tail spin
anna,f+4,m,28,19 js14,-14,KND,KND,Wall bounce 
anna,f+1+2 or WS+1+2,m,21,18,-18,KND,KND,
anna,f+2+3,m,25,14,-16,KND,KND,
anna,d/f+1,m,13,13,-1,+5,+5,
anna,"d/f+1, 2","m, h","13(12),10",13,-3,+2,+9,
anna,"d/f+1, 2, 3","m, h, m (TJ)","13,10,20",13,-12,KND,KND,
anna,"d/f+1, 2, 3, b","m, h","13, 10",13,-17,-12,-5,
anna,"d/f+1, 2, 4","m, h, h","13,10,22",13,-5,KND,KND,Tail spin
anna,d/f+2,m,16,16,-12,JG,JG,
anna,d/f+3,m,13,14,-11,+1,+1,
anna,"d/f+3, 1, u or d",m (SS),13,14,-12,0,0,
