name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
armorking,In rage b+3+4,m (throw),55,20,-22,throw,throw,Rage art
armorking,"In rage f, N, d, d/f+1+2",h!,0,20,+24g,+24g,+24g,Rage drive
armorking,1,h,7,10,+1,+8,+8,
armorking,"1,2","h, h","7,10",-,-1,+5,+5,
armorking,"1, 2, 1","h, h, m","7, 10, 17",-,-5,+1,+31g,
armorking,2,l,10,10,+1,+7,+7,
armorking,"2, 1","l, m","10, 12",-,-1,+7,+7,
armorking,3,h,25,17,-14,KND,KND,
armorking,4,h,20,13,-5,+6,JG,
armorking,1+2,m,10,17,-10,0,0,
armorking,"1+2, B",m (BT),10,-,-10,0,0,
armorking,"1+2, 2","m, h","10, 20",-,-3,KND,KND,
armorking,"1+2, 3","m, m","10, 17",-,-13,+8,KND,
armorking,3+4,m (TJ),10,25 js11,-7,+3,+3,
armorking,"3+4, 1","m, m (TJ) (throw)","10, 25(,5)",-,0,Throw,Throw,
armorking,"3+4, 1","m, m (TJ)","10, 25",-,0,+2s,+2s,
armorking,"3+4, 2","m, m (TJ)","10, 25",-,-18,KND,KND,
armorking,1+4,m!,25,52,KND,KND,KND,
armorking,f+2,m,12,15,-11,+2,+2,
armorking,"f+2, 1","m, h","12, 20",-,-9,KND,KND,
armorking,f+3,m,17,16,-3,+4,+4,
armorking,"f+3, 4","m, m ","17, 10",-,-7,+3,+3,
armorking,"f+3, 4, 3","m, m, h","17, 10, 23",-,-7,KND,KND,Tail Spin
armorking,"f+3, 4, 3 + b","m, m,","17, 10",-,-15,-,-,
armorking,f+4,m,21,23,+2s,+7s,KND,
armorking,f+1+2,m,25,20 pc8,-13,KND,KND,Power Crush
armorking,f+1+4 or f+1~4,m,28,13,-20,KND,KND,
armorking,d/f+1,m  ,12,13,-1,+7,+7,
armorking,d/f+2,m,21,15,-12,-1,KND,
armorking,"d/f+2, 1","m, h","21, 8",-,-12g,-1,-1,
armorking,d/f+3,m,17,17,-5,+5,KND,
armorking,d/f+4,m,15,12,-4,+7,+7,
armorking,d/f+1+2,m,20,23,-7,KND,KND,"Homing, Tail spin"
armorking,d/f+3+4,m (TC) (throw),"15(,30)",28 cs13,-18,-7,-7,
armorking,d/b or d+1,sm (TC),5,10 cs4,-5,+6,+6,
armorking,"d+1, 4 or FC+1, 4","sm, m","5, 13",-,-10,+6,+6,
armorking,d+2,m,17,17,-2,+5s,+9,
armorking,"d+2, 4","m, m","17, 17",-,-14,-3,-3,
armorking,"d+2, 4, 3","m, m, m","17, 17, 20",-,-11s,KND,KND,
armorking,d+3,l,11,17,-12,+1,+9,
armorking,d+4,l (TC),9,14 cs4,-13,-2,-2,
armorking,d+1+2,m (TJ),25,30 js21,-8,0,0,
armorking,d+3+4 or FC+3+4 or FC+d/f+4,l (TC),12,17 cs6,-16,-5,-3,
armorking,"d+3+4, 1","l, h","12, 13",-,-9,+15k,KND,Tail spin
armorking,"d+3+4, 3","l, m","12, 13",-,-16,KND,KND,
armorking,d+1+4 or d+2+3,l (special),-,total 27,-,-,-,
armorking,"d+1+4 or d+2+3, 1+2",m (TC) (throw),"18 (,15)",14,-19s,Throw,Throw,
armorking,"d+1+4 or d+2+3, 2",l,20,19,-13,+5,KND,
armorking,d/b+2,m,10,14,-11,0,0,
armorking,"d/b+2, 3","m, m","10, 20",-,-13,+21,+21,
armorking,"d/b+2, 4","m, h","10, 20",-,-9,+13k,KND,Tail spin
armorking,d/b+3,l (TC),20,23 cs8,-26,+5,KND,
armorking,d/b+4,"l (TC, TJ)",20,29 cs6 js16,-20,KND,KND,
armorking,d/b+1+2,m,30,26,+3,KND,KND,
armorking,"d/b+1+2, D",(special),-,-,-,-,-,
armorking,b+1,h,12,12,-7,+5,KND,
armorking,"b+1, 2","h, m","12, 15",-,-12,+6,KND,
armorking,b+2,m,10,15,-9,+2s,+2s,
armorking,"b+2, 1","m, m","10, 8",-,-12,-1,-1,
armorking,"b+2, 1, 2","m, m, h","10, 8, 20",-,-7,KND,KND,Tail spin
armorking,b+3,h,23,16,-10,KND,KND,
armorking,b+4,m,15,15,-11,0,0,
armorking,b+4 (when hit) 1+2,m (throw),"14, 20",-,-,throw,-,
armorking,b+1+2,m,0,18,+1,+5,+16,
armorking,b+1+4,m,24,31,-13,KND,KND,
armorking,b+2+3,m!,50,3,JG,JG,JG,
armorking,u/b+1,h,21,20,-6,KND,KND,Homing
armorking,u or u/f+1,m (TJ),12,18 js9,-12,-1,-1,
armorking,u/b or u or u/f+2,m (TJ),35,48 js9,-18s,KND,KND,
armorking,u/b+3,m (TJ),25,23,-19,KND,KND,
armorking,u or u/f+3,m (TJ),18,21 js17,-8,+5,Launch,
armorking,u/b+4,m (TJ),11,15 js9,-19,-8,-8,
armorking,u+4,m (TJ),14,15 js9,-13,KND,JG,
armorking,u/f+4,m (TJ),13,15 js9,-13,JG,JG,
armorking,u/f+1+2,m (TJ),25,35 js9,+2s,KND,KND,
armorking,u/f+1+2 (hold),m! (TJ),45,67,KND,KND,KND,
armorking,u/f+3+4,m (TJ),23,32 js8,-7,KND,KND,
armorking,"u/f, N, 4",m (TJ),25,23 js9,-11,JG,JG,
armorking,"u/f, N, 1+2",m (TJ),25,70,+2s,KND,KND,
armorking,"u/f, N, 1+2 (hold)",m! (TJ),45,102,KND,KND,KND,
armorking,"u/f, N, 3+4",l (TJ),12,52,-16,-5,-3,
armorking,"u/f, N, 1+4",m! (TJ),25,87,KND,KND,KND,
armorking,"f, F+2",m,23,16,-11,KND,KND,
armorking,"f, f, N, 2",l (TC),17,19 cs12,-18,+7,KND,
