name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
asuka,in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
asuka,"in rage f, F+1+2",m,30,21(22~),+11~+12g,Launch,Launch,Rage drive
asuka,1,h,8,10,-2,+9,+9,
asuka,"1, 1","h, m","8,15",10,-7,+4,+4,
asuka,"1, 2","h, m","8,9",10,-8~-7,+3~+4a,+3~+4a,
asuka,"1, 2, 3","h, m, m","8,9,24",10,-2~0,KND,KND,Tail spin
asuka,"1, 2, 3, *, n (two spins)","h, m, m","8,9,26",10,+6~+7,KND,KND,Tail spin
asuka,"1, 2, 3, * (three spins)","h, m, !","8,9,28",10,KND,KND,KND,Tail spin
asuka,"1, 2, 3, B (Cancel)","h, m","8,9",10,-18~-17,-7~-6a,-7~-6a,
asuka,"1, 2, 4","h, m, m","8,9,20",10,-12~-11,KND,KND,
asuka,"1, 3","h, l","8,10",10,-11,0,0,
asuka,"1, 4","h, l (TC)(LCT)","8,14",cs6~,-11~-9,0~+2,+3~+5,
asuka,2,h,9,12,-11,0,0,
asuka,"2, 1","h, h","9,10",12,-3~-2,+8~+9,+8~+9,
asuka,"2, 1, 1+2","h, h, hh","9,10,8,20",12,-9~-8,KND,KND,Tail spin
asuka,"2, 1, d+1+2","h, h, m","9,10,23",12,-10s,+3s,JG,
asuka,"2, 3","h, m (TJ)","9,20",js18~,-19~-18,KND,KND,
asuka,3,m,17,14,-7,+9,+9,
asuka,"3, 1","m, m?","17,17",14,-11~-10,+8,CS,
asuka,4,h,18,11,-7,+7,Launch (JG?),
asuka,3~4,l (TC),22,26~28s (27~) cs6~,-26,KND,KND,Homing
asuka,1+2,m,21,16~17,-9~-8,CS,CS,
asuka,3+4,mm (TJ),"10,21","23,30~32 js5~",-6~-4,KND,KND,
asuka,"3+4, (d/b, d or d/f)",mm (TJ),"10,21","23, 30~32s",-6~-4,KND,KND,
asuka,1+4 (First hit only),l,5,14,-19,-8,-8,
asuka,1+4,lh,"5,8","14,31",-3(-19s),+9,+9,
asuka,"1+4, 2","lh, h","5,8,10","14,31",-2,+9,+9,
asuka,"1+4, 2, 1","lh, h, h","5,8,10,12","14,31",-2,+9,+9,
asuka,"1+4, 2, 4","lh, h, m","5,8,10,23","14,31",-9,+4,KND,
asuka,"1+4, 2, d+4","lh, h, l","5,8,10,15",cs10~,-23,KND,KND,
asuka,"1+4, 3","lh, m","5,8,24",10~,-2~0,KND,KND,Tail spin
asuka,"1+4, 3, b (Cancel)",lh,"5,8",10~,-20(37s),-9,-9,
asuka,2+3,h(Absorbs 1 h/m hit),21,28~29 (7~),0~+1,KND,KND,
asuka,f+2,m,20,17~18,-18~-17,Launch (JG?),Launch (JG?),
asuka,"f+2, d/b or d or D/F (Cancel)",(Special),-,s,-,-,-,
asuka,f+3,m,24,14~16 (31~33),-2~0,KND,KND,Tail spin
asuka,"f+3, *, n (two spins)",m,26,12~13 (52~53),+6~+7,KND,KND,Tail spin
asuka,"f+3, * (three spins)",!,28,12~13 (70~71),KND,KND,KND,Tail spin
asuka,f+4,h,21,19~21,+3~+5,KND,KND,"Homing, Tail spin"
asuka,f+1+2,h,26,15~16 pc8~14,-9,KND,KND,"Power crush, Wall bounce"
asuka,d/f+1,m,10,13~14,-3~-2,+8~+9,+8~+9,
asuka,"d/f+1, 2","m, h(, (throw))","10,13(,20)",13~14,-1,Throw(KND),Throw(KND),
asuka,"d/f+1, 4","m, m","10,22",13~14,-12~-11,KND,CS,
asuka,d/f+2,m,14,15~16,-6~-5,Launch (JG?)(+5a),Launch (JG?),
asuka,d/f+3,m,22,20~21,-8~-7,KND,KND,
asuka,d/f+4,m,16,12,-9,+2,+2,
asuka,d+2,m,18,18,-4s,+9s,KND,
