name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
bryan,in rage d/f+1+2 or FC+d/f+1+2,m,55,20,-22,KND,KND,Rage art
bryan,in rage b+1+2,m,30,18~19,+6~+7s,KND,KND,Rage drive
bryan,1,h,7,10,+1,+8,+8,
bryan,"1, 2","h, h","7,8",10,-2,+5,+5,
bryan,"1, 2, 1","h, h, m","7,8,18",10,-6,+6,CS,
bryan,"1, 2, 3","h, h, l","7,8,15",10,-12,+2,KND,
bryan,"1, 2, 4","h, h, h","7,8,24",10,-3,KND,KND,Tail spin
bryan,"1, 4","h, h","7,14",10,-7,+4,+4,
bryan,"1, 4, 2","h, h, h","7,14,18",10,-7,+4,CS,
bryan,"1, 4, 2, 1","h, h, h, h","7,14,18,17",10,0,CS,CS,
bryan,"1, 4, 2, 1, 2","h, h, h, h, h","7,14,18,17,22",10,-9,KND,KND,
bryan,"1, 4, 2, 1, u or d (Cancel)","h, h, h","7,14,18",10,-10,+1,CS,
bryan,"1, 4, 2, 4","h, h, h, m (TJ)","7,14,18,21",js16~,-5~-4,KND,KND,Tail spin
bryan,"1, 4, 2, 1, 4","h, h, h, h, m (TJ)","7,14,18,17,21",js16~,-5~-4,KND,KND,Tail spin
bryan,"1, 4, 3","h, h, m","7,14,15",16~,-10,+1,+1,
bryan,"1, 4, 3, 3","h, h, m, h","7,14,15,18",16~,-7,+7,+7,
bryan,2,h,10,10,+1,+7,+7,
bryan,"2, 3","h, m","10,14",10,-10,+6,+6,
bryan,3,m,14,16,-4,+7,+7,
bryan,"3, 2","m, m","14,11",16,-10,+1,+1,
bryan,"3, 2, 1","m, m, m","14,11,10",16,-9,+2,+2,
bryan,"3, 2, 1, 2","m, m, m, m","14,11,10,14",16,-10,KND,KND,
bryan,"3, 2, 1, 4","m, m, m, l","14,14,10,12",16,-11,0,0,
bryan,"3, 3","m, h","14,13",16,-6,+6,+6,
bryan,"3, 3, 2","m, h, h","14,13,20",16,-7~-6,Launch,Launch,
bryan,"3, 3, 4","m, h, m","14,13,25",16,-12,KND,KND,
bryan,4,h,15,12,-7,+6,Launch (JG?),
bryan,"4, 3","h, m","15,12",12,-10~-9,+2~+3,+2~+3,
bryan,"4, 3, 4","h, m, m","15,12,16",12,-12,KND,KND,Tail spin
bryan,"4, 3, 4* (Very long hold)","h, m, m","15,12,25",12,-9~-8,KND,KND,Tail spin
bryan,"4, 3, f+4","h, m, h","15,12,18",12,-5~-4,+6~+7,KND,
bryan,1+2,m,16,17~18,-7~-6,+6~+7,+5~+6b,Homing
bryan,"1+2, 2","m, m","16,20",17,-14,KND,KND,
bryan,3+4,m,20,18,-13,CS,CS,
bryan,f+2,m,10,15,-10,+1,+1,
bryan,"f+2, 1","m, m","10,12",15,-10,+1,+1,
bryan,"f+2, 1, 4","m, m, m","10,12,20",15,-13~-12,KND,KND,
bryan,f+3,m,18,16~18,0~+2,+1~+3,CS,
bryan,f+4,m,10,18,-9,0,0,
bryan,"f+4, 1","m, m","10,10",18,-13~-12s,JG,JG,
bryan,f+1+2,h,22,22~23,+8~+9,KND,KND,Tail spin
bryan,f+1+4,!,21,28,-12,-12,-12,
bryan,d/f+1,m,8,15,-5,+1,+1,
bryan,"D/F+1, 1","m, m","8,2",15,-10,-4,-4,
bryan,"D/F+1, 1, 1","m, m, m","8,2,2",15,-10,-4,-4,
bryan,"D/F+1, 1, 1, 1","m, m, m, m","8,2,2,2",15,-10,-4,-4,
bryan,"d/f+1, 2","m, m","8,20",15,-15,+1,KND,
bryan,d/f+2,m,12,13,-6,+5,+5,
bryan,"d/f+2, 1","m, h","12,11",13,-4,+4,+4,
