name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
claudio,in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
claudio,"in rage b+4, 2, f","m, m, (STB)","11,21",20 8~17,+7,TKMD,TKMD,Rage drive
claudio,1,h,7,10,+1,+8,+8,
claudio,"1, 2","h, h","7,12",10,-1~0,+6~+7,+6~+7,
claudio,"1, 3","h, l","7,11",10,-12,-1,-1,
claudio,2,h,10,12,-3,+3,+3,
claudio,"2, 1","h, m","10,13",12,-6,+5,+5,
claudio,"2, 1, 2","h, m, m","10,13,25",12,-13~-11,KND,Tail spin,Tail spin
claudio,3,h,21,12,-6,-1,JG,
claudio,4,h,15,12,-8,+3,KND,
claudio,"4, 3","h, h (TJ)","15,13",js17~,-5~-4,+15kg,Tail spin,"Homing, Tail spin"
claudio,1+2,m,20,17,-14,+2s,+2s,
claudio,1+2 When hit 1+2,"m, (throw)","20,20",17,-,0,-,
claudio,"1+2 When hit 1+2 When hit , b or f+2","m, (throw), (throw), (STB)","20,20,18",17,-,Throw(KND),Throw(KND),
claudio,3+4,"m (TJ), ?",20,24~26s js13~,-10~-8,KND,KND,
claudio,f+2,h,9,12,0,+6,+6,
claudio,"f+2, 1","h, m","9,12",12,-10~-9,+6~+7s,+6~+7s,
claudio,"f+2, 1, 1+2","h, m, m","9,12,25",12,-18~-17,KND,KND,
claudio,"f+2, 2","h, m(, (Special))(STB)","9,24",12,-26,CS,CS,Tail spin
claudio,f+3,h (TJ),27,18 js9~,-5,+15k,Tail spin,"Homing, Tail spin"
claudio,f+4,m,23,22~23,+4s,+4s,KND,
claudio,f+1+2,m,10,16,-18,-7,-7,
claudio,"f+1+2, 1+2","m, m","10,20",16,-14,KND,KND,
claudio,f+3+4,h,25,17~18,+2~+3,KND,KND,Homing
claudio,d/f+1,m,10,15~16,-2~-1,+9~+10,+9~+10,
claudio,"d/f+1, 2","m, m","10,13",15~16,-15~-14,JG,JG,
claudio,d/f+2,m,19,14,-13,+5,KND,
claudio,d/f+3,m,14,14,-7,+4,+4,
claudio,"d/f+3, 1","m, m","14,20",14,-12,KND,KND,
claudio,"d/f+3, 2","m, h","14,10",14,-2,+4,+4,
claudio,d/f+4,m,14,13,-8,+3,+3,
claudio,d+1,m,16,17~18,-8~-7,+2~+3,+2~+3,
claudio,d+2,l (TC),11,20s cs7~,-12,-1,-1,
claudio,d+1+2 or BT 1+2,m,28,13~14,-18~-17,KND,KND,
claudio,d/b+2 or FC+d/b or d+2,Sm,8,11s cs4~,-4,+7,+7,
claudio,"d/b+2, 1","Sm, m","8,12",s cs1~,-13(s),+3,+3,
claudio,d/b+3,l (TC),23,24~25s cs6~,-17~-16,+1~+2s,KND,
claudio,d/b+4,l,7,15,-13,-2,-2,
claudio,"d/b+4, 3","l, h","7,10",15,-11,0,0,
claudio,d/b+1+2,"m, m","20,20",21,-4,KND,KND,
claudio,b+1,m,25,18,-5,KND,KND,"Tail spin, Homing"
claudio,b+2,h (STB),30,14~15,-9~-8,KND,KND,
claudio,b+3,m,16,13,-4,+7,+7,
claudio,"b+3, 3","m, m",21,13,-12,+7,JG,
claudio,b+4,m,10,17,-14,-3,-3,
claudio,"b+4, 1","m, h","10,18",17,-8,+13k,KND,Tail spin
