name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
devilJin,in rage b+1+2,m (TJ),55,20~21 pc8~17 js8~17,-22~-21,KND,KND,Rage art
devilJin,"in rage f, n, d, d/f+4, 3+4","l, mm (TJ), ?","10,5,5",js16~40,-14,BU,BU,Rage drive
devilJin,1,h,7,10,+1,+8,+8,
devilJin,"1, 1","h, h","7,6",10,-1,+8,+8,
devilJin,"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,
devilJin,"1, 2","h, h","7,8",10,-1,+7,+7,
devilJin,"1, 2, 2","h, h, h","7,8,12",10,-12,+4,+4,
devilJin,"1, 2, 3","h, h, m","7,8,25",10,+4~+6,KND,KND,
devilJin,"1, 2, 3, 4","h, h, m, m","7,8,25,30",10,0~+2,+11~+13s,+11~+13s,
devilJin,"1, 2, 4","h, h, m","7,8,10",10,-10,+4,+4,
devilJin,"1, 2, 4~3","h, h, m (TJ)","7,8,21",js14~26,-7~-4s,KND,KND,
devilJin,"1, 2, 4~1","h, h, Sm, h","7,8,5,5",14~26,-4,+3,+3,
devilJin,"1, 2, 4~1 (First hit only)","h, h, Sm","7,8,5",14~26,-18~-17,-7~-6,-7~-6,
devilJin,2,h,9,10,0,+9,+9,
devilJin,"2, 2","h, h","10,20",10,-13,-2,-2,
devilJin,3,h,16,14,-14,-3,-3,
devilJin,4,h,21,16,-9,KND,CS,
devilJin,4~3 or WS+4~3,m (TJ),21,29~32 (30~) js14~26,-7~-4s,KND,KND,
devilJin,1+4,"Sm, h","5,5","16~17,31",-4,+3,+3,
devilJin,1+4 (First hit only),Sm,"5,5",16~17,-18~-17,-7~-6,-7~-6,
devilJin,"1+4, 2","Sm, h, h","5,5,10",16~17,-7~-6,+4~+5,+4~+5,
devilJin,"1+4, 2, 4","Sm, h, h, m","5,5,10,25",16~17,-13~-12,+2~+3s,+2~+3s,
devilJin,"1+4, 2, d+4","Sm, h, h, l?","5,5,10,14",16~17,-23,KND,KND,
devilJin,f+2,m,14,17~18,-8~-7,+3~+4,+3~+4,
devilJin,"f+2, 4","m, m","14,17",17~18,-10,+1,uKZD,
devilJin,f+3,h,30,21~23,-4~-2,KND,KND,Tail spin
devilJin,f+4,m,10,15~16,-12~-11,-1~0,-1~0,
devilJin,"f+4, 3","m, m?","10,15",15~16a,-33~-32,Launch (JG?),Launch (JG?),
devilJin,"f+4, 3, U","m, m?, (Special) (TJ)(FLY)","10,15",15~16a,-14~-13,Launch (JG?),Launch (JG?),
devilJin,f+1+2,mm,"12,25","17~18, 45~46",-12~-11,KND,KND,Wall bounce
devilJin,"f+1+2, b",m,12,17~18,-18~-17,-8,-8,
devilJin,f+3+4,"mm (TJ), ?","10,20","16~17, 31~32 js10~",-16~-15,KND,KND,
devilJin,d/f+1,m,11,13,-3,+8,+8,
devilJin,"d/f+1, 2","m, m","11,15",13,-8~-7,+3~+4,+3~+4,
devilJin,"d/f+1, 2, f, f","m, m, (Special)","11,15",13,-6~-5,+5~+6,+5~+6,
