name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
dragunov,in rage d+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
dragunov,"in rage f, f, f+1+2",m,30,15~16 (18~),+5s,Launch,Launch,Rage drive
dragunov,"in rage f, f, f+1+2 , d/b+1+2","m, m(Throw)","30,5",15~16 (18~),Throw(KND),Throw(KND),Throw(KND),Rage drive
dragunov,1,h,7,10,+1,+8,+8,
dragunov,"1, 1","h, h","7,8",10,-4,+7,+7,
dragunov,"1, 1, 3","h, h, m","7,8,22",10,-9~-8,KND,KND,
dragunov,"1, 2","h, m","7,8",10,-9,+2,+2,
dragunov,"1, 2, 1","h, m, m","7,8,20",10,-14~-13,KND,uKZD,
dragunov,"1, 3","h, h","7,14",10,-7~-6,+1~+2,+9~+10,
dragunov,"1, 3, 2","h, h, m","7,14,20",10,-12~-11,KND,KND,
dragunov,"1, 3, 2~1+2","h, h, h(Throw)","7,14,35",10,-,Throw(KND),-,
dragunov,"1, 3, 2~1+2 B (Cancel)","h, h, (Special)","7,14",10,-32~-31,-24~-23,-16~-15,
dragunov,2,h,10,10,0,+9,+9,
dragunov,"2, 1","h, h","10,8",10,-2,+6,+6,
dragunov,"2, 1, 3","h, h, h","10,8,24",10,-9~-8,KND,KND,
dragunov,"2, 1, 4","h, h, l","10,8,14",10,-12,+3s,+3s,
dragunov,3,m,10,15~16,-9~-8,+2~+3,+2~+3,
dragunov,"3, 1","m, h","10,8",15~16,-2~-1,+7~+8,+7~+8,
dragunov,"3, 1, df","m, h","10,8",15~16,0,+8,+8,
dragunov,"3, 1, 2","m, h, m","10,8,24",15~16,-12~-10,KND,KND,
dragunov,"3, 1, 4","m, h, h","10,8,27",15~16,-9,KND,KND,
dragunov,4,h,15,12,-9,-1,+7,
dragunov,"4, 1","h, h","15,12",12,-6~-5,+8~+9,+8~+9,
dragunov,"4, 3","h, m","15,20",12,-12~-11,KND,KND,
dragunov,"4, 4","h, m (TJ)","15,25",s js22~,+3~+4,KND,KND,Tail spin
dragunov,1+2,m,25,21~22 pc8~20,-14,KND,TUKD,Power crush
dragunov,3+4,h (TJ),25,25~26d js13~,-14~-13,CS,CS,
dragunov,"3+4, Any button","h (TJ), (Special)",25,25~26s js13~,-24~-23g,CS,CS,
dragunov,f+2,h,16,19~20,-8~-7,+3~+4,+8~+9,
dragunov,"f+2, 4","h, m","16,24",19~20,-7~-6,KND,uKZD,
dragunov,f+3,m,11,20,-6,+2,+2,
dragunov,"f+3, D/F","m, (Special)",11,20,-1,+7,+7,
dragunov,"f+3, 2","m, h","11,20",20,-9~-8,KND,KND,Tail spin
dragunov,"f+3, 3","m, m(, (throw))","11,14(,20)",20,-12,Throw(KND),Throw(KND),
dragunov,"f+3, 3 ","m, m","11,14",20,-12~-9,-1~+2s,+4~+7s,
dragunov,f+4,h,16,14~15,-7~-6,+4~+5,+4~+5,
dragunov,"f+4, 4","h, h","16,14",14~15,-11~-10,0~+1,Launch (JG?),
dragunov,"f+4, 4, 3","h, h, h","16,14,20",14~15,-5~-4,KND,KND,
dragunov,"f+4, d+4","h, l","16,12",14~15,-12,+3s,+3s,
dragunov,f+1+2,h,20,17~18,-9~-8,KND,KND,Tail spin
dragunov,d/f+1,m,13,13,-2,+7,+7,
dragunov,"d/f+1, 4","m, h","13,23",13,-7~-6,KND,KND,
dragunov,d/f+2,m,14,15~16,-12~-11,Launch (JG?),Launch (JG?),
dragunov,d/f+3 (Close),"m(, (throw))","16(,20)",17,-6,Throw(KND),Throw(KND),
dragunov,d/f+3,m,16,17~20,-6~-3,+5~+8s,+10~+13s,
dragunov,d/f+4,m,14,12,-9,+2,+2,
dragunov,d/f+1+2 or FC+d/f+1+2,(Special)(lReturns move),20～,12(s),-, Attack returned(KND),-,
dragunov,d+1,m,18,18~19,0~+1s,+7~+8s,KND,
dragunov,d+2,l (TC),17,18~19s cs6~,-13~-12,0,+13~+14g,
dragunov,d+3,l,13,17~18,-14~-13,-3~-2,0~+1s,
dragunov,"d+3, 4","l, m","13,18",17~18,-11,+5,+23g(KND),
dragunov,d+4,l,12,15~16,-15~-14,-9~-8,-4~-3,
dragunov,"d+4, 1","l, h","12,8",15~16,-11~-10,+5~+6,+5~+6,
dragunov,"d+4, 1, 3","l, h, h","12,8,21",15~16,-16~-15,KND,KND,
dragunov,"d+4, 4","l, h","12,23",15~16,-15~-14,KND,KND,
dragunov,d/b+2,m,12,14~15,-7~-6,+4~+5,+4~+5,
dragunov,"d/b+2, 1","m, m","12,10",14~15,-10~-9,+1~+2,+3~+4,
dragunov,"d/b+2, 1, 2","m, m, m","12,10,20",14~15,-14,uKZD,uKZD,
dragunov,d/b+3 (Close),l (TC),21,27 cs6~,-26?,KND,Throw(KND),
dragunov,d/b+3,l (TC),14,27 cs6~,-26?,-5?,KND,
dragunov,d/b+3~1+2,l(Throw),45,38,-,Throw(KND),-,
dragunov,b+1,m,14,17,-10,+1,+1,
dragunov,"b+1, 2","m, m","14,18",17,-13~-12,+9~+10k,KND,Tail spin
dragunov,b+2,m,14,15s,-3,+8,+8,
dragunov,"b+2, 1","m, h","14,11",15,-5~-3,+6~+8,+6~+8,
dragunov,"b+2, 1, 3","m, h, l (TC)","14,11,24(,30)",cs15~,-26,KND,Throw(KND),
dragunov,"b+2, 1, 3 (Far)","m, h, l (TC)","14,11,16",cs15~,-26,-7~-5,KND,
dragunov,"b+2, 1, 3~1+2 (Cancel)","m, h, l(Throw)","14,11,45",15~,-,Throw(KND),-,
dragunov,"b+2, 1, 3~1+2, d (Cancel)","m, h, (Special)","14,11",15~s,-36~-34,-25~-23,-25~-23,
dragunov,b+3,h,17,14~15,-9~-8,+11~+12kg,+11~+12kg,"Homing, Tail spin"
dragunov,b+4,m,15,15,-4,+7,+7,
dragunov,"b+4, 2","m, m","15,15",15,-7,+4s,+5s,
dragunov,"b+4, 2, D","m, m","15,15",15s,-7,+4s,+5s,
dragunov,"b+4, 2, 1","m, m, h","15,15,17",15,+1~+2,+5~+6,+5~+6,
dragunov,"b+4, 2, 1+2","m, m, m(Throw)","15,15,5",15,-,Throw(KND),-,
dragunov,"b+4, 2, 1+2, 1 or 2 or 3 or 4 (Cancel)","m, m, (Special)","15,15",15a,-50,-39s,-38s,
dragunov,"b+4, 3","m, h","15,22",15,-9~-8,KND,KND,Tail spin
dragunov,b+1+2,m,26,22~23,+6~+7,KND,KND,
dragunov,b+3+4,h(Absorbs 1 h/m hit),22,28~29 (7~15),-2~-1,KND,KND,
dragunov,b+2+3,!,60,63~64,KND,KND,KND,
dragunov,u/b+2,h,18,20,-5,+9,CS,
dragunov,u/f+1,h,20,15,-9,KND,KND,
dragunov,u or u/f+2,m (TJ),20,30~31 js9~29,-5~-4,KND,KND,
dragunov,u/f+3,m (TJ),16,17~21,-7~-3,KND,KND,
dragunov,u/b+4,m (TJ),21,22~23 js9~,-17~-16,KND,KND,
