name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
feng,in rage d+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
feng,in rage b+1+2*,m,35,13~14,+3~+4 (wl+9),KND,KND,Rage drive
feng,1,h,7,10,+1,+8,+8,
feng,"1, 1","h, m","7,21",10,-11~-10,+2~+3,CS,
feng,"1, 1, 2","h, m, m","7,21,5",10,-14~-13,-3~-2,-3~-2,
feng,"1, 1, 2, 1","h, m, m, m","7,21,5,5",10,-14~-13,-1~0,-1~0,
feng,"1, 2","h, h","7,9",10,-1,+7,+7,
feng,"1, 2, 2","h, h, h","7,9,10",10,-13,+3,+3,
feng,"1, 2, 2, b","h, h, h","7,9,10",10b,-11,+3,+3,
feng,"1, 3","h, h","7,17",10,-5~-4,+6~+7,Launch (JG?),
feng,2,h,8,10,-3,+5,+5,
feng,"2, 4","h, m","8,10",10,-12,-1,-1,
feng,"2, 4, 1","h, m, m","8,10,20",js12~19,-13,KND,KND,
feng,"2, 4, 1, b (Cancel)","h, m","8,10",12~19b,-13,-2,-2,
feng,3,h,15,16,-11,0,0,
feng,"3, 3","h, h","15,18",16,-10,+1,+1,
feng,"3, 3, 4","h, h, l","15,18,23",16b,-12~-11,KND,KND,
feng,"3, 3, 4, b (Cancel)","h, h","15,18",16b,-17,-6,-6,
feng,4,h,17,11,-8,+3,KND,
feng,2~1,m,10,24~25 (24~),-3~-2s,+8~+9s,+8~+9s,
feng,"2~1, 1","m, m","10,20",24~25 (24~),-13~-12,Launch,Launch,
feng,3~4,m (TJ),27,34~36 (35~) js20~,-7~-5s,KND,KND,
feng,"3~4, b",m (TJ),27,34~36b (35~) js20~,-2~-0s,KND,KND,
feng,"3~4, 3","m (TJ), l","27,21",s cs6~,-26~-14,KND,KND,
feng,4~3,m (TC),25,27~36a (28~) js15~,-4~+5,+4~+13s,KND,
feng,1+2,m(Absorbs 1 h/m hit),24,21~22 (2~7),-13~-12,CS(KND),CS,
feng,1+4,lh,"7,10","21~22, 41~42",-31s,+6~+7,+6~+7,
feng,1+4 (Second hit only),h,10,41,-2~-1,+6~+7,+6~+7,
feng,f+2,m,12,16~17,-8~-7,+3~+4,FS (+10~+11g) 23~24,
feng,"f+2, 1","m, m","12,10",16~17,-5,+6,+6,
feng,"f+2, 1, 2","m, m, m","12,10,20",16~17,-19~-18,KND,KND,
feng,f+3,m,10,21,-3,+9,+9,
feng,"f+3, 4","m, m (TJ)","10,20",js21~,-16~-15,Launch (JG?),Launch (JG?),
feng,f+4,h (TJ),15,18~19,-9~-8,CS,CS,
feng,"f+4, B",h (TJ),15,18~19b,-5~-4,CS,CS,
feng,"f+4, 3","h (TJ), m","15,30",18~19,-10~-7,KND,KND,
feng,"f+4, 4 (Close)","h (TJ), l (TC)","15,22",cs10~,-12,KND,KND,
feng,"f+4, 4","h (TJ), l (TC)","15,15",cs10~,-12~-10,-1~+1,KND,
feng,f+1+2,h,28,19~20,-9~-8,KND,KND,"Tail spin, Homing"
feng,d/f+1,m,12,14,0,+6,+36g(m),
feng,d/f+2,m,15,20,-9,+4,+4,
feng,"d/f+2, 2","m, m","15,21",20,-6~-5,KND,KND,Wall bounce
feng,d/f+3,m,21,18~19,-7~-6,Launch,Launch,
feng,d/f+4,m,14,15,-6,+5,+5,
feng,"d/f+4,2",m,"14,15",15,-11,+1,+1,
feng,"d/f+4,2,1+2",m,"14,12,23",15,-19,KND,KND,
feng,d/f+3+4,m,23,23~27,-8~-4,KND,KND,"Homing, Tail spin"
feng,d+2,l (TC),17,20~21s cs6~,-12~-11,-1~0,KND,
feng,d+4,l,7,14~15,-11~-10,0~+1,0~+1,
feng,"d+4, 1+2","l, m","7,22",14~15,-10,KND,KND,
feng,d/b+1,m,12,16,-12,+4,+4,
feng,"d/b+1, 2","m, m","12,18",16,-12~-11,+7~+8,KND,
feng,"d/b+1, F","m, (STC)",12,16,-16,0,0,
feng,"d/b+1, F (After stance ends)","m, (STC)",12,16,-41,-25,-25,
feng,"d/b+1, B","m, (KNP)",12,16,-9,+7,+7,
feng,"d/b+1, B (After stance ends)","m, (KNP)",12,16,-35,-19,-19,
feng,"d/b+1, 4","m, h","12,23",16,-2~-1,KND,KND,Tail spin
feng,d/b+2,l (TC),10,20~21 cs6~,-11~-10,0~+1,0~+1,
feng,"d/b+2, 2","l (TC), l (TC)","10,10",cs1~,-17~-15,KND,KND,
feng,"d/b+2, 2, b",l (TC),10,20~21 cs6~,-15~-13,-4,-4,
feng,"d/b+2, 2, 2","l (TC), l (TC), m","10,10,25",1~,-8~-7,KND,KND,
feng,"d/b+2, 2, B (Cancel)",l (TC),5,20~21 cs6~,-17~-16,-6~-5,-6~-5,
feng,d/b+3,l (TC),14,16~17s cs6~,-15~-14,+4~+5s,+4~+5s,
feng,d/b+4,l (TC),20,30~32s cs6~,-26,KND,KND,Homing
feng,d/b+1+2,m,15,21~22,0~+1,+8~+9,+8~+9,
feng,"d/b+1+2, 2","m, l (TC)","15,15",s cs8~,-11~-10,0~+1,KND,
feng,b+1,h,17,10~11,-10~-9,+1~+2,KND,
feng,b+2,m?,15,17,-11,0s,0s,
feng,"b+2, 3","m, l?","15,10",17,-11~-9,0~+2,+8~+10s,
feng,"b+2, 3, 4","m, l, m","15,10,13",17,-12~-11,KND,KND,
feng,"b+2, 3, 4, 2","m, l, m, m","15,10,13,22",17,-6~-5s,+4~+5s,+4~+5s,
feng,b+3,m,12,23~24,-8~-7,+3~+4,+3~+4,
feng,"b+3, 3","m, h","12,15",23~24,-6,+3,CS,
feng,B+3~4,(Special),-,b,-,-,-,
feng,b+4,m,14,12,-9,+2,+2,
feng,b+1+2,m,30,13~14,-19~-18,KND,KND,
feng,u/b+2,mh,"13,21","16,32~33",-10~-9,+9~+10,+9~+10,
feng,"u/b+2 (First hit only, Second hit miss)",m,13,16,-37,-26,-26,
feng,u/b+1+2,!,70,79,CS,CS,CS,
feng,u+2,m (TJ),30,38~40 js9~,+2~+4,KND,KND,
feng,u/b or u or u/f+1,m (TJ),12,18~19 js6~,-7~-6,+4~+5 (+12~+13),+4~+5 (+12~+13),
feng,u/f+2,m,18,18,-10,+3,CS,
feng,u/b or u or u/f+3,m (TJ),22,21~23 js9~,-2~0,KND,KND,
feng,u/b+4,m (TJ),11,15~17 js9~,-20~-18,-8~-6,-8~-6,
feng,u+4,m (TJ),15,15~17 js9~,-13~-11,KND,Launch (JG?),
