name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
ganryu,in rage d/b+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
ganryu,in rage d/f1+4,m,"19,24",23~24,-6,KND,KND,Rage drive
ganryu,1,h,10,12,+3,+9,+11,
ganryu,"1, 2","h, h","10,10",12,-1,+7,+10,
ganryu,"1, 2, 1","h, h, h","10,10,8",12,-1,+7,+10,
ganryu,"1, 2, 1, 2","h, h, h, h","10,10,8,5",12,-1,+7,+10,
ganryu,"1, 2, 1, 2, 1","h, h, h, h, h","10,10,8,5,5",12,-1,+7,+10,
ganryu,"1, 2, 1, 2, 1, 2","h, h, h, h, h, h","10,10,8,5,5,5",12,-18,-7,-7,
ganryu,"1, 2, 1, 2, 1, 2, 1","h, h, h, h, h, h, h","10,10,8,5,5,5",12,-18,-7,-7,
ganryu,"1, 2, 1, 2, 1, 2, 1, 2","h, h, h, h, h, h, h, h","10,10,8,5,5,5,",12,-18,-7,-7,
ganryu,2,h,12,12,+1,+7,+9,
ganryu,"2, 1","h, h","12,12",12,-3,+8,+8,Jails
ganryu,"2, 1, 2","h, h, m","16,16,27",14,-11~-10 OC,Launch,Launch,
ganryu,"2, 1, 3+4","h, h","12,12",12,+1,+12,+12,Ends in TAI
ganryu,"2, 4","h, l","12,14",12,-12,-1,-1,
ganryu,3,h,22,16,-8,KND,KND,
ganryu,"3, 4","h, h","22,20",16,-8,+3,+3,
ganryu,"3, 4, 3","h, h, h","22,20,25",16,-12,KND,KND,
ganryu,"3, 4, 3, 4, ,","h, h, h, h, , ","22,20,25,20,,",16,-8,+3,+3,
ganryu,"3, 4, 4","h, h, m","22,20,17",16,-12~-10 OC,KND,KND,
ganryu,4 or f+4,h,20,15~16,-8~-7,+3~+4,+3~+4,
ganryu,"4, 4","h, m","20,18",15~16,-12~-10 OC,KND,KND,
ganryu,"4, 3","h, h","20,25",15~16,-12,KND,KND,
ganryu,"4, 3, 4","h, h, h","20,25,20",15~16,-8,+3,+3,
ganryu,"4, 3, 4, 3, ,","h, h, h, h, , ","20,25,20,25,,",15~16,-12,KND,KND,
ganryu,1+2,m,19,19~20,-12~-11,+8~+9 OC,Launch,
ganryu,"1+2, 1+2","m, m","19,22",19~20,-13~-12,Launch,Launch,
ganryu,"1+2, 3+4",m,19,19~20,-3~-2,+17,Launch,
ganryu,TAI1,h,17,11,-3,+8,CS,
ganryu,TAI2,h,20,14~15,-9,KND,CS,"Homing, tail spin"
ganryu,TAI3,l,24,20~21,-12~-11,+9~+10,+9~+10,
ganryu,TAI4,m,14,13~14,-14,-3,CS,
