name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
geese,in rage d/b+1+2 or FC+d/b+1+2,h!,55,20 pc4~,KND,KND,KND,Rage art
geese,"in rage hcb, f+3+4",m,10,20~24 pc8~17,-22~-18,-16~-12,-16~-12,Rage art
geese,When first part hits 1,"m, h","10,4",20~24 8~17,-,+5,-,Rage art
geese,"When first part hits 1, 2","m, h, m","10,4,4",20~24 8~17,-,-8~-7,-,Rage art
geese,"When first part hits 1, 2, 4","m, h, m, m","10,4,4,4",20~24 8~17,-,-9,-,Rage art
geese,"When first part hits 1, 2, 4, 1","m, h, m, m, m","10,4,4,4,4",20~24 8~17,-,-8,-,Rage art
geese,"When first part hits 1, 2, 4, 1, 4","m, h, m, m, m, l","10,4,4,4,4,4",20~24 8~17s,-,-13,-,Rage art
geese,"When first part hits 1, 2, 4, 1, 4 , 1","m, h, m, m, m, l, m","10,4,4,4,4,4",20~24 8~17,-,-9,-,Rage art
geese,"When first part hits 1, 2, 4, 1, 4 , 1, 3","m, h, m, m, m, l, m, h","10,4,4,4,4,4",20~24 8~17,-,-1~+2,-,Rage art
geese,"When first part hits 1, 2, 4, 1, 4 , 1, 3, 2","m, h, m, m, m, l, m, h, h","10,4,4,4,4,4",20~24 8~17,-,+29g,-,Rage art
geese,"When first part hits 1, 2, 4, 1, 4 , 1, 3, 2, 1+2","m, h, m, m, m, l, m, h, h, !","10,4,4,4,4,4",20~24 8~17,-,KND,-,Rage art
geese,1 or BT 1 or 2,h,7,10,+1,+8,+8,
geese,"1, 1+2","h, (MAX )",7,10,-2,+5,+5,
geese,"1, 1","h, h","7,7",10,-1,+6,+6,
geese,"1, 1, 2","h, h, h","7,7,9",10,-12,+7,+7,
geese,"1, 2","h, m","7,10",10,-7,+4,+4,
geese,"1, 2, 1","h, m, m","7,10,15",10,-19~-18,-8~-7,-8~-7,
geese,"1, 2, 1, 1","h, m, m, h","7,10,15,20",10,-15,KND,KND,
geese,"1, 2, 3","h, m, h","7,10,15",10,+1~+3,+20~+22kg,+20~+22kg,
geese,"1, 2, 3, 1+2","h, m, h, (MAX )","7,10,15",10,+5~+7,+24~+26kg,+24~+26kg,
