name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
gigas,in rage 1+2,m (TJ),55,20~21 pc8~17 js8~17,-42~-41,KND,KND,Rage art
gigas,in rage f+3+4*,! (GOL),0,29,+81,+81,+81,Rage drive
gigas,1,h,7,10,+1,+8,+8,
gigas,"1, 2","h, h","7,24",10,-17,KND,KND,
gigas,2,h,10,10,-5,+6,+6,
gigas,"2, 1","h, h","10,12",10,-6,+5,+5,
gigas,"2, 1, 3+4","h, h, (SG)","10,12",10,-4,+7,+7,
gigas,3,m,17,14~15,-9~-8,+2~+3,KND,
gigas,4,m,20,16~17,-9~-8,+2~+3,KND,
gigas,f+2,h,20,16~18,-9~-7,+7~+9,CS,
gigas,"f+2, 1","h, h","20,17",16~18,-3~-2,+5~+6,+5~+6,
gigas,"f+2, 1, 1","h, h, m","20,17,25",16~18,-12~-11,KMUD,KMUD,
gigas,"f+2, f+1","h, h","20,20",16~18,-9~-8,CS,CS,Tail spin
gigas,"f+2, d+1","h, m","20,17",16~18,-13~-12s,+2~+3s,+2~+3s,
gigas,"f+2, d+1, 3+4","h, m, (SG)","20,17",16~18,-2s,+13s,+13s,
gigas,f+3,m,17,23,-9,+9,+9,
gigas,"f+3, 2","m, m","17,20",23~24,-13,KND,KND,
gigas,"f+3, 2, F","m, m, (GOL)","17,20",23~24,-27,KND,KND,
gigas,"f+3, 2*","m, m","17,40",23~24,+15g,KND,KND,
gigas,"f+3, 2*, F","m, m, (GOL)","17,40",23~24,+18,KND,KND,
gigas,f+4,m,20,24,-14,KND,KND,
gigas,"f+4, F","m, (GOL)",20,24,-18,KND,KND,
gigas,f+4*,m,40,43~44,+26g,KND,KND,
gigas,"f+4*, F","m, (GOL)",40,43~44,+18,KND,KND,
gigas,f+1+2,h,20,13,-9,+6s,Throw,
gigas,f+1+2(CH in front),"h, (throw)","18,10*4",13,-,-,Throw,
gigas,d/f+1,m,14,14,-6,+4,+4,
gigas,d/f+2,m,15,15,-7,+6,+6,
gigas,"d/f+2, 1","m, m","14,21",15,-13~-12,KND,KND,Tail spin
gigas,d/f+3,m,11,13,-9,+4,+4,
gigas,"d/f+3, 1","m, h","11,12",13,-4,+4,+10,
gigas,"d/f+3, 1+2","m, m","11,20",13,-16,CS,CS,
gigas,"d/f+3, 1+2, 1+2","m, m, h","11,20,20",13,-1~0,KND,KND,
gigas,d/f+4,m,12,14,-3,+3,+8,
gigas,"d/f+4, 1+2","m, m","12,30",14,+1~+2s,+5~+6s,+5~+6s,
gigas,d/f+1+2,mm,"13,13","25~26, 47~48",-20~-19,-9~-8s,KND(KND),
gigas,"d/f+1+2, 1+2","mm, m","13,13,20","25~26, 47~48",-18~-17s,KND,KND,
gigas,d+2,m,13,15,-14,KND,KND,
gigas,d+3,l,18,16,-12,-1,-1,
gigas,"d+3, 2","l, m","18,20",16,-12s,0s,KND,
gigas,d+1+2,m,30,30~31 pc8~29,-13~-12,KND,KND,"Wall bounce, Power crush"
gigas,d+3+4,(Special),-,pc6~,-,-,-,Power crush
gigas,d/b+2,l (TC),20,23~24 cs6~,-14~-13,+3~+4,KND,
gigas,d/b+3,l (TC),16,21s cs6~,-20,-4,-4,
gigas,"d/b+3, 2","l, h (TC)","16, 20",21s cs6~,-9,Tail spin,Tail spin,Tail spin
gigas,d/b+4,l (TC),8,14s cs4~,-13,-2,+3,
gigas,d/b+1+2,m,35,29~32,-8~-5,KND,KND,
gigas,b+1,m,20,20~22,-15~-13,Launch,Launch,
gigas,b+2,m,20,20,-13,KND,KND,
gigas,"b+2, F","m, (GOL)",20,20,-18,KND,KND,
gigas,b+2*,m,40,41~42,+15g,KND,KND,
gigas,"b+2*, F","m, (GOL)",40,41~42,+18,KND,KND,
gigas,b+3,m,26,21~23,-9~-7,KND,KND,
gigas,b+4,m,20,20~22,-9~-7s,+1~+3s,KND,
