name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
heihachi,in rage d+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
heihachi,"in rage b+2, 1+2","m, h","20,21",20 8~17,+9~+10s,JG,JG,Rage drive
heihachi,"in rage 1, b+2, 1+2","h, m, h","7, 20,21",10,+9~+10s,JG,JG,Rage drive
heihachi,1,h,7,10,+1,+8,+8,
heihachi,"1, 1","h, h","7,6",10,-1,+8,+8,
heihachi,"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,
heihachi,"1, 2","h, h","7,8",10,-1,+7,+7,
heihachi,"1, 2, 2","h, h, h","7,8,12",10,-12,+4,+4,
heihachi,"1, 2, 2~1+2","h, h, m","7,8,25",10,-6~-5,KND,KND,
heihachi,"1, 2, 2~1+2 u or d","h, h, (Special)","7,8",10,-16,-9,-9,
heihachi,"1, 2, 4","h, h, h","7,8,21",10,-9,KND,CS,
heihachi,"1, b+2","h, m","7,21",10,-2,+8,+8,
heihachi,"1, b+2, 1","h, m, m","7,21,20",ar36~,-15~-11,Launch,Launch,
heihachi,"1, b+2, 4","h, m, m (TJ)","7,21,30",js17~,+5,KND,KND,
heihachi,2,h,10,10,0,+9,+9,
heihachi,"2, 2","h, h","10,18",10,-13,-2,-2,
heihachi,"2, 2~1+2","h, m","10,25",10,-6~-5,KND,KND,
heihachi,"2, 2~1+2 u or d","h, (Special)",10,10,-14,-5,-5,
heihachi,3,h,15,14,-10,+1,+1,
heihachi,"3, 4","h, m","15,20",14,-14~-13,+3~+4,CS,
heihachi,4,h,21,16,-9,KND,CS,
heihachi,4~3 WS+4~3,m (TJ),25,35~37d (36~) js10~,-11~-9,KND,KND,
heihachi,1+2,m,25,12~13,-12~-11,KND,KND,
heihachi,f+2,h,13,15~16,-9~-8,+2~+3,+2~+3,
heihachi,"f+2, 3","h, m","13,20",15~16,-3~-1,KND,CS,
heihachi,f+2~1+2,m,25,16(17~),-6~-5,KND,KND,
heihachi,f+2~1+2 u or d,(Special),-,16(17~),-,-,-,
heihachi,f+3,m,20,18~20,-3~-1,KND,CS,
heihachi,f+4,m,20,19~20,+4~+5s,+7~+8s (+13~+14),KND,
heihachi,f+1+2,h,15,12~13,-14~-13,KND,KND,
heihachi,d/f+1,m,10,13~14,-1~0,+9~+10,+9~+10,
heihachi,"d/f+1, 1","m, h","10,8",13~14,-2,+4,+4,
heihachi,"d/f+1, 2","m, m","10,24",13~14,-13~-12s,KND,KND,
heihachi,d/f+2,m,14,15~16,-7~-6,+4~+5,Launch (JG?),
heihachi,d/f+4,m,15,12,-6,+5,+5,
heihachi,d/f+1+2,m,25,24~25 pc8~23,-14~-13,KND,KND,Power crush
heihachi,d+1,m,16,17~18,-9~-8,+2~+3,+2~+3,
heihachi,"d+1, D",m,16,17~18s,-9~-8,+2~+3,+2~+3,
heihachi,"d+1, 2","m, m","16,17",17~18,-9~-8,+6~+7,KND,
heihachi,d+3 or d/f+3+4,m,25,22~23,-7~-6s,KND,KND,
heihachi,d+1+4,!,50,60,KND,KND,KND,
heihachi,d+2+3,(Special)!,0,63,-3,-3(KND),-3,
heihachi,d/b+2,l (TC),23,23~25s cs8~,-18~-16,+5~+7s,+5~+7s,
heihachi,d/b+1+2,mm?,"10,20","21~22, 38~39",-13~-12,+5~+6,+5~+6,
heihachi,b+1,h,14,15~16,-11~-10,-5~-4,-5~-4,Homing
heihachi,"b+1, 2","h, h","14,20",15~16,-9,+15kg,CS,Tail spin
heihachi,"b+1, 2~1+2","h, m","14,25",15~16,-6~-5,KND,KND,
heihachi,"b+1, 2~1+2 u or d","h, (Special)",14,15~16,-19~-18,-13~-12,-13~-12,
heihachi,b+2,m,20,22~23,-2~-1,KND,KND,Wall bounce
heihachi,b+3,h,14,14~16,-4~-2,+7~+9,+7~+9,
heihachi,"b+3, 3","h, m","14,25",14~16,-12~-8s,KND,KND,
heihachi,b+4,m,20,18~20,-9~-7,KND,KND,"Homing, Tail spin"
heihachi,b+1+2,m,17,19~20,-9~-8,+2~+3,+2~+3,
heihachi,"b+1+2, 1+2","m, m","18,24",19~20,-13,KND,KND,
heihachi,u/f+3,m (TJ),17,28~29 js9~,-10~-9,KND,KND,
heihachi,"u/f+3, 4","m (TJ), m (TJ)","17,20",js1~,+3~+4,KND,KND,Tail spin
heihachi,u/f+4,m (TJ),25,24~27 js9~,-5~-2,KND,KND,Tail spin
heihachi,"f, F+2",m,22,19~20 (20~),-16~-15,Launch,Launch,
heihachi,"f, F+3",m,25,20~22 (21~),-3~-1s,KND,KND,
heihachi,"b, f+2",m,12,15~16 (15~),-7~-6,+4~+5,+4~+5,
heihachi,"b, f+2, 1","m, h","12,24",15~16 (15~),-9,KND,KND,
heihachi,"b, f+2, 2","m, m","12,21",15~16 (15~),-12s,+1s,KND,
heihachi,"b, f+2, 3","m, h","12,20",15~16 (15~),-9~-8,KND,KND,Tail spin
heihachi,"b, B+1+2",m,25,35~36 (36~),+8~+9,KND,KND,
heihachi,"b, B+3+4",(Special),-,35~36 (36~),-,-,-,
heihachi,qcf+2,m,30,15~16 (15~),-17~-16,ED,ED,
heihachi,"f, f, f+3",m,30,22~25 (25~) js3~,+9~+12g,ED,ED,
heihachi,WS+1,m,20,14~15,-14~-13,KND,KND,
heihachi,WS+2,m (TC),20,18 cs1~8,-6,+11kg,CS,Tail spin
heihachi,WS+3,m,10,18,-11,+0,+0,
heihachi,"WS+3,1+2","m,m","10,20",18,-14,KND,KND,
heihachi,WS+4,m,13,11~12,-3~-2,+8~+9,+8~+9,
heihachi,"WS+4, 4","m, m","13,16",11~12,-15~-14,0~+1s,0~+1s,
heihachi,FC+d/f+4,l (TC),20,19~21s cs1~,-23,KND,KND,
heihachi,SS+2,m,10,19(28~),-9,-1,-1,
heihachi,"SS+2, 1","m, m","10,20",19(28~),-14~-13,KND,KND,
heihachi,"Opponent Down, d+4",l(On grounded opponent),24,19,-14,-3,-3,
