name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
hwoarang,in rage LFS or RFS d+3+4,m,55,20 pc8~17,-7,KND,KND,Rage art
hwoarang,in rage d+3+4,lm,"7,10","12,28~29",-4,0,0,Rage drive
hwoarang,"in rage d+3+4, 4","lm, m (TJ)(RFF)","6,9,27",js14~,7s,JG,JG,Rage drive
hwoarang,"in rage u/f+3, 4, 3+4","m (TJ), m, hh","16,15,17,27",28F,+4,KND,KND,Rage drive
hwoarang,"in rage LFS u/f+3, 4, 3+4","m (TJ), m, hh","14,13,17,27",js1~,+4,KND,KND,Rage drive
hwoarang,1,h,7,10,+1,+8,+8,
hwoarang,"1, 1","h, h","7,8",10,-2,+6,+6,
hwoarang,"1, 1, 3","h, h, l","7,8,10",10,-12,-1,-1,
hwoarang,"1, 1, 3, 3","h, h, l, h","7,8,10,14",10,-14,-3,-3,
hwoarang,"1, 2","h, h","7,10",10,-1,+7,+8,
hwoarang,"1, 2, 3","h, h, (Special)","7,10",10,+3,+11g,+12,
hwoarang,"1, 2, 4","h, h, (Special)","7,10",10,+3,+11g,+12,
hwoarang,"1, 2, f+3","h, h, m","7,10,14",10,-8,+3,+3,
hwoarang,"1, 2, f+4","h, h, h (TJ)","7,10,34",js14~,0,Tail spin,Tail spin,Tail spin
hwoarang,2,h,9,10,0,+8,+9,
hwoarang,"2, 3","h, (LFS)",9,10,+3,+11g,+12,
hwoarang,"2, 4","h, (RFS)",9,10,+3,+11g,+12,
hwoarang,"2, f+3","h, m","9,14",10,-8,+3,+3,
hwoarang,"2, f+4","h, h (TJ)","9,34",js14~,0,Tail spin,Tail spin,Tail spin
hwoarang,3,h,15,14,-7,+4,+4,
hwoarang,"3, 3","h, m","15,12",14,-13,-7,-2,
hwoarang,"3, 3, F","h, m, (LFS)","15,12",14,+2,+8,+13,
hwoarang,"3, 3, 3","h, m, m","15,12,15",14,-14,KND,KND,
hwoarang,"3, 3, 4","h, m, h, (RFS)","15,12,15",14,10g,20g,20,
hwoarang,"3, 3, d/f or f+4","h, m, h","15,12,23",14,-1,KND,KND,
hwoarang,3~4,mm (TJ),"11,21",22,-3,KND,KND,
hwoarang,4,h,14,11,-6,+5,+5,
hwoarang,"4, 3","h, m(LFF)","14,12",11,-6,+5,+5,
hwoarang,"4, 3, f (Cancel)","h, (LFS)",14,11,-6,+5,+5,
hwoarang,"4, 4","h, h, (RFS)","14,13",11,-1,+10g,+10,
hwoarang,"4, f+4","h, h(RFF)","14,13",11,-5,+6,+6,
hwoarang,"4, 4, 3","h, h, m(RFF)","14,13,20",11,-15s,KND,KND,
hwoarang,"4, 4, 4","h, h, h, (RFS)","14,13,10",11,-1,+10g,+10,
hwoarang,"4, 4, f+4","h, h, h(RFF)","14,13,25",11,-6,+5,+5,
hwoarang,"4, 4, 4, 4","h, h, h, h(RFF)","14,13,10,20",11,+2,KND,KND,
hwoarang,"4, 4, 4, 3","h, h, h, m(RFF)","14,13,10,20",11,-15s,KND,KND,
hwoarang,1+2,(RFF),b,11~12,-,-,-,
hwoarang,3+4,(RFF),-,11~12,-,-,-,
hwoarang,f+2,m(RFF),15,16,-2,+9,+9,
hwoarang,f+3,(Special),-,13~,-,-,-,
hwoarang,f+3~n+3,m,25,20,-16,KND,KND,
hwoarang,"f, n+4",(Special),-,23~,-,-,-,
hwoarang,f+4,"h, (RFS)",21,17~23,+8~+12,+19~+23g,+19~+23g,
hwoarang,f+1+2,m,17,15,-9,+2,CS,
hwoarang,d/f+1,m,10,13,-1,6,6,
hwoarang,"d/f+1, 3","m, m","10, 15",13,-2,6,6,
hwoarang,d/f+2,m,13,15,-7,Launch (JG?)(+4a),Launch (JG?),
hwoarang,d/f+3,m,12,22,-14,-4,-4,Power crush
hwoarang,"d/f+3, 4","m, m","12,20",22,-14,KND,KND,
hwoarang,"d/f+3, f (Cancel)",(LFS),-,22~23,-,-,-,
hwoarang,d/f+4,m(RFF),20,16,-8,+8,KND,"Homing, Tail spin"
hwoarang,d/f+1+2,m,12,13,-3,+8,+8,
hwoarang,d/f+3+4,"m(,  (Sky)(throw))",8(22),15,-11,0,0,
hwoarang,d+3,l,7,17,-13,-2,-2,
hwoarang,"d+3, 4","l, h, (RFS)","7,13",17,8g,15g,19,
hwoarang,d+4,l (TC),7,19s cs6~,-17,-6,-6,
hwoarang,"d+4, 4","l (TC), h","7,22",19 6~,-8,Launch (JG?),Launch (JG?),
hwoarang,d/b+3,l (TC),12,19s cs4~,-13,0,+7,
hwoarang,d/b+4,l,12,16,-12,-8,-1,
hwoarang,"d/b+4, f","l, (RFS)",12,16,-1,+3,+10,
hwoarang,"d/b+4, 4","l, h","12,21",16,-1,KND,KND,Tail spin
hwoarang,d/b+3+4,!,40,61,KND,KND,KND,
hwoarang,"d/b+3+4, b, b (Cancel)",(LFS),-,61,-,-,-,
hwoarang,b+1,m,15,15,-14,-1,-1,
hwoarang,b+2,h,18,13,-9,15k,15k,
hwoarang,b+3,m,17,16,-19,Launch (JG?),Launch (JG?),
hwoarang,b+4,h(RFF),20,13,-7,2,CS,41
hwoarang,u/b+3,m,8,16,-14,-3,-3,
hwoarang,"u/b+3, 3","m, h (TJ), (LFS)","8,15",16,+3,KND,KND,Tail spin
hwoarang,"u/b+3, 4","m, m, (RFS)","8,16",16,-4,+12g,+12g,
hwoarang,u/b+4,m (TJ),18,17F,-8,+10,+10,44
hwoarang,u+3,"h (TJ), (LFS)",25,20F,5,uKZD,uKZD,
hwoarang,u+4,"m (TJ), (RFS)",18,16F,3,11g,11,
hwoarang,u+3+4,m (TJ),20,25,-7,KND,KND,51
hwoarang,u/f+2,m (TJ),22,26,+5s,+6s,KND,
hwoarang,u/f+3,m (TJ),15,28,-6,KND,KND,
hwoarang,"u/f+3, 4","m (TJ), m","15,14",js1~,-8,Launch (JG?),Launch (JG?),
hwoarang,"u/f+3, 4 (when second hit inputted)",m (TJ),15,js9~,-13~-12,KND,KND,
hwoarang,"u/f+3, 4, 3","m (TJ), m, h","15,14,25",9~,-,KND,-,
hwoarang,u/f+4,"h (TJ), (RFS)",12,22,-2,+4,+4,
hwoarang,"u/f+4, 4","h (TJ), m (TJ), (RFS)","12,12",js1~5,0,6,6,
hwoarang,"u/f+4, 4, 4","h (TJ), m (TJ), l, (RFS)","12,12,12",1,1,7,7,
hwoarang,u/f+3+4,mh (TJ),"9,8",14,-10,+1,+1,
hwoarang,"u/f+3+4, 4","mh (TJ), m (TJ)","9,8,13",js1~,-13,+4,+4,
hwoarang,"f, F+3",m(RFF),24,22,6,6s,6s,
hwoarang,"f, F+4",m(RFF),22,17,-7,KND,KND,
hwoarang,"f, n, d, d/f+3","m, (LFS)",27,18,+4,KND,CS,Wall bounce
hwoarang,"f, n, d, d/f+4",m,18,16,-18,Launch(JG?),Launch(JG?),53
hwoarang,"f, n, d/f+4",m,18,16,-10,Launch(JG?),Launch(JG?),47
hwoarang,"f, f, f+3",m (TJ),30,22,6,KND,KND,
hwoarang,"f, f, f+4",h,28,18,+5,8b,8b,
hwoarang,WS+3,m,20,14,-7,KND,KND,
hwoarang,WS+4,m,12,11,-3,8,8,
hwoarang,"WS+4, 4","m, m(RFF)","12,13",11,-5,4s,4s,
hwoarang,WS+3+4,m(RFF),16,20~21b,-9~-8,+2~+3,+2~+3,
hwoarang,"WS+3+4, 3","m, m","16,20",20,-5,6s (KND),KND,
hwoarang,SS+3,m,15,18,-12,-1,FS (+5~+6),
hwoarang,"SS+3, 3","m, h(LFS)","15,18",18,3,14g,14,
hwoarang,SS+4,l(RFF),18,19,-13,5s,KND,
hwoarang,LFF BT 4,m(RFF),20,14,-13,Launch (JG?),Launch (JG?),
hwoarang,RFF 1+2,(LFF),b,14~16,-,-,-,
hwoarang,RFF 3+4,(LFF),-,14~16,-,-,-,
hwoarang,RFF 1,h,10,10,0,+6,+6,
hwoarang,"RFF 1, 1","h, m(LFF)","10,12",10,-8,+3,+3,
hwoarang,RFF 2,h,6,10,+2,+8,+8,
hwoarang,"RFF 2, 1","h, h","6,10",10,0,+6,+6,
hwoarang,"RFF 2, 1, 1","h, h, m(LFF)","6,10,12",10,-8,+3,+3,
hwoarang,"RFF 2, 3","h, h(LFF)","6,20",10,-7,2,CS,
hwoarang,"RFF 2, 4","h, h(RFF)","6,12",10,-8,+3,+3,
hwoarang,"RFF 2, 4, b or f","h, h, (RFS)","6,12",10,+7,+18g,+18g,
hwoarang,"RFF 2, 4, d or u","h, h, (RFS)","6,12,20",10,+6,+17g,+17g (+13),
hwoarang,"RFF 2, 4, 3","h, h, m","6,12,20",10,-15,KND,KND,
hwoarang,"RFF 2, 4, 4","h, h, h(LFF)","6,12,23",10,-5,KND,KND,Tail spin
hwoarang,"RFF 2, b+4","h, h (TC)(LFF)","6,27",10,-9,+13kg,+13kg,Tail spin
hwoarang,RFF 3,m(LFF),13,16,-4,+7,+7,
hwoarang,"RFF 3, 4","m, h, (RFS)","13,16",16,10g,21g,21g,
hwoarang,"RFF 3, 4f","m, h, (RFS)","13,16",16,-12,-1,-1,
hwoarang,"RFF 3, F+4","m, h, (RFF)","13,16",16,-7,4,4,
hwoarang,RFF 3~4,h(LFF),35,27,4,KND,KND,"Homing, Tail spin, Power crush"
hwoarang,RFF 4,h(RFF),12,12,-8,+3,+3,39
hwoarang,"RFF 4, b or f","h, (RFS)",12,12,+7,+18g,+18g,
hwoarang,"RFF 4, d or u","h, (RFS)",12,12,+6,+17g,+17g (+13),
hwoarang,"RFF 4, 3","h, m, (Special)","12,20",12,-15,KND,KND,
hwoarang,"RFF 4, 4","h, h(LFF)","12,23",12,-5,KND,KND,Tail spin
hwoarang,RFF f+4,(Special),-,35~,-,-,-,
hwoarang,RFF f+4~4,m,20,18,-13,Launch (JG?),Launch (JG?),
hwoarang,RFF f+3,"h, (LFS)",21,14,12,23,23,
hwoarang,"RFF f+3, B",h(RFF),21,14,-11,0,0,
hwoarang,RFF d/f+3,m(LFF),25,20,-11,KND,KND,"Homing, Tail spin"
hwoarang,RFF d/f+4,m,12,13,-7,+1,+1,39
hwoarang,"RFF d/f+4, b or f","m, (RFS)",12,13,+7,+15g,+15,
hwoarang,"RFF d/f+4, d or u","m, (RFS)",12,13,+6,+14g,+14,
hwoarang,RFF d+4,l,19,19,-11,+5,+15g,
hwoarang,RFF d/b+3,l (TC),13,17F,-11,-3,+4,
hwoarang,"RFF d/b+3, 3","l, h(LFF)","13,28",17 10~,-2,KND,KND,Tail spin
hwoarang,RFF b+2,m,17,16,2,6s,KND,
hwoarang,RFF b+3,h(LFF),20,13,-7,2,CS,
hwoarang,RFF b+4,h (TC)(LFF),27,18,-9,+13kg,+13kg,Tail spin
hwoarang,"RFF f, F+3",m (TJ)(LFF),22,22,-6,KND,KND,
hwoarang,"RFF f, F+4",m(LFF),15,22,-9,-1,-1,
hwoarang,"RFF f, F+4, 3","m, h (TJ)","15,20",js5~,+3,KND,KND,
hwoarang,RFF BT 3,m(LFF),20,14,-13,Launch (JG?),Launch (JG?),
hwoarang,RFF BT 4,m(RFF),16,20,-9,+2,+2,
hwoarang,"RFF BT 4, 3","m, m","16,20",20,-5,+6 (KND),KND,
hwoarang,RFF BT d+3,l (TC)(LFF),20,18F,-13,-2,KND,
hwoarang,f+3 ,(Special),-,18~19 4~,-,-,-,
hwoarang,LFS 3+4,(RFS),-,18~19 4~,-,-,-,
hwoarang,LFS 1,h(LFF),7,13,+5,+7,+7,
hwoarang,LFS 2,m(RFF),15,16,-2,+9,+9,
hwoarang,LFS 3,m(LFF),10,14,-13,-7,-2,
