name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
jack7,in rage b+1+2,m,55,20 pc8~17,-32,KND,KND,Rage art
jack7,"in rage b, d/b, d, d/f+1, 2","l (TC), m","20,35",20 8~17,-9(wl~3),KND,KND,Rage drive
jack7,1,h,11,13,-2,+6,+9,
jack7,"1, 1","h, m","14,25",13,-14~-13s,KND,KND,
jack7,"1, 2","h, h","14,24",13,-2,KND,KND,Tail spin
jack7,2,h,10,11,+1,+9,+9,
jack7,"2, 1","h, m","10,12",11,-2,+3,+3,
jack7,"2, 1, 2","h, m, m","10,12,20",11s,-12~-11,Launch (JG?),Launch (JG?),
jack7,3,h,30,18,-13,KND,KND,
jack7,4,h,20,16,-4,+7,Launch (JG?),
jack7,f+4,h,23,17,-4,+7,Launch (JG?),
jack7,1+2,mh,"15,27","15~16, 45~46",-9~-8,KND,KND,
jack7,3+4 or floor brake 3+4,! (TJ),40,94~100 js38~,KND,KND,KND,
jack7,"3+4, 3+4",! (TJ),40,124~130 js1~,KND,KND,KND,
jack7,"3+4, 3+4, 3+4",! (TJ),60,154~160 js1~,KND,KND,KND,
jack7,"3+4, 3+4, 3+4, 3+4",! (TJ),80,184~190 js1~,KND,KND,KND,
jack7,"3+4, 3+4, 3+4, 3+4 , 3+4",! (TJ),100,214~220 js1~,KND,KND,KND,
jack7,f+1,m,13,14~15,-6~-5,+5~+6,+5~+6,
jack7,"f+1, 2","m, h","13,13",14~15,-6~-5,+5~+6,+5~+6,
jack7,"f+1, 2, 2","m, h, m","13,13,20",14~15,+6~+7,KND,KND,
jack7,"f+1, 2, 2*","m, h, m","13,13,50",14~15,-11,KND,KND,
jack7,f+2,h,17,10,-12,+5,KND,
jack7,f+3,m,17,20~21,-7~-6,+7~+8,+7~+8,
jack7,"f+3, 1+2","m, m","17,22",20~21,-9~-8s,KND,JG,
jack7,f+4~1,h!,80,65(66~),CS,CS,CS,
jack7,"f+4~1, 2",m,30,15~16 (66~),+8~+9,KND,KND,
jack7,f+1+2,m,22,15~16,-19~-18,KND,KND,
jack7,f+3+4 or FC+d/f+3+4,m (TC),28,21~26 cs6or1~,-12~-7,KND,KND,
jack7,d/f+1,m,12,14~15,-4~-3,+3~+4,+5~+6,
jack7,"d/f+1, 1","m, m","12,20",14~15,-10~-9,+9~+10kg,+9~+10kg,Tail spin
jack7,"d/f+1, 2","m, h","12,10",14~15,-12,-1a,-1a,
jack7,"d/f+1, 2, 1","m, h, h","12,10,3",14~15,-10,-2(KND),-2,
jack7,"d/f+1, 2, 1, 2","m, h, h, hh","12,10,3,3,20",14~15,-18~-17,KND,KND,
jack7,d/f+2,m,13,15~16,-14~-13,Launch (JG?),Launch (JG?),
jack7,"d/f+2, 1","m, m","13,15",15~16s,-6~-5,+5~+6,+5~+6,
jack7,"d/f+2, 1, 2","m, m, m","13,15,12",15~16s,-8~-7,+3~+4,+3~+4,
jack7,"d/f+2, 1, 2, 1","m, m, m, h","13,15,12,23",15~16,-4~-3,KND,KND,Tail spin
jack7,"d/f+2, 1, 2, d/f+1","m, m, m, m","13,15,12,15",15~16s,-2~-1,+9~+10,+9~+10,
jack7,"d/f+2, 1, 2, d+1","m, m, m, l (TC)","13,15,12,8",s cs10~,-11~-9,0~+2,0~+2,
jack7,d/f+3,m,16,16,-9,+2,+2,
jack7,"d/f+3, 2","m, h","16,20",16,-7~-6,KND,KND,Tail spin
jack7,d/f+4,m,15,12,-4,+7,+7,
jack7,d/f+1+2,ll,"8,21","18,30",-70,KND,KND,
jack7,d/f+1+2 (First hit only),l,8,18,-82,-63,-63,
jack7,d/f+3+4,m,28,13,-23,KND,KND,
jack7,d/f+1+3 (Throw),h(Throw),25,23 js15~,Throw,Throw,Throw,
jack7,d/f+1+3,Sm,20,30~49d js15~,-18~+1s,KND,KND,
jack7,d+1+2,m (TC),"28(,5)",30~31 cs6~29,-18~-17,Launch,Launch,
jack7,d/b+1,l,13,12s,-12,+2,+2,
