name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
jin,in rage b+1+2,h,55,13 pc8~,-9,KND,KND,Rage art
jin,"in rage f, n, d, d/f+1+2",hm,"25,35","11~12 ,41~42 (14~)",-7~-6,Launch(Launch (JG?)),Launch(Launch (JG?)),Rage drive
jin,"in rage f, n, d, d/f+1+2, D/F","hm, (Crouch dash)","25,35","11~12 ,41~42 (14~)",+14~+15g,Launch(Launch (JG?)),Launch(Launch (JG?)),Rage drive
jin,"in rage f, n, d, d/f+1+2, 3","hm, h (TJ)","25,35,25",js10~,+8~+13g,KND,KND,Rage drive
jin,"in rage f, n, d, d/f+1+2, 3, 1","hm, h (TJ), m (TC)","25,35,25,24",cs15~21,+9(wl+15g),KND,KND,Rage drive
jin,1,h,7,10,+1,+8,+8,
jin,"1, 2","h, h","7,12",10,-2,+3,+7,
jin,"1, 2, 3","h, h, m","7,12,20",10,0~+2,KND,KND,
jin,"1, 2, 4","h, h, h","7,12,30",10,-4~-2,KND,Launch,Tail spin
jin,"1, 3","h, h","7,10",10,-6,+4,+4,
jin,"1, 3, F","h, h, (CDS)","7,10",10,-7,+3,+3,
jin,"1, 3, B","h, h, (Special)","7,10",10,-6,+4,+4,
jin,"1, 3, 2","h, h, m","7,10,10",10,-1,+4,+4,
jin,"1, 3, 2, 1","h, h, m, m","7,10,10,10",10,-7,+7,+7,
jin,"1, 3, 2, 1, 4","h, h, m, m, l","7,10,10,10,",10,-13~-12,+3~+4,+3~+4,
jin,"1, 3~3","h, m","7,20",10,+6~+8,KND,KND,
jin,"1, 3~3, d/f+3","h, m, m","7,20,20",10,-14,KND,KND,
jin,"1, d+3","h, l","7,7",10,-12~-11,-1~0,-1~0,
jin,"1, d+3, 4","h, l, l","7,7,17",10,-13,+3,Launch,
jin,2,h,9,10,0,+9,+9,
jin,"2, 1","h, m","9,9",10,-3~-2,+6~+7,+6~+7,
jin,"2, 1, 4","h, m, m","9,9,18",10,-9~-7,+2~+4,+2~+4,
jin,"2, 1, 4~4","h, m, l","9,9,20",10,-31,KND,KND,
jin,"2, 4","h, h","9,20",10,-9~-6,KND,KND,Tail spin
jin,3,h,19,14,-7,+4,+4,
jin,"3, 1","h, h","19,7",14,-1,+7,+7,
jin,"3, 1, F (to ZEN)","h, h (ZEN)","19,7",14,+4,+12,+12,
jin,"3, 1, 4","h, h, l","19,7,18",14,-13,+3,Launch,
jin,4,h,18,13~14,-9~-8,+16~+17kg,KND,"Homing, Tail spin"
jin,4~3 or WS+4~3,m (TJ),27,24~34d (25~) js12~,-14~-4,KND,KND,
jin,1+2,mmh,"5,5,20","12,20,32",-14,KND,KND,
jin,3+4,h (throw),"10(,24)",20 pc8~19,-9,Throw(KND),Throw(KND),Power crush
jin,f+2,h,12,16~17,-5~-4,+4~+5,+4~+5,
jin,f+3,m,16,12,-8,+3,+3,
jin,f+3~3,m,20,23~26,+6~+9,KND,KND,
jin,"f+3~3, d/f+3","m, m","20,20",23~26,-14,KND,KND,
jin,f+4,m,21,16~17,-8~-7,+4~+5,KND/Launch,Range dependent
jin,"f+4, F","m, (CDS)",21,16~17,-1~0,+11~+12,Launch,
