name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
josie,in rage d/f+1+2,m,55,20 pc8~17 ar20~,-22,KND,KND,Rage art
josie,"in rage f, n, d, d/f+3+4",mm,"10,24","14~15, 24~26 (17~) js12~",+8~+10,JB,JG,Rage drive
josie,1,h,7,10,+1,+8,+8,
josie,"1, 2","h, h","7,8",10,-1,+7,+7,
josie,"1, 2, 2","h, h, h","7,8,10",10,-13,+9,+9,
josie,"1, 2, 3","h, h, m","7,8,18",10,-11,+5,KND,
josie,"1, 2, 4","h, h, h, (SWS)","7,8,22",10,+11,+21g,Launch (JG?),
josie,"1, 2, d+4","h, h, l","7,8,13",10,-16,-5,-5,
josie,"1, 2, d+4, 4","h, h, l, h","7,8,13,25",10,-4~-3,KND,KND,Tail spin
josie,"1, 4","h, h","7,10",10,-4,+7,+7,
josie,"1, 4, 3","h, h, m","7,10,12",10,-15,+1,+1,
josie,2,h,8,12,+1,+7,+7,
josie,"2, 3","h, m","8,18",12,-11,+5,KND,
josie,"2, 4","h, h, (SWS)","8,22",12,+11,+21g,Launch (JG?),
josie,"2, d+4","h, l","8,13",12,-16,-5,-5,
josie,"2, d+4, 4","h, l, h","8,13,25",12,-4~-3,KND,KND,Tail spin
josie,3,m,11,13~14,-8~-7,+3~+4,+3~+4,
josie,"3, 2","m, m","11,18",13~14,-12~-11,+5~+6,KND,
josie,"3, 2, f","m, (CD)",11,13~14,-7~-6,+4~+5,+4~+5,
josie,"3, 3","m, h","11,21",13~14,-1,KND,KND,Tail spin
josie,"3, f+3","m, m (TJ)","11,27",js11~,-14~-13,KND,KND,
josie,4,h,16,12,-7,+6,Launch (JG?),
josie,1+2,Right Punch reversal,50,2~,-, Attack returned(KND),-,
josie,3+4,h,27,16~17,-9~-8,KND,Tail spin,"Tail spin, Homing"
josie,f+2,h,10,12,-8,+3,+3,
josie,"f+2, 3","h, l","10,13",12,-11,0,0,
josie,"f+2, 3, 3","h, l","10,13, 30",12,-16,KND,KND,
josie,"f+2, 3, 4","h, l, h","10,13,20",12,-4~-3,KND,KND,Tail spin
josie,"f+2, 4","h, h","10,23",12,-13~-12,KND,KND,
josie,f+3,m,18,18,-3,+8,+12a,
josie,f+4,m,13,17,-4,+1,+1,
josie,"f+4, 3","m, m","13,14",17,-10~-9,+1~+2,+1~+2,
josie,f+1+2,h (TJ),20,14~15 js6~,-5~-4,KND,KND,
josie,"f+3+4 or f, f, f+3+4",m,23,16,-7,KND,CS,
josie,d/f+1,m,14,16~17,-7~-6,+4~+5,+4~+5,
josie,"d/f+1, 2","m, h","14,12",16~17,-6~-5,+5~+6,+5~+6,
josie,"d/f+1, 2, f","m, h",14,16~17,+4~+5,+7~+8,+7~+8,Transitions to CD
josie,"d/f+1, 4","m, l","14,12",16~17,-16,0,0,
josie,"d/f+1, 4, 2","m, l, h (TJ)","14,12,21",16~17,-7,KND,KND,
josie,"d/f+1, 4~4","m, m","14,20",16~17,-7,KND,CS,
josie,d/f+2,m,10,15~16,-13~-12,Launch (JG?),Launch (JG?),
josie,d/f+3,l (TC),15,26~28 cs6~,-13~-11,+1~+3,+1~+3,
josie,"d/f+3, 2","l (TC), m","15,18",26~28 6~,-12,+5,KND,
josie,"d/f+3, 2, f","l (TC), (CD)",15,26~28 6~,-8~-6,+6~+8,+6~+8,
josie,d/f+4,"m, (SWS)",15,14,+11,+16g,+16,
josie,d/f+3+4,m (TJ),30,26 pc8~25 ar26~,-13,Launch,Launch,Power crush
josie,d+2,m,25,20,-2,+3s,KND,
josie,d+3,l,11,16,-17,-6,-6,
josie,"d+3, 4","l, h, (SWS)","11,15",16,+11,+21g,Launch (JG?),
josie,d+4,l,8,15,-10,+1,+6,
josie,d+3+4,m,24,19~21,-13~-11,KND,KND,
josie,d/b+2,m (TC),25,20 cs6~,-11,KND,KND,
josie,d/b+4,m,12,16,-6,+5,+5,
josie,"d/b+4, 2","m, m","12,11",16,-11,0,0,
josie,"d/b+4, 2, 3","m, m, m","12,11,23",16,-16,KND,KND,
josie,b+1,h,10,11~12,-9~-8,+2~+3,+9~+10,
josie,"b+1, 1","h, h","10,20",11,-3,+16k,+16k,Tail spin
josie,"b+1, 2","h, m","10,12",11,-5,+6,+6,
josie,"b+1, 2, 4","h, m, m","10,12,12",11,-10,+6,+6,
josie,"b+1, 2, 4, F","h, m (Special)","10,12",11,-6,+5,+5,
josie,"b+1, 2, 4, 4","h, m, m, h","10,12,12,20",11,-5~-4,KND,KND,Wall bounce
josie,b+2,h,17,14,+1,+7,Throw(KND),
josie,b+2 (Counter hit),"h, (throw)","14,12,13",14,-,-,Throw(KND),
josie,b+3,m,18,22~23,-6~-5,+13~+14kg,+13~+14kg,Homing
josie,b+4,m,14,16,-5,+6,+6,
josie,"b+4, 3","m, m","14,14",16,-6,+5,+5,
josie,"b+4, 3, 4","m, m, m","14,14,25",16,-20~-16,KND,KND,
josie,"b+4, 3, d+4","m, m, l","14,14,12",16,-13,+3,+3,
josie,"b+4, 3, d+4~4","m, m, m","14,14,20",16,-7,KND,CS,
josie,b+1+2,h?,21,16~17,-9~-8,CS,CS,
josie,b+2+3,h! (TJ),50,60~62 js50~,CS,CS,CS,
josie,u/b or u or u/f+3,m (TJ),20,28~29 js9~,-9~-8,KND,KND,
josie,u/b+4,m (TJ),11,15~17 js9~,-20~-18,-8~-6,-8~-6,
josie,u+4,m (TJ),15,15~17 js9~,-13~-11,KND,Launch (JG?),
josie,u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
josie,u/f+3+4,mm,"10,24","14~15, 24~26 js12~",-13~-11,KND,KND,
josie,"f, F+3",m,25,24~26 (25~),+6~+8,KND,KND,
josie,"f, F+4",m,20,16~18 (17~),-9~-7,KND,KND,"Homing, Tail spin"
