name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
katarina,in rage 3+4,m,55,20 pc8~17,-22,KND,KND,Rage art
katarina,in rage HAR 1+2,"m (TJ)(, (throw))","35,5,15",15~16 (30~),+5~+6s,Throw(KND),Throw(KND),Rage drive
katarina,1,h,7,10,+1,+8,+8,
katarina,"1, 1","h, h","7,10",10,-2~-1,+4~+5,+4~+5,
katarina,"1, 1, F","h, h, (HAR)","7,10",10,-1~0,+5~+6,+5~+6,
katarina,"1, 1, 1","h, h, m","7,10,23",10,-5~-4,-1~0,KND,
katarina,"1, 1, 2","h, h, h","7,10,17",10,+7,+9,CS,
katarina,"1, 1, 3","h, h, m (TJ)","7,10,20",js14~,0~+1s,KND,KND,
katarina,"1, 1, 4","h, h, m","7,10,21",14~,-19~-17,Launch (JG?),Launch (JG?),
katarina,"1, 2","h, h","7,10",14~,-3,+3,+3,
katarina,"1, 4","h, l","7,10",14~,-12,+1,+1,
katarina,2 or f+2,h,10,12,-3,+8,+8,
katarina,"2, 2","h, h","10,20",12,-12~-11,+10~+11kg,+10~+11kg,Tail spin
katarina,3 or WS+3,m,9,14,-5,+6,+6,
katarina,"3, 3","m, m","9,4",14,-9,+2,+2,
katarina,"3, 3, 3","m, m, m","9,4,4",14,-10,+1,+1,
katarina,"3, 3, 3, f","m, m, m, HAR","9,4,4",14,+10 (in HAR),-1,-1,
katarina,"3, 3, 3, 3","m, m, m, h","9,4,4,4",14,-11,0,0,
katarina,"3, 3, 3, 3, 3","m, m, m, h, m","9,4,4,4,17",14,-14,+1s,KND,
katarina,"3, 4 or WS+3, 4","m, h","9,20",14,-8,KND,Tail spin,Tail spin
katarina,4,h,17,11,-12,+8,Launch (JG?),
katarina,"4, 4","h, m (TJ)","17,15",11a,-10,+4,+4,
katarina,"4, 4, 4","h, m (TJ), h","17,15,10",11,-10~-9,+4~+5,+4~+5,
katarina,"4, 4, 4, f","h, m (TJ), h, (HAR)","17,15,10",11,-1~0,+5~+6,+5~+6,
katarina,"4, 4, 4, 4","h, m (TJ), h, h","17,15,10,21",11,-6~-5,+5~+6,+5~+6,
katarina,"4, 4, 4, 4, 4","h, m (TJ), h, h, m","17,20,10,21,25",11,-9,KND,KND,Wall bounce
katarina,f+3,m (TJ),23,24~25 js6~,+1~+2s,+5~+6s,Launch,
katarina,f+1+2,h,20,23,+1s,KND,KND,
katarina,f+3+4,m,23,24 pc8~23,-13,KND,KND,Power crush
katarina,d/f+1,m,13,13,-3,+5,+5,
katarina,"d/f+1, 1","m, h","13,8",13,-5,+6,+6,
katarina,"d/f+1, 1, f","m, h, (HAR)","13,8",13,-1,+10,+10,
katarina,d/f+2,m,17,17~18,-7~-6,+4~+5,+4~+5,
katarina,"d/f+2, 2","m, m","17,21",17~18,-10,KND,KND,
katarina,"d/f+2, 4","m, h","17,17",17~18,+1~+2,+17~+18kg,+17~+18kg,Tail spin
katarina,d/f+3,m,15,15~16,-6~-5,+2~+3,+2~+3,
katarina,"d/f+3, 3","m, l (TC)","15,24",cs19~,-21~-20,KND,KND,
katarina,"d/f+3, 3, d (Cancel)",m,15,19~s,-20~-19,-12~-11,-12~-11,
katarina,d/f+4,m,17,15,-9,+2,CS,
katarina,d/f+3+4,l (TC),21,25~26s cs6~,-14~-13s,-1~0s,KND,
katarina,d+1,m,20,17,-7s,+3s,KND,
katarina,d+2,m?,18,20~21,-11~-10,0~+1,CS,
katarina,"d+2, F","m?, (HAR)",18,20~21,+3~+4,+14~+15g,CS,
katarina,d+3,l,12,16,-11,0,0,
katarina,"d+3, 3","l, m","12,18",16,-13~-12,0~+1,0~+1,
katarina,"d+3, 4","l, h","12,18",16,-4,+6,KND,
katarina,d/b+3,l (TC),24,25~27 cs6~,-26,KND,KND,
katarina,d/b+4,l (TC),24,29~30 cs6~,-26,KND,KND,Homing
katarina,d/b+3+4,! (TJ),60,68 js54~,KND,KND,KND,
katarina,b+1,m,13,14,-9,+2,+2,
katarina,"b+1, f","m, (HAR)",13,14,+3,+14g,+14g,
katarina,"b+1, 1","m, m","13,20",14,-12~-11,KND,KND,
katarina,"b+1, 2","m, m","13,10",14,-8,+5,+5,
katarina,b+2,m (TC),20 cs10,27~28,-14~-13,Launch,Launch,
katarina,b+3,m,17,12,-9,+2,+20g,
katarina,b+4,m,17,17~18,-15~-14,+8~+9,CS,
katarina,"b+4, 1+2","m, h","17,20",17~18,+1s,KND,KND,
