name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
kazumi,in rage d+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
kazumi,"in rage f, F+1+2","m(, Sm)","17,20","13(14~) ,35~",-12 (wl-6),Launch,Launch,Rage drive
kazumi,1,h,7,10,+1,+8,+8,
kazumi,"1, 1","h, h","7,6",10,-3~-2,+6~+7,+6~+7,
kazumi,"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,
kazumi,"1, 2","h, h","7,8",10,-3,+5,+5,
kazumi,"1, 2, 2","h, h, h","7,8,12",10,-12,+4,+4,
kazumi,2,h,10,12,-3,+8,+8,
kazumi,"2, 1","h, m","10,10",12,-5,+7,+7,
kazumi,3,m,14,15~16,-8~-7,+8~+9,+8~+9,
kazumi,"3, 1","m, m","14,20",15~16,-13~-12,+8k,+8k,Tail spin
kazumi,"3, 2","m, h","14,15",15~16,-1~0s,KND,KND,
kazumi,4,h,18,11~12,-9~-8,+5~+6,Launch (JG?),
kazumi,1+2,"mm(, Sm)","3,7(,20)","12,21~22 (,44)",-14~-13,-8,-8,
kazumi,1+2f,"mm(, Sm)","3,7(,20)","12,21~22 (,44)",-14~-13,+9,?,
kazumi,2+3,Sm,10,22~54,-44~-12,KND,KND,
kazumi,f+2,h,25,17~18 pc8~16,-9~-8,KND,KND,Power crush
kazumi,f+3,m,13,18,-8,0,0,
kazumi,"f+3, f","m, (Special) (TJ)",13,18a,+5,+18g,+18g,
kazumi,f+4,h,20,16~17,-8~-7,+11~+12kg,+11~+12kg,"Tail spin, Homing"
kazumi,d/f+1,m,10,13~14,-3~-2,+6~+7,+6~+7,
kazumi,"d/f+1, 2","m, m","10,21",13~14,-13s,KND,KND,
kazumi,d/f+2,"m?(, Sm)","20(,9)","18a(,38)",-24,Launch,Launch,
kazumi,d/f+3,m,14,14,-9,+2,+2,
kazumi,d/f+4,m,16,15,-5,+6,+6,
kazumi,d+1,m,15,16~17,-9~-8,+2~+3,+5~+6s,
kazumi,"d+1, 2","m, m","15,25",16~17,-13~-12,Throw,Throw,
kazumi,d+4,l,10,16~17s cs4~,-13~-12,-2~-1,-2~-1,
kazumi,d+3+4,l,7,12 cs4~,-13,-2,-2,
kazumi,d/b+2,l (TC),18,23s cs6~,-14s,-3,+6s,
kazumi,"d/b+2, 3","l, l","15,12",s cs1~,-14~-13s,0~+1,+6~+7s,
kazumi,"d/b+2, 3, 4","l, l, l (TC)","15,12,12",s cs1~,-14~-13s,+5~+6s,KND,
kazumi,d/b+3,l,14,17,-14,+2s,+2s,
kazumi,d/b+4,l,17,20,-12,+4,+15g,
kazumi,d/b+1+2,m,20,24~25,-4~-3,KND,KND,
kazumi,b+1,h,17,20,-16,-5,-5,
kazumi,"b+1, 2","h, m","	17,20",20,-9~-10,+7~+8,+7~+8,
kazumi,b+2,m,12,15~16,-9~-8,+4~5,+4~5,"Tail spin, Homing"
kazumi,b+3,m,16,16,-8,+3,+3,
