name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
kazuya,in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
kazuya,"in rage f, n, d, d/f+1+4",m,45,18~19 (21~) cs1~,+5~+6,Launch,Launch,Rage drive
kazuya,"in rage f, n, d, d/f+1+4, u/f (Only when hit )","m, (throw), (DVK)","45,12",18(21~) cs1~,-,Throw(KND),Throw(KND),Rage drive
kazuya,1,h,7,10,+1,+8,+8,
kazuya,"1, 1","h, h","7,6",10,-1,+8,+8,
kazuya,"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,
kazuya,"1, 2","h, h","7,8",10,-1,+7,+7,
kazuya,"1, 2, 2","h, h, h","7,8,12",10,-12,+4,+4,
kazuya,"1, 2, 4","h, h, l","7,8,18",10,-14~-13,-3~-2,0~+1s,
kazuya,"1, 2, 4, 3","h, h, l, m","7,8,18,25",10,-2,KND,CS,
kazuya,2,h,12,12,-3,+8,+8,
kazuya,"2, 2","h, m","12,24",12,-10~-9,+6~+7,CS,Tail spin
kazuya,3 or 3+4,h,14,14,-8,+4,+4,
kazuya,"3, 1","h, h","14,7",14,-1,+7,+7,
kazuya,"3, 1, 4","h, h, m","14,7,17",14,-6~-5,+8~+9,CS,
kazuya,4,h,18,12,-9,+2,CS,
kazuya,(u/f)4~3,mm (TJ),"18,25","31~33, 35~37d (31~) js10~",-11~-9,KND,KND,
kazuya,1+2,mm,"5,20","12,28",-14,KND,KND,
kazuya,f+2,m,25,20 pc8~19,-12,KND,KND,Power crush
kazuya,f+3,m,22,19~20,-13~-12,+5~+6,+23g(KND),
kazuya,f+4,m,20,19~20,+4~+5s,+7~+8s,KND,
kazuya,f+1+2,m,20,25,-9,KND,KND,Wall bounce
kazuya,d/f+1,m,11,15~16,-7~-6,+9~+10,+9~+10,
kazuya,"d/f+1, 2","m, m","11,20",15~16s,-13s,KND,KND,
kazuya,"d/f+1, 4","m, h","11,20",15~16,-4~-3,+17~+18kg,+17~+18kg,Tail spin
kazuya,"d/f+1, f+2","m, m","11,22",15~16,-12,KND,KND,
kazuya,d/f+2,m,22,14,-12,+5,CS(13),Homing
kazuya,d/f+3,m,13,18~19,-7~-6,+9~+10,+9~+10,
kazuya,"d/f+3, 2","m, m","13,15",18~19,-11,+5,+5,
kazuya,"d/f+3, 2, 1","m, m, m","13,15,21",18~19,-18,KND,+24,
kazuya,d/f+4,m,10,13~14,-9~-8,+2~+3,+2~+3,
kazuya,"d/f+4, 4","m, m","10,16",13~14,-15~-14,-4~-3s,-4~-3s,
kazuya,d+1+2,l (TC),20,25s cs6~,-14,+1s,KND,
kazuya,d/b+2,m,20,20s,-9s,KND,KND,
kazuya,d/b+3,l (TC),14,19~20s,-12~-11,-1~0,+7~+8s,
