name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
king,in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
king,in rage d/b+1+2,m,24,20~21,+8~+9s,KND,KND,Rage drive
king,1,h,7,10,+1,+8,+8,
king,"1, 2","h, h","7,15",10,-1,+6,+6,
king,"1, 2, 2+4","h, h, h(Throw)","7,15,30",10,-,Throw(KND),-,
king,"1, 2, d+2+4","h, h, l(Throw)","7,15,45",10,-,Throw(KND),-,
king,"1, 2, 1","h, h, m","7,15,10",10,-4~-3,+5~+6,+10~+11,
king,"1, 2, 1, 2+4","h, h, m, h(Throw)","7,15,10,40",10,-,Throw(KND),-,
king,"1, 2, 1, d+2+4","h, h, m, l(Throw)","7,15,10,45",10,-,Throw(KND),-,
king,2,h,10,10,+1,+7,+7,
king,"2, 1","h, m","10,15",10,-1,+7,+7,
king,1+2,m,18,18~20b,-11~-9,-2~0,0~+2,
king,"1+2, 1","m, m","18,21",18~20,-13,KND,KND,Wall bounce
king,"1+2, 3","m, h","18,25",18~20,-3~-2,KND,KND,Tail spin
king,1+4,!,23,52~56ad,KND,KND,KND,
king,BT 1+4,!,30,41~45ad,KND,KND,KND,
king,f+2,m,12,15~16,-11~-10,+2~+3,+2~+3,
king,"f+2, 1","m, h","12,25",15~16,-9~-8,KND,KND,
king,"f+2, d+1","h, m","12,15",15~16,-13s,+2s,+2s,
king,"f+2, d+1, 2","h, m, m","12,15,16",15~16,-15,Launch (JG?),Launch (JG?),
king,f+3,m,18,15~16,-8~-7,+1~+2,+9~+10,
king,f+4,m (TJ),25,18~20 js9~,-9~-7,KND,KND,Homing
king,f+1+2,h,23,16~17,-1~0,KND,KND,
king,f+1+2*,h!?,50,29~32,KND,KND,KND,
king,f+3+4,h (TJ),25,28~30 (38~) js9~,+7~+9,KND,KND,
king,"f, F+3+4",h (TJ),25,28~30 (29~) js9~,+7~+9,KND,KND,
king,f+1+4,m,21,17~19,+3~+5,+7~+9,+7~+9,
king,f+2+3,m,27,23~30 pc8~22,-12~-5,KND,KND,Power crush
king,d/f+1,m,15,14~16,-1~+1,+3~+5,+3~+5,
king,"d/f+1, 2","m, m","15,15",14~16,-10~-9,+3~+4,+3~+4,
king,d/f+2,m,12,13,-6,+4,+4,
king,"d/f+2, 1","m, h","12,15",13,-4~-3,KND,KND,Tail spin
king,d/f+3,m,17,14,-9,+2,+2,
king,"d/f+3, 4","m, h (TJ)","17,23",d js22~,0,KND,KND,
king,d/f+4,l,13,14~15,-14~-13,-3~-2,-3~-2,
