name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
kuma,in rage b+1+2,m,"55(10,3,4,38)",20 pc8~17,-22,KND,KND,Rage art
kuma,"in rage f, F+1+2",m,"23(,3)",18~20 (19~),-12~-10,KND,KND,Rage drive
kuma,1,h,10,11,0,+6,+6,
kuma,"1, 2","h, h","10,12",11,-5,+6,+6,
kuma,2,h,10,10,-1,+6,+6,
kuma,"2, 1","h, m","10,11",10,-3,+2,+2,
kuma,"2, 1, 2","h, m, m","10,11,22",10s,-14~-13,Launch (JG?),Launch (JG?),
kuma,"2, 1, 3","h, m, l","10,11,13",10,-13,-2,-2,
kuma,3,h,25,18,-5,KND,KND,
kuma,4,h,20,14,-6,+5,Launch (JG?),
kuma,1+2,m,17,17~18,-11~-10,0~+1s,+8~+9s,
kuma,"1+2, 3+4","m, (HBS)",17,17~18,-9~-8,+2~+3s,+10~+11s,
kuma,"1+2, F","m, (ROL)",17,"17, Air",-18~-17,-7~-6s,+1~+2s,
kuma,"1+2, 1+2","m, m","17,16","17,",-18~-17,Launch (JG?),Launch (JG?),
kuma,"1+2, 1+2, 1+2","m, m, m","17,16,27","17,",-22~-19s,KND,KND,
kuma,f+1,h,7,10,+1,+8,+8,
kuma,"f+1, 1","h, m","7,8",10,-15~-14,-4~-3,-4~-3,
kuma,"f+1, 1, 1","h, m, m","7,8,14",10,-16~-15,Launch,Launch,
kuma,f+2,h,11,13,-13,+3,+3,
kuma,"f+2, 1","h, h","11,20",13,-5,KND,KND,Tail spin
kuma,f+1+2,m,25,17~18,-12~-11,CS,CS,
kuma,f+3+4,l,20,28sa cs6~,-23~-21,KND,KND,
kuma,"f+3+4, 1+2","l, m","20,30",cs1~,-16,KND,KND,
kuma,d/f+1,m,6,15~16,-9~-8,+2~+3,+2~+3,
kuma,"d/f+1, 2","m, m","6,9",15~16s,-13~-12,-2~-1,-2~-1,
kuma,"d/f+1, 2, 1","m, m, m","6,9,9",15~16s,-4~-3,+7~+8,+7~+8,
kuma,"d/f+1, 2, 1, 2","m, m, m, m","6,9,9,10",15~16s,-11~-10,0~+1 (Launch (JG?)),0~+1,
kuma,d/f+2,m,10,15~16,-9~-8,+2~+3,+2~+3,
kuma,"d/f+2, 1","m, m","10,12",15~16,-16~-15,Launch (JG?),Launch (JG?),
kuma,d/f+3,m,13,16,-9,+2,+2,
kuma,"d/f+3, 2","m, h","13,24",16,-5~-4,KND,KND,Tail spin
kuma,d/f+4,m,15,12,-4,+7,+7,
kuma,d/f+1+2,m,32,24~27,-7~-4,KND,KND,"Homing, Tail spin"
kuma,d+1+2,m?,28,14~15,-15~-14,KND,KND,
kuma,d/b+1,h,14,12~13,-7~-6,0~+1,0~+1,
kuma,"d/b+1, 2","h, m","14,20",12~13,-13~-12,+4~+5s,KND,
kuma,d/b+2,l (TC),14,18s cs6~,-13,+1,+1,
kuma,"d/b+2, 3+4","l (TC), (HBS)",14,18s cs6~,-17,-3,-3,
kuma,d/b+3,l,15,18,-8,+3,+3,
kuma,d/b+4,l (TC),20,28~29s cs12~,-23~-22,KND,KND,
kuma,d/b+1+2,mm,"5,5","14~15, 32~33",-9~-8,+2~+3s,+2~+3s,
kuma,d/b+1+2 (Second hit miss),m,5,14~15,-27~-26,-16~-15,-16~-15,
kuma,"d/b+1+2, 1+2","mm, mm","5,5,5,5",14~15,-10~-9,+1~+2,+1~+2,
kuma,"d/b+1+2, 1+2, 2","mm, mm, m","5,5,5,5,27",14~15,-13~-12,Launch,Launch,
kuma,b+1,m,27,22~23 pc8~21,-13~-12,KND,KND,Power crush
kuma,"b+1, 3+4","m, (HBS)",36,22~23 pc8~21,-15~-14,KND,KND,Power crush
kuma,b+2,m,12,15,-9,+2,+2,
kuma,"b+2, 1","m, h","12,14",15,-3,+8,+8,
kuma,"b+2, 1, 1+2","m, h, m","12,14,20",15,-11,KND,KND,
kuma,"b+2, 1, 3+4","m, h, (HBS)","12,14",15,-5,+6,+6,
kuma,B+3~4,mm,"10,15","22~23, 36~38 (23~) cs6~21",-19~-17,SH,SH,
kuma,B+3~4 (Second hit miss),m,10,22~23 (23~) cs6~21,-39~-38,-28~-27,-28~-27,
