name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
lars,in rage 1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
lars,in rage SEN 1+2,"m, (DEN)",27,12~13,+7~+8,KND,KND,Rage drive
lars,"in rage SEN 1+2, b+2+3","m, !","27,33",12~13,KND,KND,KND,Rage drive
lars,1,h,7,10,+1,+8,+8,
lars,"1, 1","h, m","7,10",10,-8~-7,0~+1,0~+1,
lars,"1, 1, 1","h, m, m","7,10,15",10,-14~-13,KND,KND,
lars,"1, 2","h, h","7,9",10,-1,+7,+7,
lars,"1, 4","h, l","7,10",10,-12~-11,+1~+2,+1~+2,
lars,2,h,10,10,0,+8,+8,
lars,"2, 1","h, m","10,7",10,-5~-4,+6~+7,+6~+7,
lars,"2, 1, 3","h, m, m","10,10,20",10,-12~-11,KND,KND,
lars,"2, 1, 4","h, m, h","10,10,27",10,-7~-6,KND,KND,Tail spin
lars,3,h,16,15,-12,+5,+5,
lars,"3, D",h,16,15s,-12,+5,+5,
lars,4,h,27,17~18,-7~-6,KND,KND,Tail spin
lars,f+1,h,10,13,-5,+6,+6,
lars,"f+1, 2","h, m","10,11",13,-5,+6,+6,
lars,"f+1, 2, F","h, m (SEN)","10,11",13,-8,+3,+3,
lars,"f+1, 2, 3","h, m, m","10,11,20",13,-9,KND,KND,
lars,"f+1, 2, 3, F","h, m, m, (DEN)","10,11,20",13,-12,KND,KND,
lars,f+2,h,10,12,-6,+3,+3,
lars,"f+2, 1","h, h, (SEN)","10,12",12,-5,+6,+6,
lars,"f+2, 1, F","h, h (SEN)","10,12",12,-6,+5,+5,
lars,"f+2, 4","h, h","10,22",12,-12~-11,KND,KND,
lars,f+4,m,12,17,-9,+7,+7,
lars,"f+4, 1","m, m","12,8",17,-9~-8,+2~+3,+2~+3,
lars,"f+4, 1, 2","m, m, m","12,8,8",17,-10,+2,+2,
lars,"f+4, 1, 2, 1","m, m, m, m","12,8,8,20",17,-14~-13,ED,ED,
lars,f+1+2,m,20,15~16,-13~-12,CS,CS,
lars,f+1+4,m,28,13,-18,ED,ED,
lars,d/f+1,m,14,13,-1,+5,+5,
lars,d/f+2,m,15,16~17,-8,+3~-4a,+3~-4a,
lars,"d/f+2, 1","m, h","15,20",16,-7~-6,KND (KND),KND,Tail spin
lars,d/f+3,m,15,16,-7,+3,+3,
lars,"d/f+3, D","m, (DEN)",15,16,-4(-8),+6,+6,
lars,"d/f+3, 3","m, m","15,24",16a,-15~-14,KND,KND,
lars,d/f+4,m,16,15~16,-8~-7,+2~+3,+2~+3,
lars,d/f+1+2,m,25,25 pc8~24,-12,KND,KND,Power crush
lars,d+2,m,17,18~19,0~+1s,+8~+9s,KND,
lars,"d+2, D",m,17,18~19,0~+1s,+8~+9s,KND,
lars,d+3,l,8,15,-14,-3,-3,
lars,"d+3, 1","l, hh","8,4,10",15,-7,+4,+4,
lars,d+1+2,l (TC),25,24~25s cs20~,-20~-19,KND,KND,
lars,d/b+1,l (TC),9,17s cs6~,-12,-1,-1,
lars,"d/b+1, 3","l (TC), h","9,10",17 6~,-12,-1,-1,
lars,"d/b+1, 3, D","l (TC), h","9,10",17 6~s,-12,-1,-1,
lars,d/b+2,m,12,15,-8,+3,+3,
lars,"d/b+2, F","m, (SEN)",12,15,-5,+6,+6,
lars,"d/b+2, 1","m, m","12,8",15,-8~-7,+6~+7,+6~+7,
lars,"d/b+2, 3","m, m","12,15",15,-13,0,+23g(KND),
lars,"d/b+2, 3* (Very long hold)","m, m","12,25",15,+8,KND,KND,
lars,d/b+4,l (TC),17,21~22s cs6~,-26,+5~+6s,KND,
lars,d/b+1+2,m?,18,26~27,-14~-13,+5~+6,CS,
