name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
law,in rage 1+2,m,55,20 pc8~17,-26,KND,KND,Rage art
law,"in rage d/b+4, 3+4","l, h","20,32",24 js19~,-9,KND,KND,"Rage drive, Homing"
law,1,h,7,10,+1,+8,+8,
law,"1, 1","h, h","7,5",10,-7,-8,-8,
law,"1, 1, 1","h, h, h","7,5,5",10,-7,-8,-8,
law,"1, 1, 1, 1","h, h, h, h","7,5,5,5",10,-7,-8,-8,
law,"1, 1, 1, 1, 1","h, h, h, h, h","7,5,5,5,5",10,-7,"+13(SH) 1CH,+5",+13(SH),
law,"1, 2","h, h","7,8",10,-1,+6,+6,
law,"1, 2, b, f","h, h, (DSS)","7,8",10,-2,+5,+5,
law,"1, 2, 2","h, h, m","7,8,10",10,-8,+4,+4,
law,"1, 2, 2, 2","h, h, m, h","7,8,10,10",10,-9,+4,+4,
law,"1, 2, 2, 2, b, f","h, h, m, h, (DSS)","7,8,10,10",10,-4,+9,+9,
law,"1, 2, 2, 1+2","h, m, m","7,8,10,21",10,-13~-10,KND,KND,
law,"1, 2, 3","h, h, m","7,8,10",10a,-6~-5,+5~+6 (KND),KND,
law,"1, 2, u/f+3","h, h, (Special) (TJ)","7,8","10a,s",-23,-16,-16,
law,"1, 2, u/f+3, 4","h, h, (Special) (TJ), m","7,8,20","10,",-9~-8,Launch (JG?),Launch (JG?),
law,2,h,8,10,0,+6,+6,
law,f+2,h,10,12,0,+6,+6,
law,"2, 2","h, m","8,10",12,-8,+4,+4,
law,"2, 2, 2","h, m, h","8,10,10",12,-9,+4,+4,
law,"2, 2, 2, b, f","h, m, h, (DSS)","8,10,10",12,-4,+9,+9,
law,"2, 2, 1+2","h, m, m","8,10,21",12,-13~-10,KND,KND,
law,"2, b+2","h, h","8,8",12b,-4,+7,+7,
law,"2, b+2, 1","h, h, h","8,8,8",12,-3~-2,+3~+4,+3~+4,
law,"2, b+2, 1, 2","h, h, h, m","8,8,8,21",12,-3s,KND,KND,
law,"2, b+2, 1, 2, d","h, h, h, m","8,8,8,21",12s,-3s,KND,KND,
law,3,h,12,12,-9,+2,+2,
law,f+3,h,16,15,-13,-2,SH,
law,"3, 3","h, m","12,17",12,-14,-3,KND,
law,"3, 4","h, h","12,20",12,-10,KND,KND,Tail spin
law,4,h,14,11,-9,+7,Launch (JG?),
law,f+4,h,16,13,-9,+7,Launch (JG?),
law,"4, 3","h, h","14,12",13,-14~-13,-5~-4,-5~-4,
law,"4, 3, b, f","h, h, (TFS)","14,12",13,+7,+16g,+16g,
law,"4, 3, 4","h, h, h","14,12,14",13,-6,-1,Launch (JG?),
law,"4, 3, 4, b, f","h, h, h, (TFS)","14,12,14",13,+7,+12,Launch (JG?),
law,"4, u+3","h, m (TJ)","14,23",js23~,-1~+1,KND,KND,
law,3+4,mm (TJ),"5,12","14~15, 26a js14~",-12,KND,KND,
law,"3+4, 4","mm (TJ), h","5,10,15","14~15, 26 14~",-13~-11,+5~+7k,+5~+7k,Tail spin
law,f+2~1,m,32,19~20 (20~),+5~+6,KND,KND,
law,f+1+2,m,20,20,+3s,+8s,KND,
law,"f+1+2, D",m,20,20s,+3s,+8s,KND,
law,f+3+4,m (TJ),20,25~26 js11~,-2~-1,+7~+8s,KND,
law,f+1+4,m,25,23~24,-14~-13,KND,KND,
law,d/f+1,m,10,13,-1,+5,+5,
law,d/f+2,m,12,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
law,d/f+3,m,18,17,-12,-1,-1,
law,"d/f+3, 3","m, l","18,8",17,-14,-3,-3,
law,"d/f+3, 3, 3","m, l, h","18,8,14",17,-8,+1,+1,
law,"d/f+3, 3, 4","m, l, m (TJ)","18,8,23",s js19~,-17~-16,KND,KND,
law,d/f+4,m,15,13,-8,+3,+3,
law,"d/f+4, 3","m, m (TJ)","15,23",s js14~,-18~-16,Launch (JG?),Launch (JG?),
law,d/f+3+4,l (TC),12,18s,-15,+4s,KND,
law,d+1,l (TC),15,21~22s cs6~,-12,+2s,+2s,
law,"d+1, 3","l (TC), h","15,21",21~22 6~,-9~-8,KND,Launch,Tail spin
law,d+2 or FC+2,Sm (TC),8,11s cs4~,-4,+7,+7,
law,"d+2, 3","Sm (TC), m","8,21",11 4~,-15~-12,Launch (JG?),Launch (JG?),
law,d+3,l,8,16,-14,-3,-3,
law,D+3,l,8,16s,-14,-3,-3,
law,"d+3, 3","l, h","8,17",16,-7,KND,CS,
law,d+4,l,7,15,-11,0,0,
law,"d+4, 3","l, h","7,12",js5~12,-12,0(SH),+5,
law,d+3+4,l (TC),7,12s cs4~,-13,-2,-2,
law,"d+3+4, 3","l (TC), m (TJ)","7,23",s js19~,-18~-16,Launch (JG?),Launch (JG?),
law,d/b+2,m,15,14b,-4,+7,+7,
law,"d/b+2, 4","m, m (TJ)","15,25",js15~,-17~-10,KND,KND,
law,"d/b+2, 4, D","m, m (TJ)","15,25",d js15~,-6~+1,KND,KND,
law,d/b+3,l,20,17~19,-12~-10,+4~+6s,KND,
law,d/b+4,l (TC),20,26~27 cs6~,-37,KND,KND,Homing
