name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
lee,in rage d+1+2 in rage HMS d+1+2,m,20 pc8~17,55,-22,KND,KND,Rage art
lee,in rage d/f+3+4,m,25,16~17,-1~0,KND,KND,"Rage drive, Tail spin"
lee,"in rage d/f+3+4, f, N","m, (MS)",25,16~17,+2~+3,KND,KND,"Rage drive, Tail spin"
lee,1,h,7,10,+1,+8,+8,
lee,"1, 2","h, h","7,9",10,-1,+5,+5,
lee,"1, 2, 2","h, h, m","7,9,14",10,-13~-12,-2~-1,-2~-1,
lee,"1, 2, 2, 3","h, h, m, h","7,9,14,23",10,-3~-1,KND,KND,Tail spin
lee,"1, 2, 2, 3, 4","h, h, m, h, (HMS)","7,9,14,23",10,-9~-7,KND,KND,Tail spin
lee,"1, 2, 4","h, h, m","7,9,10",10,-12,-1,CS,
lee,"1, 2, 4, 3","h, h, m, (HMS)","7,9,10",10,-14,-3,CS,
lee,"1, 2, 4 (Hold long as possible)","h, h, m","7,9,20",10,-7,0,CS,
lee,"1, 2, f, n","h, h, (Special) (TC)(MS)","7,9",10,-2,+4,+4,
lee,"1, 3","h, h","7,5",10,-11,0,0,
lee,"1, 3:3","h, h, m","7,5,4",10,-10,+1,+1,
lee,"1, 3:3:3","h, h, m, h","7,5,4,12",10,-18,KND,KND,
lee,2,h,10,10,+1,+7,+7,
lee,"2, 1","h, h","10,8",10,-5~-3,+6~+8,+6~+8,
lee,"2, 1, 3+4","h, h, (HMS)","10,8",10,-5,+6,+6,
lee,"2, 1, 1","h, h, m","10,8,18",10s,-12~-11,+3~+4,KND,
lee,"2, 1, 3","h, h, h","10,8,24",10,-4~-2,KND,Tail spin (3rd hit),Tail spin
lee,"2, 1, 4","h, h, l (TC)","10,8,18",cs16~,-16~-14,0~+2,+10~+12,
lee,"2, 2","h, m","10,14",16~,-13~-12,-2~-1,-2~-1,
lee,"2, 2, 3","h, m, h","10,14,23",16~,-3~-1,KND,KND,Tail spin
lee,"2, 2, 3, 4","h, m, h, (HMS)","10,14,23",16~,-9~-7,KND,KND,Tail spin
lee,3,m,16,14,-8,+7,+7,
lee,"3, 4","m, (HMS)",16,14,-8,+3,+3,
lee,"3, 3","m, h","16,18",14,-10,+1,+1,
lee,3~3,h,18,30,-10,+1,+1,
lee,3~3 hit or guard 4,"(h, )h(Throw)","(18,)15,5",30,Throw(KND),Throw(KND),Throw(KND),
lee,4,h,16,11,-9,+7,Launch (JG?),
lee,"4, 3","h, h","16,14",11,-14,-3,+2,
lee,"4, 3, 3","h, h, m","16,14,20",11,-13~-11,KND,KND,
lee,"4, 3, 4","h, h, m (TJ)","16,14,25",js22~,-9~-7,KND,KND,
lee,"4, 4","h, h","16,6",22~,-5,+6,Launch (JG?),
lee,"4, 4, 4","h, h, h","16,6,8",22~,-5,+6,Launch (JG?),
lee,"4, u or u/f+3","h, m (TJ)","16,25",22~a,-1~+1,KND,KND,
lee,"4, u or u/f+3, f","h, m (Mist step)","16,25",22~a,-27,KND,KND,
lee,1+2,m,20,21~22s,-4~-3,+3~+4,KND,Homing
lee,"1+2, 3+4",m (HMS),20,21~22s,-1,+6,KND,Homing
lee,f+2,m,12,14~15,-9~-8,+2~+3,+2~+3,
