name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
lei,In rage d/f+3+4,m (Throw),55,20 pc8,-22,Throw,Throw,Rage art
lei,In rage SNK 2+3,m,40,15,+9g,KND,KND,Rage drive
lei,In rage DRG 2+3,m,40,15,+11g,KND,KND,Rage drive
lei,"In rage DRG 2+3, F",m (TGR),40,15,+10g,KND,KND,Rage drive
lei,In rage PAN 2+3,"l, h","10,15",12,-14,KND,KND,Rage drive
lei,In rage TGR 2+3,m,30,14,+15g,JG,JG,Rage drive
lei,In rage CRA 2+3,m (CRA),24,17,0,JG,JG,Rage drive
lei,1,h,7,10,1,8,8,
lei,"1, 1","h, h","7,12(6)",10,-6,5,5,
lei,"1, 1, F","h, h, (SNK)","7,12",10,-5,6,6,
lei,"1, 2","h, h","7,12",10,-1,6,6,
lei,2,h,10,10,0,6,6,
lei,"2, 1","h, m","10,13",10,-8,3,3,
lei,"2, 1, F","h, m (DRU)","10,13",10,-11,0,0,
lei,"2, 1, 3+4","h, m, mm (TJ)","10,13,12,14",10,-11,KND,KND,
lei,3,h,30,15,-9,-4,-2,Tail spin
lei,"3, B",h (PHX),30,14,-1,4,6,Tail spin
lei,"3, 3","h, l","30,17",14,-13,KND,KND,
lei,3~4,m (TJ) (TOR),25,39,3,6s,6s,
lei,"3~4, 4","m (TJ), m (TJ) (TOR)","25,21",39,3,+6s,+6s,
lei,"3~4, 4, 4","m (TJ), m (TJ), m(TJ) (TOR)","25,21,17",39,3,+6s,+6s,
lei,TOR d,m,-,-,5,+8s,+8s,
lei,TOR D,m,-,-,9,+12s,+12s,
lei,4,h,16,12,-9,5,JG,
lei,4~3,m (TJ) (Special),25,29 js17,-16,4k,4k,Tail spin
lei,"4~3, D",m (TJ) (Grounded),25,29 js17,-17,+3K,+3K,Tail spin
lei,4~4 or FC+4~4,l (TC) (Special),7,15 cs6,-15,-4,6,
lei,"4~4 or FC+4~4, D",l (TC) (Grounded),7,15,-16,-5,5,
lei,"4~4, 3","l (TC), l","7,7",15,-2,9,9,
