name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
leo,in rage d/f+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
leo,"in rage f, F+2*",m,35,13(14~),+6 ,KND,KND,Rage drive
leo,1,h,7,10,+1,+8,+8,
leo,"1, 2","h, h","7,10",10,-1,+7,+7,
leo,"1, 2, B","h, h, (KNK)","7,10",10,-10,-2,-2,
leo,"1, 2, 1","h, h, h","7,10,16",10,-5~-4,+6~+7,+9~+10,
leo,"1, 2, 1, 1","h, h, h, m","7,10,16,21",10,-13,KND,KND,
leo,"1, 2, 1, 4","h, h, h, h","7,10,16,30",10,-6~-4,KND,KND,
leo,"1, 2, 4","h, h, l","7,10,15",10,-13,+3,KND,
leo,"1, 4","h, h","7,17",10,-4,+5,Launch (JG?),
leo,2,h,9,11,-1,+5,+5,
leo,"2, 1","h, h","9,12",11,-7~-6,+4~+5,+4~+5,
leo,"2, 2","h, m","9,20",11,-13,+4,+4,
leo,3,h,15,14,-8,+4,+4,
leo,"3, 2","h, h","15,10",14,-2,+9,+9,
leo,"3, 2, D","h, h, (BOK)","15,10",14,-6,+5,+5,
leo,"3, 2, 3","h, h, m","15,10,26",14a,-7~-6,KND,KND,
leo,"3, 2, 3, B (Cancel)","h, h, (Special)","15,10",14a,-15,-4,-4,
leo,"3, 2, 4","h, h, m, (KNK)","15,10,14",14,+8~+9,+14~+15,+14~+15,
leo,4,h,17,12,-7,+6,Launch (JG?),
leo,1+2,m,25,25 pc8~24,-12,KND,KND,Power crush
leo,2+3,m(Absorbs 1 h/m hit),21,30~31 (2~),-8~-7,+22g (KND on parry),KND,
leo,f+2,h,14,14~16,-5~-3,+6~+8,+6~+8,
leo,"f+2, 2","h, m","14,21",14~16,-12~-11,+6~+7,KND,
leo,f+3,h,23,20~21,0~+1,+4~+5,KND,
leo,"f+3, D","h, (BOK)",23,20~21,+1~+2,+5~+6,KND,
leo,f+1+2,m,32,18~19,-14~-13,KND,KND,Wall bounce
leo,f+2+3,h,21,20~21,-9~-8,KND(KND),KND(KND),
leo,d/f+1,m,13,13~14,-1~0,+7~+8,+7~+8,
leo,"d/f+1, 2","m, h","13,20",13~14,-6,KND,KND,
leo,d/f+2,m,14,15~16,-13~-12,Launch (JG?)(-2a),Launch (JG?),
leo,d/f+3,m,22,17~19,-9~-7,KND,KND,"Homing, Tail spin"
leo,d/f+4,m,14,13,-6,+5,+5,
leo,d/f+2+3,l (TC),19,23~24s cs6~,-12~-11,+5,KND,
leo,d+1,m,18,18~19,-3~-2,+4~+5s,KND,
leo,"d+1, D",m,18,18~19s,-3~-2,+4~+5s,KND,
leo,d+2,m,23,21,+4s,+9s,KND,
leo,d+4,l,10,16~17,-12~-11,-1~0,-1~0,
leo,"d+4, 2","l, h","10,23",16~17,-5~-4,KND,KND,
leo,d/b+2,h,11,14~15,-17~-16,+2~+3,+2~+3,
leo,"d/b+2, 2","h, m","11,17",14~15,-4~-3,+8~+9s,KND,
leo,d/b+3,h,23,31~32,-8~-7,Launch,Launch,
leo,d/b+4 (Close),l (TC),18,20~22 cs10~,-31,+2~+4 (KND),KND,
leo,d/b+4,l (TC),12,20~22 cs10~,-31,+2~+4 (KND),KND,
leo,"d/b+4, 1","l (TC), m","12(18),27",20~22 13~,-16~-15,KND,KND,
leo,d/b+1+2,m,17,21~23,-9~-7,+7~+9,+7~+9,
leo,"d/b+1+2, 1","m, m","17,20",21~23,-12~-11,KND,KND,
leo,"d/b+1+2, D","m, (BOK)",17,21~23,-12~-10,+4~+6,+4~+6,
leo,b+1,m,17,18~19,-12~-11,+1~+2,+1~+2,
leo,"b+1, 4","m, m, (KNK)","17,14",18~19,+8~+9,+14~+15,+14~+15,
leo,b+2,m,11,15,-11,0,0,
leo,"b+2, 1","m, h","11,11",15,-4~-3,+7~+8,+7~+8,
leo,"b+2, 1+2","m, m","11,21",15,-11~-10s,+8~+9s,KND,
leo,b+3,m,15,14~15,-7~-8,+4~+5,+4~+5,
leo,"b+3, 1","m, m","15,16",14~15,-7,+4,+4,
leo,"b+3, 1, B","m, m, (KNK)","15,16",14~15,-11,0,0,
leo,"b+3, 1, D","m, m, (BOK)","15,16",14~15,-8,+3,+3,
leo,b+4,m,13,18,-8,+5,+5,
leo,"b+4, 1+2","m, m","15,20",18,-12~-11,KND,KND,Wall bounce
leo,"b+4, 1+2, d","m, m",15,18,-12~-11,KND,KND,Ends in crouch
leo,b+1+4,hl,"10,12","19,21",-13,+3,+16s,
leo,b+1+4 (First hit only),h,10,19,-15,-4,-4,
leo,b+1+4 (Second hit only),l,12,21,-13,+3,+3,
leo,b+2+3,!,60,70~71,KND,KND,KND,
leo,u/f+1,h,8,13,-1,+6,+6,
leo,"u/f+1, 1","h, h","8,17",13,-9~-8,+15~+16kg,KND,Tail spin
leo,"u/f+1, 2","h, m","8,21",13,-14~-13,KND,KND,
leo,u/f+2,m,15,18~21a,-14~-11,KND,KND,
leo,"u/f+2, 1","m, m","15,17",js1~15,-8~-7,+4~+5,KND,
leo,u+3,m (TJ),20,17 js9~,-9,KND,KND,
leo,u/f+3,m (TJ),21,17 js9~,-9,KND,KND,
leo,u/b+4,m (TJ),11,15~16 js9~,-19~-18,-8~-7,-8~-7,
leo,u+4,m (TJ),15,15~16 js9~,-13~-12,KND,Launch (JG?),
leo,u/f+4,m (TJ),13,15~16 js9~,-13~-12,Launch (JG?),Launch (JG?),
leo,u or u/f+3+4,m (TJ),26,24~27 js9~,0~+3s,+6~+9s,JG,
leo,"f, F+2",m,25,14~15 (15~),-10~-9,KND,KND,
leo,"f, F+3",m (TJ),20,26~29a (27~) js9~,–7~-4s,KND,KND,
leo,"f, F+3, D","m (TJ), (BOK)",20,26~29a (27~) js9~,+1~+4s,KND,KND,
leo,"f, F+4",m,12,19~20a (20~) js17~,-13~-12,-2~-1a,-2~-1a,
leo,"f, F+4, 3","m, h","12,23",js1~,-14~-12,KND,KND,Tail spin
leo,"f, F+4, 3, 4","m, h, l","12,23,17",js1~10 cs20~,-12~-10,-1~+1,KND,
leo,"b, f+1+2",m,15,17~18,-24~-23,-11~-10,-11~-10,
leo,"b, f+1+2, 1+2","m, m","15,13",17~18,-14~-13,-3~-2,+7~+8,
leo,"b, f+1+2, 1+2, 2","m, m, m","15,13,25",17~18,-16~-15,KND,KND,
leo,"b, f+1+2, 1+2, qcf+2","m, m, m","15,13,30",17~18,-16~-15,KND,KND,
leo,"f, f, f+3",m (TJ),30,23~26a (26~) js3~,+9~+12g,KND,KND,
leo,WS+1,m,13,14~15,-8~-7,+4~+5,+4~+5,
leo,"WS+1, 4","m, l","13,12",14~15,-12~-11,-1~0,-1~0,
leo,"WS+1, 4, 1","m, l, m","13,12,24",14~15,-14,KND,KND,
leo,WS+2,m?,15,16~17,-13~-12,Launch (JG?),Launch (JG?),
leo,WS+3,m,9,13~14,-6~-5,+5~+6,+5~+6,
leo,"WS+3, 1","m, m","9,9",13~14,-10,+3,+3,
leo,"WS+3, 1, 2","m, m, h","9,9,20",13~14,-9~-8,KND,KND,
leo,WS+4,m,15,11~12,-12~-11,KND,KND,
leo,"WS+4, 1+2","m, m","15,28",11~12,-12~-10,KND,KND,
leo,WS+1+2,m,25,13~15,-15~-13,+22g(KND),+22g(KND),
leo,FC+d/f+3,l,20,21~23s cs1~,-26,KND,KND,
leo,SS+1+2,m,30,19(28~),-10,KND,KND,
leo,BT 1+2,m,21,11,-20,KND,KND,
leo,Opponent Down d+3+4,On grounded opponent(l),19,24,-13,+3,+3,
leo,1+2+3+4,(Special),-,24,-,-,-,
leo,"1+2+3+4, b+3",m,18,14~15 (79~),-7~-6,+4~+5,+4~+5,
leo,"1+2+3+4, b+3, 1","m, m","18,16",14~15 (79~),-7,+4,+4,
leo,"1+2+3+4, b+3, 1, 2","m, m, m","18,16,20",14~15 (79~),-15~-14,KND,KND,
leo,"1+2+3+4, d/b+4",l (TC),14(21),20~22 (85~) cs13~,-31,KND,KND,
leo,"1+2+3+4, d/b+4, 1","l, m","14(21),27",20~22 (85~) cs10~,-14,KND,KND,
leo,"1+2+3+4, d/b+4, 1, 2","l, m, m","14(21),27,20",20~22 (85~) cs10~,-15~-14,KND,KND,
leo,f+4,"m, (KNK)",14,17~18,+8~+9,+14~+15,+14~+15,
leo,b+3+4,(KNK),-,17~18,-,-,-,
leo,"f+4, d/f or KNK d/f (to CD)","m, (KNK)",14,17~18s,-5~-4,+1~+2,+1~+2,
leo,KNK 1,h,12,18~19,-9~-8,+2~+3,+2~+3,
leo,"KNK 1, 2","h, m","12,20",18~19,-9~-8,+8~+9,KND,Wall bounce
leo,"KNK 1, D","m, (BOK)",12,18~19,-7~-6,+4~+5,+4~+5,
leo,KNK 2,h,18,13~15,-4~-2,+15kg,CS,Tail spin
leo,KNK 3,m (TJ),13,20~21a,-13~-12,Launch (JG?),Launch (JG?),
leo,"KNK 3, 4","m (TJ), m","13,27",20~21a,-12~-10,Launch (JG?),Launch (JG?),
leo,KNK 4,l,18,20~21a,-12~-11,+4~+5,+10~+11,
leo,KNK 1+2,m,20,24,-6,KND,Launch,
leo,d+1+2 or FC+d/b or d+1+2,(Special) (TC)(BOK),-,(s),-,-,-,
leo,BOK 1,m,14,13(33~) cs1~12,-4,+9,+9,
leo,"BOK 1, 2","m, m","14,20",13(33~) 1~12,-14~-13,KND,KND,
leo,BOK 2,m,20,19~20 (39~) cs1~17,-9~-8,Launch(JG?),Launch(JG?),
leo,BOK 3,h (TJ),30,21(41~) js10~,+9,KND,KND,"Homing, Tail spin"
leo,BOK 4,"m, (KNK)",14,20(40~),+8,+14,+14,
leo,BOK 1+2,h,26,26(46~) pc8~25,-9,KND,KND,Power crush
leo,qcf or KNK D/F,(CD),-,26(46~) 8~25,-,-,-,
leo,qcf+1,l (TC),17,18~19s (20~) cs6~,-13~-12,-2~-1,+11~+12,
leo,qcf+2,m,14,17(19~),-9,+9,KND,
leo,"qcf+2, B","m, (KNK)",14,16(18~),-9,+9,+9,
leo,"qcf+2, 1","m, m","14,17",16(18~),-6~-5,+7~+8,KND,
leo,qcf+3+4,mm (TJ),"6,20","18~20, 24~26 (20~) js17~",-6~-4,KND,KND,
leo,"qcf+3+4 (First hit only, Second hit miss)",m (TJ),6,18(20~) js17~,-17,-6,-6,Homing
leo,"d, D/F, n",-,-,18(20~) 17~,-,-,-,
leo,1,h,7,10,+1,+8,+8,
leo,2,h,9,11,-1,+5,+5,
leo,3,h,15,14,-8,+4,+4,
leo,4,h,17,12,-7,+6,Launch (JG?),
leo,f+1,h,7,10,+1,+8,+8,
leo,f+2,h,14,14~16,-5~-3,+6~+8,+6~+8,
leo,f+3,h,23,20~21,0~+1,+4~+5,KND,
leo,f+4,"m, (KNK)",14,17~18,+8~+9,+14~+15,+14~+15,
leo,d/f+1,m,13,13~14,-1~0,+7~+8,+7~+8,
leo,d/f+2,m,14,15~16,-13~-12,Launch (JG?)(-2a),Launch (JG?),
leo,d/f+3,m,22,17~19,-9~-7,KND,KND,"Homing, Tail spin"
leo,d/f+4,m,14,13,-6,+5,+5,
leo,d+1,m,18,18~19,-3~-2,+4~+5s,KND,
leo,d+2,m,23,21,+4s,+9s,KND,
leo,d+3,l (TC),12,16s cs4~,-17,-3,-3,
leo,d+4,l,10,16~17,-12~-11,-1~0,-1~0,
leo,d+3+4,l (TC),7,12s cs4~,-13,-2,-2,
leo,d/b+1,Sm (TC),5,10s cs4~,-5,+6,+6,
leo,d/b+2,h,11,14~15,-17~-16,+2~+3,+2~+3,
leo,d/b+3,h,23,31~32,-8~-7,Launch,Launch,
leo,d/b+4 (Close),l (TC),18,20~22 cs10~,-31,+2~+4 (KND),KND,
leo,d/b+4,l (TC),12,20~22 cs10~,-31,+2~+4 (KND),KND,
leo,b+1,m,17,18~19,-12~-11,+1~+2,+1~+2,
