name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
leroy,In rage d/f+1+2 or HMT d/f+1+2,m (throw),55,20,-22,throw,throw,Rage Art
leroy,In rage f+1+2,mmm,"10,5,25",15,+2,KND,KND,Rage Drive
leroy,1,h,7,10,+1,+8,+8,
leroy,"1, 1","h, m","7,7",10 (18~19),-7,+4,+4,
leroy,"1, 1, 1+2","h, m, hhhh","7,7,12",10 (19~20),-10,+1,+1,
leroy,"1, 1, 1+2, 1","h, m, hhhh, m","7.7.12,20",10 (23~24),-16,KND,KND,
leroy,"1, 2","h, h","7,9",10 (12),-1,+5,+5,
leroy,"1, 2, 1","h, h, h","7,9,17",10 (27~28),-6,+8,+8,
leroy,"1, 2, 3","h, h, h (TJ)","7,8,21",10 (23~24),-6,KND,KND,Tail spin
leroy,"1, 2, 4","h, h, m (HRM)","7,8,11",10 (16),-9,+3,+3,
leroy,2,h,12,10,0,+9,+9,
leroy,"2, 2","h, h","12, 20",10 (25~26),-7,+7,KND,
leroy,"2, 1","h, m","12, 12",10 (12~13),-7,+4,+4,
leroy,"2, 1, 2","h, m, h","12, 12, 17",10 (20~21),-7,+4,+4,
leroy,"2, 1, 2, 1","h, m, h, m","12, 12, 17, 21",10 (21~23),-13,KND,Launch,
leroy,3,m,14,15,-8,+3,+3,
leroy,"3, 3","m, l","14, 17",15 (18),-14,+2,KND,
leroy,4,h,15,12,-11,0,0,
leroy,"4, 4","h, m","15, 13",12 (15~16),-13,+3,+3,
leroy,1+2,hhh,"9,3,3",14,-6,0,0,
leroy,"1+2, 1+2",hhhhhh,"9,3,3,3,3,3",14,-9,0,0,
leroy,"1+2, 1+2, 1","hhhhhh, m","9,3,3,3,3,3,32",14,-17,KND,KND,
leroy,2+3,l,16,100,-26,+16,0,
leroy,f+2,h,15,14,-9,+2,+2,Homing
leroy,"f+2, 3","h, m","15, 15",14 (18),-10,+2,+2,
leroy,"f+2, 3, 4","h, m, m (HRM)","15, 15, 20",14 (21~22),-6,+8,KND,
leroy,f+3,m,17,14,-7,+7,+7,
leroy,"f+3,  1+2","m, h, h, h","17,5,5,5",14,-6,0,0,
leroy,"f+3, 1+2, 3","m, h, h, h, m","17,5,5,5,20",14,-16,KND,KND,
leroy,f+4,m,14,16,-9,+4,+4,
