name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
lili,in rage 3+4,m (TJ),55,20 pc8~17 js8~,-22,KND,KND,Rage art
lili,in rage d/f+2+3,"m, h","10,20",22 js9~,+9~+10,KND,KND,"Rage drive, Homing"
lili,1,h,7,10,+1,+8,+8,
lili,"1, 2","h, h","7,12",10,-1,+8,+8,
lili,"1, 2, 3","h, h, l (TC)","7,12,10",cs10~,-13,-2,KND,
lili,"1, 2, 4","h, h, m (TJ)","7,12,20",js21~,-9~-4,KND,KND,
lili,2,h,8,10,0,+8,+8,
lili,"2, 3","h, l (TC)","8,10",cs10~,-13,-2,KND,
lili,"2, 4","h, h","8,20",10~,-2~+2,KND,KND,Tail spin
lili,3,m,12,15~16b,-11~-10,-3~-2,-3~-2,
lili,"3, 1","m, m","12,20",15~16,-13~-12,KND,KND,Wall bounce
lili,"3, 2","m, h","12,8",15~16,-5,+2,+6,
lili,"3, 2, F","m, h","12,8",15~16,-2,+5,+9,
lili,"3, 2, 3","m, h, h (TJ)","12,8,22",js13~,-9~-6,KND,KND,
lili,4,h,16,12,-4,+7,+7,
lili,"4, 1","h, h","16,7",12,-1,0,+2,
lili,"4, 1, 3","h, h, m","16,7,10",12,-11~-9,0~+2s,+8~+10s,
lili,1+2,m,26,12,-12,KND,KND,
lili,f+2,h,12,12~13,-9~-8,-1~0,-1~0,
lili,"f+2, 3","h, m","12,20",12~13,-15~-14,KND,KND,
lili,f+3,m,26,20~22,-6~-4,KND,KND,"Homing, Tail spin"
lili,f+4,m,23,17,-9,KND,KND,
lili,f+1+2,m,19,14~15,-6~-5,+3~+4s,KND,
lili,f+3+4,mm (TJ),"8,22","18~20, 35~37 js12~24",-4~-2,KND,KND,
lili,f+3+4 (First hit only),m,8,18~20 js12~24,-25~-23,KND,KND,
lili,f+3+4 (Second hit only),m,22,35~37,-4~-2,KND,KND,
lili,f+3+4~3,"m (TJ), m","8,20","18~20, 54~57 (12js~)",-8~-5,KND,KND,
