name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
luckyChloe,in rage 3+4,l (TC),50(or60or65),20 cs8~17 pc8~17,-27,KMUD,KMUD,Rage art
luckyChloe,in rage d/f+3+4 or FC+d/f+3+4 or BT+d/f+3+4,mmm,"12,12,25","17,46, 78~80",+3~+5s,Launch,Launch,Rage drive
luckyChloe,in rage d/f+3+4B,"m, mm","12,12,25","17,46, 78~80b",-4~-2s,Launch,Launch,Rage drive
luckyChloe,"in rage d/f+3+4, When hit 1+2","mmm, h","12,12,25,","17,46, 78~80",-,KND,KND,Rage drive
luckyChloe,1 or BT 1 or 2,h,7(12),10,+1,+8,+8,
luckyChloe,"1, 2","h, m","7,12",10,-4,+7,+7,
luckyChloe,"1, 2, 1","h, m, m","7,12,20",10,-11,KND,KND,Wall Bounce
luckyChloe,"1, 2, 2","h, m, m","7,12,20",10,-4~-3,+4~+5s,KND,
luckyChloe,"1, 2, 1+2","h, m, hh","7,12,12,20",10,-2~-1,+13kg,KND(+13kg),Homing
luckyChloe,2,h,10,12,-4,+7,+7,
luckyChloe,"2, 2","h, h","10,15 (20)",12,-12,+4,+4,KND after proper timing
luckyChloe,2:3,"h, l, (TWISTL)","12,14",12,-11,+7s,+7s,
luckyChloe,3,m,14,15,-7,+4,+4,
luckyChloe,"3,B",m,14,15,-7,+4,+4,
luckyChloe,"3, 4","m, m","14,20",15,-14,Launch (JG?),Launch (JG?),
luckyChloe,4,m,15,12,-9,+2,+7,
luckyChloe,1+2 or BT 1+2,hh,"6,20","22~23, 30~31",-2~-1,+13kg,KND(+13kg),Homing
luckyChloe,f+2,m,12,17,-4,+7,+7,
luckyChloe,"f+2, 1","m, m","12,20",17,-11,KND,KND,Wall Bound
luckyChloe,"f+2, 2","m, m","12,20",17,-4~-3,+2~+3s,KND,
luckyChloe,"f+2, 1+2","m, hh","12,6,20",17,-2~-1,+13kg,KND(+13kg),Homing
luckyChloe,f+3,m,15,16~17,-9~-8,+5~+6,+5~+6,
luckyChloe,f+4,m (TJ),14,27 js9~30,-4,+9s,+9s,
luckyChloe,"f+4, b",m (TJ),14,27b,-4,+9s,+9s,
luckyChloe,"f+4, 4","m (TJ), m (TJ)","14,10",js15~,-13,KND,KND,
luckyChloe,"f+4, 4, b","m (TJ), m (TJ)","14,10",b js15~,-9,KND,KND,
luckyChloe,f+1+2,h,32,27~29,+7~+9,KND,KND,Wall Bounce
luckyChloe,f+3+4,mml,"14,11,12","29~30a, 37~38, 70~73 js19~",-11~-8,+8~+11s (KND),+8~+11s (KND),
luckyChloe,"f+3+4, b",mml,"14,11","29~30a, 37~38, js19~",-4~-3,KND,KND,
luckyChloe,"f+3+4, 3","mm, m","14,11,8","29~30a, 37~38, 70~71 js19~",-17~-16s,KND,KND,
luckyChloe,d/f+1,m,13,13~14,-1~0,+7~+8,+7~+8,
luckyChloe,d/f+2,?,14,15,-13,Launch (JG?),Launch (JG?),
luckyChloe,WS+2,m,20,16,-13,Launch (JG?),Launch (JG?),
luckyChloe,"WS+2 or d/f+2 When hit, 4:3:1","m, m, m, m","14(20),20,10,20",16,-,KND,KND,
luckyChloe,d/f+3,m,15,14,-9,+2,+2,
luckyChloe,"d/f+3, 2","m, m","15,21",14,-6~-5,+2~+3s,KND,
luckyChloe,"d/f+3, 3","m, m","15,15",14,-14~-13,+7k,+7k,Tail spin
luckyChloe,d/f+4,l (TJ),19,25 js6~23,-12,+7s,KND,
luckyChloe,d+2,m,17,16,0,0,KND,
luckyChloe,d+3+4 or d/b+3+4,lll,"10,5,5","23~24, 33~34, 47s cs6~ar6~",-13,-2,-2,
luckyChloe,"d+3+4, 3+4","lll, ll","10,5,5,7,7",s cs1~ ar1~,-13~-12,0~+1s,0~+1s,
luckyChloe,d+3+4:d+3+4,"lll, hml","10,5,5,7,7,7"," 1~ 1~a,b",-34,-21s,-21s,
luckyChloe,"d+3+4:d+3+4, F","lll, hml, (Special)","10,5,5,7,7,7"," 1~ 1~,a",-57,-44s,-44s,
luckyChloe,"d+3+4:d+3+4, F, 3+4","lll, hml, (Special), m (TJ)","10,5,5,7,7,7",js1~,-8~-4,KND,KND,
