name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
marduk,In rage b+1+2,m (throw),55,20,-22,throw,throw,Rage art
marduk,In rage f+2+3,m (throw),"35(,12)",21,+7g,throw,throw,Rage drive
marduk,In rage f+2+3 (far),sm,10,45,-10,+9s,+9s,Rage drive
marduk,1,h,7,10,+1,+8,+8,
marduk,"1, 2","h, h","7, 12",-,-1,+5,+5,
marduk,"1, 2, 3+4","h, h, (special)7, 12",-,-,-3,+3,+3,
marduk,"1, 2, 3+4, 3+4","h, h (special)","7, 12",-,-2,+4,+4,
marduk,"1, 2, 3","h, h, m","7, 12, 12",-,-16,-5,-5,
marduk,"1, 2, 3, 1+2","h, h, m, h","7, 12, 12, 28",-,0s,+4s,+4s,
marduk,"1, 2, f+1","h, h, h","7, 12, 21",-,+4,+6,KND,
marduk,"1, d+2","h, m","7, 13",-,-9,+7,+7,
marduk,2,h,10,10,0,+8,+8,
marduk,"2, 1","h, h","10, 12",-,+3,+5,+5,
marduk,"2, d+1+2","h, m","10, 22",-,-12,JG,JG,
marduk,3,h,28,17,-14,KND,KND,
marduk,4,h,16,13,-5,+6,JG,
marduk,1+2,m,0,15,-9,+3,+16,
marduk,f+2,h,20,16,-7,+7,KND,
marduk,"f+2, 1","h, h","20, 25",-,-7,KND,KND,Tail spin
marduk,"f+2, d+1","h, m","20, 17",-,-13s,+2s,+2s,
marduk,"f+2, d+1, 2","h, m, m","20, 17, 16",-,-15,JG,JG,
marduk,f+3,m,13,23,-8,+5,+5,
marduk,"f+3, 2","m, m","13, 20",-,-11,Launch,Launch,
marduk,f+4,m,20,19,8s,+2s,KND,
marduk,f+1+2,h,21,15 pc8,-10,KND,KND,
marduk,f+3+4,h!,30,32,KND,KND,KND,
marduk,"f+3+4, 3+4",(special),-,total 45,-,-,-,
marduk,f+1+4,m,25,21,-18,+9g,+9g,
marduk,d/f+1,m,15,15,-13,JG,JG,
marduk,d/f+2,m,16,15,-7,+6,+6,
marduk,"d/f+2, 1","m, m","16, 21",-,-13,KND,KND,
marduk,d/f+3,m,13,17,-10,+2,+2,
marduk,"d/f+3, 1","m, h","13, 7",-,+2,+5,+5,
marduk,"d/f+3, 1, 2","m, h, h","13, 7, 10",-,-1,+5,+5,
marduk,"d/f+3, 1, 2, 3+4","m, h, h (special)","13, 7, 10",-,-3,+3,+3,
marduk,"d/f+3, 1, 2, 3+4, 3+4","m, h, h (special)","13, 7, 10",-,-2,+4,+4,
marduk,"d/f+3, 1, 2, 3","m, h, h, m","13, 7, 10, 12",-,-16,-5,-5,
marduk,"d/f+3, 1, 2, 3, 1+2","m, h, h, m, h","13, 7, 10, 12",-,0,+4s,+4s,
marduk,"d/f+3, 1, 2, f+1","m, h, h, h,","13, 7, 10, 12, 28",-,+4,+6,KND,
marduk,"d/f+3, 1, d+2","m, h, m","13, 7, 13",-,-9,+7,+7,
marduk,"d/f+3, 1+2","m, h","13, 28",-,0s,+4s,+4s,
marduk,"d/f+3, d/f+1","m, m","13, 10",-,-12,JG,JG,
