name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
masterRaven,in rage d/b+3+4,m (TJ),55,20 pc8~17 js9~17,-22,KND,KND,Rage art
masterRaven,in rage f+3+4,"m (TJ)(, (throw))","20,10",15~18 js7~,+5~+8,KND,KND,Rage drive
masterRaven,"in rage f+3+4, When hit 2","m (TJ), (throw), h","20,10,15",15~18 7~,-,KND,-,"Rage art, Tail spin"
masterRaven,"in rage f+3+4, When hit d+2","m (TJ), (throw), !","20,10,35",15~18 7~,-,KND,-,Rage art
masterRaven,1,h,7,10,+1,+8,+8,
masterRaven,"1, 2","h, h","7,12",10,-1,+6,+6,
masterRaven,"1, 2, 3+4","h, h, (Special)","7,12",10,-10,-3,-3,
masterRaven,2,h,10,10,-1,+8,+8,
masterRaven,"2, 3","h, l (TC)","10,10",s cs6~,-12,-1,-1,
masterRaven,"2, 4","h, h","10,17", 6~,-12~-10,+10~+12kg,KND,Tail spin
masterRaven,3,m,12,14~15,-8~-7,+3~+4,+3~+4,
masterRaven,"3, 3","m, h","12,12",14~15,-8~-7,+3~+4,+3~+4,
masterRaven,"3, 3, 4","m, h, h","12,10,20",14~15a,-9,KND,KND,
masterRaven,"3, 3, 4, b (Cancel)","m, h, (Special)","12,10",14~15ab,-16~-15,-8~-7,-5~-4,
masterRaven,4,h,17,12,-8,+3,JG,
masterRaven,"4, 1","h, h","17,12",12b,-2~-1,+5~+6,+5~+6,
masterRaven,3~4,mm(BT),"13,15","25~26, 31~36b (25~)",-9~-4,KND,KND,
masterRaven,"3~4, f","mm, (PHR)","13,15","25~26, 31~36a (25~)",-39~-34,KND,KND,
masterRaven,4~3,mm,"13,15",25 js14~,-9,Launch (JG?),Launch (JG?),
masterRaven,"4~3, F",mm (special),13,25 js14~,-39,KND,KND,
masterRaven,"4~3, 1","m, m, l (TC)","8,10(12),12",s cs1~,-13~-12,+4~+5,+4~+5,
masterRaven,"4~3, 3","m, m, h","8,10(12),23", 1~,-4~0,KND,KND,Tail spin
masterRaven,"4~3, 4","m, m, m","8,10(12),17", 1~,-14~-13,KND,KND,
masterRaven,1+2,m(Attack returned),23,14,-9,CS,KND,
masterRaven,f+2,m,12,15~16,-10~-9,+1~+2,+1~+2,
masterRaven,"f+2, 3","m, m","12,19",15~16,-10~-9,+6~+7s,KND,
masterRaven,f+3,m,18,17,-10,+1,+1,Homing
masterRaven,"f+3, B",m(BT),18,17b,-6,+5,+5,Homing
masterRaven,"f+3, 2","m, m","18,21",17,-14,KND,KND,
masterRaven,f+4,h,25,15~16,-9~-8,KND,KND,
masterRaven,f+1+2,m,24,19~21 pc8~21,-14~-12,KND,KND,"Power crush, Homing"
masterRaven,d/f+1,m,15,14~15,-1~0,+7~+8,+7~+8,
masterRaven,d/f+2,m,16,16~18b,-11~-9,Launch (JG?) +3(SH),Launch (JG?),
masterRaven,"d/f+2, 3","m, h","16,25",16~18,-3~-2,KND,KND,Tail spin
masterRaven,"d/f+2, 4","m, m","16,20",16~18,-15~-14,KND,KND,
masterRaven,d/f+3,h (TC),21,15~16 cs8~,-9~-8,+7~+8(SH),Launch,
masterRaven,d/f+4,m,13,15~16,-15~-14,-1~0 (Launch (JG?)),-1~0 (Launch (JG?)),
masterRaven,"d/f+4, 4","m, m","13,13",15~16,-15~-14,KND,KND,
masterRaven,"d/f+4, 4, 3","m, m, m (TJ)","13,15,22",js1~,-6~-3,KND,KND,
masterRaven,"d/f+4, 4, U","m, m, (Special) (TJ)","13,15",js1~,-29~-26,-18~-15s -10~-7s,KND,
masterRaven,d/f+1+2,m,30,40,-12,KND,KND,
masterRaven,"d/f+1+2, B (Cancel)",(BT),-,b,-,-,-,
masterRaven,d+3,l,12,14~15,-12~-11,0~+1,0~+1,
masterRaven,d+4,l (TC),18,21s cs6~,-13,-2,+13g,
masterRaven,d/b+2,m,13,13~14b,-4~-3,+5~+6,+5~+6,
masterRaven,"d/b+2, 1","m, h","13,15",13~14,-1~0,+7~+8,+7~+8,
masterRaven,d/b+3,l (TJ),19,29~30s js8~27 cs28~,-12~-11,+5~+6,KND,
masterRaven,d/b+4,l (TC),21,24~25s cs6~,-14~-13,+4~+5s,KND,
masterRaven,b+1,h,25,16~17,+5~+6s,+5~+6s,KND,
masterRaven,b+2,h,12,15~17,-14~-12,-3~-1,-3~-1,
masterRaven,"b+2, 2","h, m","12,12",15~17b,-3,+8g,+8,
masterRaven,"b+2, 2, 3","h, m, m","12,12,20",15~17,-19~-18,KND,Launch (JG?),
masterRaven,"b+2, 2, 1+2","h, m, l (TC)","12,12,15",cs18~,-30~-29,KND,KND,
masterRaven,"b+2, 4","h, h","12,15",18~,-7~-6,+4~+5,+4~+5,
masterRaven,"b+2, 4, 2","h, h, h (TJ)","12,15,20",js1~,-9~-8,KND,KND,Tail spin
masterRaven,"b+2, 4, U","h, h, (Special) (TJ)","12,15",js1~,-23~-22,-7~-6,-7~-6,
masterRaven,b+3,m,23,27~29,+1~+3,KND,KND,
masterRaven,b+4,m,11,14~15,-11~-10,0~+1,0~+1,
masterRaven,"b+4, 4","m, h","11,19",14~15b,-9~-8,+6~+7k,+6~+7k,Tail spin
masterRaven,"b+4, b+4","m, m","11,24",14~15b,+1~+6s,+2~+7s,KND,
masterRaven,"b+4, (b+4, 3)","m, l (TC)","11,11",cs13~,-11,0,0,
masterRaven,"b+4, (b+4, 3), 4","m, l (TC), l (TC)","11,11,9",cs1~,-11~-10,0~+1,KND,
masterRaven,"b+4, (b+4, 3), 4, 2","m, l (TC), l (TC), m","11,11,9,21",1~,-13,CS,KND,
masterRaven,"b+4, (b+4, 3), f+4","m, l (TC), l (TC)","11,11,12",cs1~,-11~-10,0~+1,KND,
masterRaven,"b+4, (b+4, 3), f+4, 2","m, l (TC), l (TC), m","11,11,12,21",1~,-13,CS,KND,
masterRaven,"b+4, (b+4, 3), f+4~3","m, l (TC), m (TJ)","11,11,22",js2~,-6~-3,KND,KND,
masterRaven,"b+4, (b+4, 3), f+4, U","m, l (TC), (Special) (TJ)","11,11",js2?~,-58~-57,-47~-46,KND,
masterRaven,"b+4, (b+4, 3), 3+4","m, l (TC), m","11,11,15",2?~,-25~-21,KND,KND,
masterRaven,b+1+2,m,28,31~32,-10~-9,+1~+2,+1~+2,
masterRaven,"b+1+2, 2","m, m","28,12",31~32b,+1~+2s,+4~+5s,KND,
masterRaven,"b+1+2, 3","m, l","28,17",31~32(b),-28~-25,KND,KND,
masterRaven,u/b+1,m?,11,16,-6,+5,+5,
masterRaven,"u/b+1, 2","m, m","11,13",16,-13~-12,-2~-1s,-2~-1s,
masterRaven,u/b or u+3,h (TJ),25,26~28b js8~,-2~0,+5~+7,+5~+7,Homing
masterRaven,"u/b or u+3, 3","h (TJ), m","25,20",26~28 8~,-15~-14,KND,KND,
masterRaven,"u/b or u+3, 4","h (TJ), h (TJ)","25,37",js27~,+8~+9y,KND,KND,
masterRaven,"u/b or u+3, d+3","h (TJ), l (TC)","25,18",cs14~,-15~-14,KND,KND,
masterRaven,"u/b or u+3, D+3","m, l, (Special)","25,18",cs14~,-29~-28,KND,KND,
masterRaven,"u/b or u+3, d+3, 3","h (TJ), l (TC), m (TJ)","25,18,22",js1~,-6~-3,KND,KND,
masterRaven,"u/b or u+3, d+3, U","h (TJ), l (TC), (Special) (TJ)","33,24",js1~,-35~-34,KND,KND,
masterRaven,u/f+3,m (TJ),20,29~30 js9~,-4~-3,0~+1s,KND,
masterRaven,u/b or u+4,m (TJ),13,19~23 js8~,-5~-1,KND,KND,
masterRaven,u/f+4,m (TJ),16,19~23 js8~,-5~-1,KND,KND,
masterRaven,"u/b or u or u/f+4, 4","m (TJ), m","13or16,20",19~23 8~,-15~-12,KND,KND,
masterRaven,u/f+3+4,m (TJ),20,23~25 js8~,-17~-15,KND,KND,
