name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
miguel,in rage b+1+2 in rage SAV b+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
miguel,in rage d/b+1+2,mm,"10,10","17~18, 37~38",+3~+4,KND,KND,"Rage drive, Tail spin"
miguel,in rage d/b+1+2 (Second hit miss),m,10,17~18,-?,KND,KND,Rage drive
miguel,1,h,7,10,+1,+8,+8,
miguel,"1, 2","h, h","7,12",10,-1,+5,+5,
miguel,"1, 2, 4","h, h, h","7,12,20",10,+3~+4,KND,KND,
miguel,"1, 2, 4, F","h, h, h, (SAV)","7,12,20",10,+3,KND,KND,
miguel,"1, 2, 1+2","h, h, m","7,12,30",10,+4~+5s,KND,KND,
miguel,"1, 3","h, l","7,12",s cs12~,-12,+1,+1,
miguel,2,h,12,11,-8,+3,+8,
miguel,"2, 1","h, h","12,15",11,-4~-3,+7~+8,+7~+8,
miguel,"2, 1, f","h, h, (SAV)","12,15",11,-4~-3,+7~+8,+7~+8,
miguel,3,h,16,13,-7,+2,+2,
miguel,"3, 4","h, m","14,20",13,-12~-11,KND,CS,Tail spin
miguel,4,h,14,12,-9,+5,Launch (JG?),
miguel,1+2,m,20,19~20,-7~-6,+4~+5s,+4~+5s,
miguel,"1+2, d",m,20,19~20s,-7~-6,+4~+5s,+4~+5s,
miguel,"1+2, 1+2","m, m","20,20",19~20,-14~-13,KND,KND,
miguel,f+2,h?,17,15,-3,+6,CS,
miguel,f+3,m,13,20~21,-6~-5,+6~+7s,+6~+7s,
miguel,"f+3, 4","m, m","13,12",20~21,-15,KND,KND,
miguel,f+4,m,15,17~18,-7~-6,+6~+7,+6~+7,Homing
miguel,"f+4, 2","m, m?","15,20",17~18,-12~-11,KND,KND,Tail spin
miguel,f+1+2,h,20,14~15,-5~-4,KND,KND,
miguel,f+3+4,(Special),-,(g),-,-,-,
miguel,"f+3+4, F",!,178,47(191),KND,KND,KND,
miguel,f+2+3,m,28,24~33,-7~+2,KND,KND,
miguel,d/f+1,m,12,13,-2,+5,+5,
miguel,"d/f+1, F","m, (SAV)",12,13,-2,+5,+5,
miguel,"d/f+1, 1","m, h","12,13",13,-3~-2,+5~+6,+5~+6,
miguel,"d/f+1, 1, F","m, h, (SAV)","12,13",13,-3~-2,+5~+6,+5~+6,
miguel,"d/f+1, 1, 2","m, h, m","12,13,18",13,-12,+2,KND,
miguel,"d/f+1, 1, 3","m, h, l","12,13,13",13,-12~-11,+2~+3,KND,
miguel,"d/f+1, 1, 3, F","m, h, l, (SAV)","12,13,13",13,-12~-11,+2~+3,KND,
miguel,"d/f+1, 2","m, m","12,18",13,-12,+3,KND,
miguel,d/f+2,m,10,16,-7,+6,+6,
miguel,"d/f+2, 1","m, m","10,10",16,-15~-14,Launch (JG?),Launch (JG?),
miguel,"d/f+2, 2","m, m","10,22",16,-6~-5,+13~+14kg,+13~+14kg,Tail spin
miguel,"d/f+2, d+2","m, m","10,22",js19~,-3~-2,KND,KND,
miguel,d/f+3,m,11,16,-6,+5,+5,
miguel,"d/f+3, 2","m, m","11,14",16,-6,+5 +30g(KND),+5 +30g(KND),
miguel,d/f+4,m,13,14~15,-7~-6,+4~+5,+4~+5,
miguel,"d/f+4, 1","m, h","13,8",14~15,-5,+6,+6,
miguel,"d/f+4, 1, f","m, h, (SAV)","13,8",14~15,-5,+6,+6,
miguel,"d/f+4, 1, 1","m, h, m","13,8,17",14~15,-10~-9,+7~+8,CS,
miguel,d+2,m,24,18~19,-7~-6s,+4~+5s,KND,
miguel,d+3,l (TC),15,21s cs6~,-12,+1,+1,
miguel,d+4,l,10,16,-11,0,0,
miguel,"d+4, 1+2","l, h","10,20",16,-8s,+5s,+5s,
miguel,"d+4, 1+2, f","l, h, (SAV)","10,20",16,-8s,+5s,+5s,
miguel,d+1+2,m (TC),28,21~24 cs10~20,-12~-9,KND,KND,
miguel,d+3+4,m,20,21~22,-15~-14,KND,KND,
miguel,d/b+1,l (TC),12,25~26s cs9~,-18~-17,KND,KND,
miguel,d/b+1*,l (TC),12,31~32s cs9?~,-18~-17,KND,KND,
miguel,d/b+2,m?,23,20~21,-9~-8,KND,KND,
miguel,d/b+3,l,12,18~19,-13~-12,+3~+4,+3~+4,
miguel,"d/b+3, f","l, (SAV)",12,18~19,-13~-12,+3~+4,+3~+4,
miguel,"d/b+3, 4","l, l","12,13",18~19,-19~-18,-8~-7,-8~-7,
miguel,d/b+4,l,17,18~19,-14~-13,+2~+3s,KND,
miguel,b+1,h,17,11,-9,+2,CS,
miguel,"b+1, F","h, (SAV)",17,11,-9,-1,CS,
miguel,b+2,h,15,16,-6,+2,+2,
miguel,"b+2, 2","h, m","15,22",16s,-7~-6,+3~+4s,KND,
miguel,b+3,m (TJ),25,30~32 js16~,+7~+9,+7~+9s,KND,
miguel,"b+3, f","m (TJ), (SAV)",25,30~32 js16~,+7~+9,+7~+9s,KND,
miguel,b+4,m,25,19 pc8~18,-14,KND,KND,"Power crush, Wall bounce"
miguel,u/b+1,m,15,21~22,-5~-4s,-3~-2s,-3~-2s,
miguel,"u/b+1, f","m, (SAV)",15,21~22,-5~-4s,-3~-2s,-3~-2s,
miguel,"u/b+1, 4","m, l","15,17",21~22,-15,+9,+9,
miguel,u/f+1,m (TJ),21,25~26 js9~,+3~+4,KND,KND,
miguel,"u/f+1, F","m (TJ), (SAV)",21,25~26 js9~,+3~+4,KND,KND,
miguel,u/b+3,m (TJ),13,19 js9~,-10,+3,+3,
miguel,u+3,m (TJ),15,19 js9~,-10,+3,+3,
miguel,u/f+3,m (TJ),17,19 js9~,-10,+3,+3,
miguel,"u/f+3, 2","m (TJ), h","17,8",19 9~,-12,+6,+6,
miguel,"u/f+3, 2, 2","m (TJ), h, m","17,8,25",19 9~,-6s,+5s,KND,
miguel,u/b+4,m (TJ),11,15~16 js9~,-20~-19,-8~-7,-8~-7,
miguel,u+4,m (TJ),15,15~16 js9~,-13~-12,KND,Launch (JG?),
miguel,u/f+4,m (TJ),13,15~16 js9~,-13~-12,Launch (JG?),Launch (JG?),
miguel,"f, F+2",m,14,18~19 (19~),-14~-13,+2~+3,+2~+3,
miguel,"f, F+2, 1","m, h","14,27",18~19 (19~),-5~-4,KND,KND,
miguel,"f, F+2, 2","m, m","14,23",18~19 (19~),-13,KND,KND,
miguel,"f, F+2, 2, d (Cancel)",m,14,18~19 (19~)s,-24~-23,-8~-7,-8~-7,
miguel,"f, F+3",h,28,20~21 (21~),-9~-8,KND,KND,"Homing, Tail spin"
miguel,"b, f+1",h,23,21~22 (21~),-8~-7,KND,KND,
miguel,"b, d/f+4",l,28,27,-15,+8s,KND,Homing
miguel,"b, d/f+4, F",l (SAV),24,27,-15,+8s,KND,
miguel,"f, f, f+3 or WR+3",m (TJ),30,23~24 (26~) js3~,+9~+10g,KND,KND,
miguel,WS+1,m,16,11~12,-3~-2,+8~+9,+8~+9,
miguel,"WS+1, F","m, (SAV)",16,11~12,-3~-2,+8~+9,+8~+9,
miguel,WS+2,m,10,14,-8~-7,+3~+4a,+3~+4a,
miguel,"WS+2, 2","m, h","10,8",14,-12~-11,+6~+7(Launch (JG?)),+6~+7,
miguel,"WS+2, 2, 2","m, h, m","10,8,25",14,-6~-5s,+5~+6s,KND,
miguel,"WS+2, 4","m, h","10,25",14,-12~-11,KND (KND),KND,Tail spin
miguel,WS+3,m (TC),23,18 cs2~,-12,KND,KND,
miguel,WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
miguel,WS+1+2,h,15,14,+1,+3,+3,
miguel,FC+d/f+2,m?,24,15d,-12,+7,CS,
miguel,FC+d/f+4,l (TC),23,22~23s cs1~,-26,KND,KND,
miguel,Opponent Down d+3,On grounded opponent(l),20,20,-13,-2,-2,
miguel,1+4,(Special),-,20,-,-,-,
miguel,"3+4 or From certain moves, F (to SAV)",(SAV),-,20,-,-,-,
miguel,SAV 1,h,12,12~13 (22~),-2~-1,+6~+7,+6~+7,
miguel,"SAV 1, F","h, (SAV)",9,12~13 (22~),-2~-1,+6~+7,+6~+7,
miguel,"SAV 1, 1","h, h","9,20",12~13 (22~),-9~-8,KND,CS,Tail spin
miguel,"SAV 1, 2","h, m","9,8",12~13 (22~),-10~-9,+3~+4,+3~+4,
miguel,"SAV 1, 2, F","h, m, (SAV)","9,8",12~13 (22~),-10~-9,+3~+4,+3~+4,
miguel,"SAV 1, 2, 1","h, m, m","9,8,20",12~13 (22~),-17~-16,Launch (JG?),Launch (JG?),
miguel,"SAV 1, 4","h, m","9,25",12~13 (22~),-10~-9,KND,KND,Wall bounce
miguel,SAV 2,m,32,16(26~),-9~-8,KND,KND,
miguel,SAV 3,m,12,15(25~),-5,+1,+1,
miguel,"SAV 3, F","m, (SAV)",12,15(25~),-5,+1,+1,
miguel,"SAV 3, 3","m, h","12,17",15(25~),-9~-8,-2~-1,CS,
miguel,"SAV 3, 3, F","m, h, (SAV)","12,17",15(25~),-9~-8,-2~-1,CS,
miguel,SAV 4,h,27,15~17 (25~),-5~-3,KND,"KND, Tail spin","Homing, Tail spin"
miguel,SAV 1+2,m,"20(,5)",28~29 (38~) pc6~27,-21~-20,Launch,Launch,Power crush
miguel,SAV 1+2*,m,"23(,5)",41~42 (51~) pc6~27,-12~-11,Launch,Launch,Power crush
miguel,SAV f+1+2,h,22,16~17 (26~),+5~+6s,+6~+7s,+6~+7s,
miguel,"SAV f+1+2, F","h, (SAV)",22,16~17 (26~),+5~+6s,+6~+7s,+6~+7s,
miguel,SAV d/f+1,m,15,14(24~),-2,+8,+8,
miguel,"SAV d/f+1, F","m, (SAV)",15,14(24~),-2,+8,+8,
miguel,SAV d/f+2,m?,23,19~20 (29~),-17~-16,Launch (JG?),Launch (JG?),
miguel,SAV d+4,l,8,15(25~),-14,-3,-3,
miguel,"SAV d+4, F","l, (SAV)",8,15(25~),-14,-3,-3,
miguel,"SAV d+4, 3","l, m","8,15",15(25~),-15,-2,-2,
miguel,"SAV d+4, 3, F","l, m, (SAV)","8,12",15(25~),-15,-2,-2,
miguel,SAV d/b+3,l,20,19~20 (29~),-13~-12,+4~+5,KND,
miguel,"SAV d/b+3, F","l, (SAV)",20,19~20 (29~),-13~-12,+4~+5,KND,
miguel,SAV d/b+4,l (TC),20,26~27s (38~) cs10~,-29,KND,KND,Homing
miguel,SAV b+1,m,16,14~15 (24~),-7~-6,+1~+2,+1~+2,
miguel,"SAV b+1, F","m, (SAV)",16,14~15 (24~),-7~-6,+1~+2,+1~+2,
miguel,"SAV b+1, 2","m, l (TC)","16,15",s cs15~,-18~-17,KND,KND,
miguel,"SAV b+1, 4","m, m","16,17", 15~,-10~-9,+8~+9,KND,
miguel,SAV b+2,m(Absorbs 1 h/m hit),20,23(33~) (reversal 4~10),-9,KND,KND,
miguel,SAV b+3,h,20,17~18 (27~) pc8~16,-7~-6,KND,KND,Power crush
miguel,"SAV b+3, F","h, (SAV)",20,17~18 (27~) pc8~16,-7~-6,KND,KND,Power crush
miguel,SAV u/f+3,m,25,15~16 (25~) js14~,-9~-8,KND,KND,
miguel,"SAV , ,",-,-,(+10~),-,-,-,
miguel,1,h,7,10,+1,+8,+8,
miguel,2,h,12,11,-8,+3,+8,
miguel,3,h,16,13,-7,+2,+2,
miguel,4,h,14,12,-9,+5,Launch (JG?),
miguel,f+1,h,7,10,+1,+8,+8,
miguel,f+2,h?,17,15,-3,+6,CS,
miguel,f+3,m,13,20~21,-6~-5,+6~+7s,+6~+7s,
miguel,f+4,m,15,17~18,-7~-6,+6~+7,+6~+7,Homing
miguel,d/f+1,m,12,13,-2,+5,+5,
miguel,d/f+2,m,10,16,-7,+6,+6,
miguel,d/f+3,m,11,16,-6,+5,+5,
miguel,d/f+4,m,13,14~15,-7~-6,+4~+5,+4~+5,
miguel,d+1,Sm (TC),5,10s cs4~,-5,+6,+6,
miguel,d+2,m,24,18~19,-7~-6s,+4~+5s,KND,
miguel,d+3,l (TC),15,21s cs6~,-12,+1,+1,
miguel,d+4,l,10,16,-11,0,0,
miguel,d/b+1,l (TC),12,25~26s cs9~,-18~-17,KND,KND,
miguel,d/b+2,m?,23,20~21,-9~-8,KND,KND,
miguel,d/b+3,l,12,18~19,-13~-12,+3~+4,+3~+4,
miguel,d/b+4,l,17,18~19,-14~-13,+2~+3s,KND,
miguel,d/b+3+4,l (TC),7,12s cs4~,-13,-2,-2,
miguel,b+1,h,17,11,-9,+2,CS,
miguel,b+2,h,15,16,-6,+2,+2,
miguel,b+3,m (TJ),25,30~32 js16~,+7~+9,+7~+9s,KND,
miguel,b+4,m,25,19 pc8~18,-14,KND,KND,"Power crush, Wall bounce"
miguel,u/b+1,m,15,21~22,-5~-4s,-3~-2s,-3~-2s,
miguel,u+1 or u/b+1+2 or u/f+1+2,m (TJ),12,18 js9~,-8,+3,+3,
miguel,u/f+1,m (TJ),21,25,+3,KND,KND,
miguel,u/b or u or u/f+2,h,17,15~16,-12~-11,+9~+10g,+9~+10g,
miguel,u/b+3,m (TJ),13,19 js9~,-10,+3,+3,
miguel,u+3,m (TJ),15,19 js9~,-10,+3,+3,
miguel,u/f+3,m (TJ),17,19 js9~,-10,+3,+3,
miguel,u/b+4,m (TJ),11,15~16 js9~,-20~-19,-8~-7,-8~-7,
miguel,u+4,m (TJ),15,15~16 js9~,-13~-12,KND,Launch (JG?),
miguel,u/f+4,m (TJ),13,15~16 js9~,-13~-12,Launch (JG?),Launch (JG?),
miguel,"u/f, n+4",m,25,"23(29,35) js9~33",-11(-13),Launch (JG?),Launch (JG?),
miguel,WS+1,m,16,11~12,-3~-2,+8~+9,+8~+9,
miguel,WS+2,m,10,14,-8~-7,+3~+4a,+3~+4a,
miguel,WS+3,m (TC),23,18 cs2~,-12,KND,KND,
miguel,WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
miguel,FC+1,Sm (TC),5,10s cs1~,-5,+6,+6,
miguel,FC+d/b or d+2,Sm (TC),8,11s cs1~,-4,+7,+7,
miguel,FC+3,l (TC),12,16s cs1~,-17,-3,-3,
miguel,FC+d/b or d+4,l (TC),10,12s cs1~,-15,-4,-4,
miguel,SS+1,h,7,10(11~),+1,+8,+8,
miguel,SS+2,h,12,11(12~),-8,+3,+8,
miguel,SS+3,h,16,15(16~),-7,+2,+2,
miguel,SS+4,h,17,12(13~),-7,+4,Launch (JG?),
miguel,BT 1 or 2,h,15,8,-8,+3,+3,
miguel,BT 3 or 4,h,25,10,-8,KND,KND,
miguel,BT d+1 or 2,Sm,10,10s cs1~,-2,+9,+9,
miguel,BT d+3 or 4,l,12,10s cs1~,-11,+3,+3,
