name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
negan,In rage d+1+2,m (throw),"10,45",20,-22,throw,throw,Rage art
negan,In rage b+2+3,"m, m","10,10",22,+8,JG,JG,Rage drive
negan,"In rage b+2+3, F","m, m","10,10",22,6g,KND,KND,Wall bounce
negan,"In rage b+2+3, B","m, m","10,10(,3)",22,-7,JG,JG,
negan,1,h,7,10,+1,+8,+8,
negan,"1, 1","h, h","7,9",10,-3,+8,+8,
negan,"1, 1, 2","h, h, m","7,19,17",10,-9,+5,KND,
negan,"1, 2","h, h","7,9",10,-8,+3,+3,
negan,"1, 2*","h, h (INT)","7,9",-,-8,+3,+3,
negan,"1, 2, 2","h, h, m","7,9,22",10,+4,JG,JG,
negan,"1, 2, 4","h, h, h","7,9,13",10,-9,+1,KND,
negan,"1, 4","h, h","7,17",10,-6,+3,+3,
negan,"1, 4, 2","h, h, m","7,17,20",10,-5,+6s,KND,
negan,2,h,9,11,-8,+3,+3,
negan,"2, 1","h, h","9,12",11,-7,+4,+4,
negan,"2, 1, 4","h, h, l","9,12,15",-,-12,+3s,KND,
negan,"2, 2","h, m","9,17",-,-14,+1s,+1s,
negan,"2, 2, 2","h, m, m","9,17,17",-,-14,+1s,+1s,
negan,"2, 2, 2, 2","h, m, m, m","9,17,17,20",-,-14s,KND,KND,
negan,3,h,25,13,-9,+2,+2,
negan,4,h,17,12,-6,+3,+3,
negan,"4, 2","h, m","17,20",-,-5,+6s,KND,
negan,1+2,"h, m","14,24",13,-14,KND,KNd,
negan,2+3,m,0,14,-7,+2,+14,
negan,f+2,h,10,14,-7,+4,+4,
negan,"f+2, 2","h, m (throw)","10,15(,25)",-,-12,throw,throw,
negan,f+3,m,13,18,-7,+9,+9,
negan,"f+3, 2","m, m","13,20",-,-19,KND,KND,
negan,f+1+2,m,21,24 pc8,-15,JG,JG,Power crush
negan,f+2+3,l,16,28,-12,+5,+5,
negan,d/f+1,m,13,13,-3,+4,+4,
negan,"d/f+1, 1","m, h","13,9",-,-4, +7,+7,
negan,"d/f+1, 1, 2","m, h, m","13,9,21",-,-13,KND,KND,Tail spin
negan,"d/f+1, 2","m, m","13,20",-,-11,+7,+7,
negan,"d/f+1,2*","m, m (INT)","13,20",-,-11,+7,+7,
negan,d/f+2,m,12,15,-14,JG,JG,
negan,d/f+2*,m (INT),12,-,-15,JG,JG,
negan,d/f+3,m,13,15,-7,+4,+4,
negan,"d/f+3, 1","m, h","13,12",-,-2,+9,+9,
negan,"d/f+3, 1, 2","m, h, m","13,12,20",-,-11,+4s,KND,
negan,"d/f+3, 1, 4","m, h, m","13,12,23",-,-14,KND,KND,
negan,d/f+4,m,15,14,-7,+4,+4,
negan,"d/f+4, 2","m, h","15,20",-,+1,+6,+6,
negan,"d/f+4, 2*","m, h (INT)","15,20",-,+5,+10,+10,
