name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
nina,in rage d+1+2,m,55,20 pc8~17,-22,Throw(KND),Throw(KND),Rage art
nina,in rage f+2+3,m (TJ),50,20~21 js5~17,+9~+10g (wl+15g),KND,KND,Rage drive
nina,"in rage f+2+3, d/f","m (TJ), (Special)",50,20~21,+28~+29?,KND,KND,Rage drive
nina,1,h,7,10,+1,+8,+8,
nina,"1, 2","h, h","7,10","10,20",-1,+5,+5,
nina,"1, 2, u or D","h, h, (Special)","7,10","10,20",0,+6,+6,
nina,"1, 2, 1","h, h, h","7,10,6","10,20",-3,+4,+4,
nina,"1, 2, 1, 4","h, h, h, l (TC)","7,10,6,12",s cs10~,-13,-2,-2,
nina,"1, 2, 3","h, h, m","7,10,15", 10~,-13,+2,+2,
nina,"1, 2, 4","h, h, h","7,10,22", 10~,-6,KND,CS,Tail spin
nina,"1, 2, 1+2","h, h, m","7,10,22", 10~,-14,KND,KND,
nina,"1, 2, 1, 2","h, h, h, h","7,10,6,6", 10~,-10,+1,+1,
nina,"1, 2, 1, 2, 1+2","h, h, h, h, m","7,10,6,6,22", 10~,-14,KND,KND,
nina,"1, 4","h, h","7,17", 10~,-4,+1,CS,
nina,"1, 4, 1","h, h, m","7,17,21", 10~,-11~-10,+15~+16kg,KND,Tail spin
nina,2,h,10,10,+1,+7,+7,
nina,"2, 1","h, h","10,6","10,26",-3,+4,+4,
nina,"2, 1, 4","h, h, l (TC)","10,6,12",s cs10~,-13,-2,-2,
nina,"2, 3","h, m","10,15", 10~,-13,+2,+2,
nina,"2, 4","h, h","10,22", 10~,-6,KND,CS,Tail spin
nina,"2, 1+2","h, m","10,22", 10~,-14,KND,KND,
nina,3,h,14,14,-16,-5,-5,
nina,"3, 3","h, l (TC)","14,10",cs18~,-17,-6,-6,
nina,"3, 3, 2","h, l (TC), m","14,10,10",18~,-13~-11,Launch (JG?),Launch (JG?),
nina,"3, 3, 4","h, l (TC), h","14,10,18",18~,-6,+5,Launch (JG?),
nina,"3, 3, 4, 3","h, l (TC), h, m","14,10,18,20",18~,+2~+3s,+5~+6s,KND,
nina,"3, 4","h, h","14,20",18~,-6,KND,CS,Tail spin
nina,"3, d","h, (Special)",14,14,-27,-16,-16,
nina,"3, d, D","h, (Special)",14,14s,-23,-12,-12,
nina,"3, d, 1+2","h, (Special), m","14,22",14,-11,KND,KND,
nina,4,h,15,11,-9,+8,Launch,
nina,"4, 3","h, l (TC)","15,13",cs10~,-17,-3,-3,
nina,"4, 3, 2","h, l (TC), m","15,13,10",10~,-13~-11,Launch (JG?),Launch (JG?),
nina,"4, 3, 4","h, l (TC), h","15,13,18",10~,-6,+5,Launch (JG?),
nina,"4, 3, 4, 3","h, l (TC), h, m","15,13,10,20",10~,+2~+3s,+5~+6s,JG,
nina,"4, u","h, (Special)",15,11,-34,-17,Launch (JG?),
nina,"4, u, D","h, (Special)",15,11s,-30,-13,Launch (JG?),
nina,"4, u, 1+2","h, (Special), m","15,22",11,-11,KND,KND,
nina,1+4,mm,"4,20","15~16, 28~29",-5~-4,+4~+5s,+6~+7s (+8s),
nina,f+2,h,12,13,-3,+8,+8,
nina,"f+2, 1","h, m","12,12",13,-13~-12,-6~-5a,-6~-5a,
nina,"f+2, 1, 2","h, m, m","12,12,20",13,-12~-10s,+4~+6s (KND),KND,
nina,"f+2, 1, 4","h, m, h","12,12,22",13,-3~-1,KND(KND),KND,Tail spin
nina,f+3,hh,"10,20","14~15, 25~26",+6~+7,KND,CS,
nina,f+3 (Second hit ducked),h,10,14~15,-24s,-,-,
nina,f+3 (Only first hit on counter),h,10,14~15,-,-,CS (12~13),
nina,f+4,h,14,16,-12,-3,-1,
nina,"f+4, 3","h, m","14,13",16,-14,Launch (JG?),Launch (JG?),
nina,"f+4, 3, 3","h, m, m (TJ)","14,13,20",a js19~,-14~-11,KND,KND,
nina,"f+4, 4","h, h","14,17", 19~,+1,+13kg,KND,
nina,f+1+2 or WS+1+2,m,24,17 pc8~16,-14,KND,KND,Power crush
nina,d/f+1,m,13,13,-1,+5,+5,
nina,"d/f+1, 2","m, h","13,10","13,30",-3,+2,+9,
nina,"d/f+1, 2, f or d/f","m, h, (Special)","13,10","13,30",-3,+2,+9,
nina,"d/f+1, 2, u or D","m, h, (Special)","13,10","13,30",-1,+4,+11,
nina,d/f+2,m,12,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
nina,d/f+3,m,13,14,-11,+1,+1,
nina,"d/f+3, 1","m, h","13,10",14,-8,+3,+3,
nina,"d/f+3, 1, d or u (Cancel)","m, (Special)",13,14,-19,-7,-7,
nina,"d/f+3, 1, 2","m, h, h","13,10,6",14,-10,+1,+1,
nina,"d/f+3, 1, 2, 1+2","m, h, h, m","13,10,6,22",14,-14,KND,KND,
nina,"d/f+3, 2","m, h","13,12","14,33",+1,+2,+12,
nina,"d/f+3, 2, f or d/f","m, h, (Special)","13,12","14,33",-1,0,+10,
nina,"d/f+3, 2, d or u","m, h, (Special)","13,12","14,33",0,+1,+11,
nina,"d/f+3, 2, 1","m, h, h","13,12,6","14,33",-3,+4,+4,
nina,"d/f+3, 2, 1, 4","m, h, h, l (TC)","13,12,6,12",s cs10~,-13,-2,-2,
nina,"d/f+3, 2, 3","m, h, m","13,12,21", 10~,-17~-16,Launch (JG?),Launch (JG?),
nina,"d/f+3, 2, 4","m, h, h","13,12,22", 10~,-6,KND,CS,Tail spin
nina,"d/f+3, 2, d+3","m, h, l (TC)","13,12,10",s cs10~,-14,-3,-3,
nina,"d/f+3, 2, d+3, 2","m, h, l (TC), m","13,12,10,10", 10~,-13~-11,Launch (JG?),Launch (JG?),
nina,"d/f+3, 2, d+3, 4","m, h, l (TC), h","13,12,10,18", 10~,-6,+5,Launch (JG?),
nina,"d/f+3, 2, d+3, 4 , 3","m, h, l (TC), h, m","13,12,10,18", 10~,+2~+3s,+5~+6s,KND,
nina,"d/f+3, 3","m, h","13,6", 10~,-14,-3,-3,
nina,"d/f+3, 3, 3","m, h, h","13,6", 10~,-14,-3,-3,
nina,"d/f+3, 3, 3, 4","m, h, h, h","13,6,8,20", 10~,-6,KND,CS,Tail spin
nina,"d/f+3, 4","m, h (TJ)","13,21",a js20~,-4~-3,+7~+8,+7~+8,
nina,"d/f+3, 4, 4","m, h (TJ), l","13,21,20",js1~11 cs15~,-13~-11,KND,YKU,
nina,"d/f+3, 4, 3+4","m, h (TJ), mm","13,21,8,21","js1~9, js28~41",-6~0,KND,KND,
nina,"d/f+3, f+4","m, h","13,20","1~9, 28~41",-6,KND,CS,Tail spin
nina,d/f+4,m,15,12,-4,+7,+7,
nina,d/f+1+2,mm,"5,10","16~17, 18~19",-3~-2,+20~+21kg,+20~+21kg,
nina,d/f+1+2 (First hit only),m,5,16~17,-5~-4,+7~+8,+7~+8,Homing
nina,d+1 or FC+1,Sm,5,10s cs4~,-5,+6,+6,
nina,"d+1, 2 or FC+1, 2","Sm (TC), Sm (TC)","5,8",s cs1~,-6,+5,+5,
nina,"d+1, 2, 4 or FC+1, 2, 4","Sm (TC), Sm (TC), m","5,8,10", 1~,-14~-12,-3~-1,-3~-1,
nina,"d+1, n+4 or FC+1, n+4","Sm (TC), m","5,10", 1~,-11~-10,0~+1,0~+1,
nina,d+2,l (TC),13,20s cs6~,-12,0,+5,
