name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
paul,in rage 1+2,m,"55(10,45)",20 pc8~17,-22,KND,KND,Rage art
paul,"in rage 1+2, b",m,20,20,-22,TSU,TSU,Rage art
paul,in rage qcf+1+2,m,40(60),12(14~),+3(wl+9),KND,KND,Rage drive
paul,1,h,7,10,+1,+8,+8,
paul,"1, 2","h, h","7,12",10,-1,+6,+6,
paul,"1, 2, 3","h, h, m","7,12,7",10,-25~-24,-14~-13,-14~-13,
paul,"1, 4","h, l (TC)","7,8",s cs10~,-11,+1,+1,
paul,2,h,10(12),10,0,+6,+6,
paul,"2, 3","h, h","12,21",10,-12~-11,KND,CS,
paul,"2, d+3","h, l (TC)","10,11",s cs10~,-12,-1,-1,
paul,3,m,14,15~16,-7~-6,+4~+5,+4~+5,
paul,"3, 2","m, h","14,17",15~16,-3,+7,KND,
paul,4,h,17,12,-7,+7,Launch (JG?),
paul,f+2,h,10,12,0,+6,+6,
paul,"f+2, 3","h, h","10,16",12,-11~-10,+5~+6,+5~+6,
paul,"f+2, 3, 1","h, h, m","10,16,22",12,-12,KND,+19,
paul,f+1+2,m,22,20~21,+3~+4s,+8~+9s,KND,
paul,f+1+4,m,21,21~23,-14~-12,KND,KND,
paul,d/f+1,m,13,14,-2,+4,+4,
paul,"d/f+1, 1","m, h","13,9",14,-5~-4,+5~+6,+8~+9,
paul,"d/f+1, 1, 2","m, h, m","13,9,22",14,-9~-8,KND,KND,
paul,"d/f+1, b","m, (Special)",13,14,+3,+9,+9,
paul,d/f+2,m,13,15~16,-8~-7,Launch (JG?) (+3a),Launch (JG?),
paul,d/f+3,m,14,16,-9,+2,+2,
paul,"d/f+3, 4","m, m","14,17",16,-10~-9,+6~+7,FS (+6~+7),
paul,"d/f+3, 4*","m, m","14,25",16,-6~-5,FS (+6~+7),FS (+6~+7),
paul,d/f+4,m,21,19~20,-1~0,+9~+10,KND,
paul,d+1,m,16,14~15,-9~-8,+2~+3,+3~+4s,
paul,"d+1, D",m,16,14~15s,-9~-8,+2~+3,+3~+4s,
paul,"d+1, 2","m, m","16,26",14~15,-17,KND,KND,
paul,"d+1, 2 (Hold)","m, m","16,39",14~15,+20g,KND,KND,
paul,"d+1, 4","m, l","16,15",14~15,-31,-17,KND,
paul,"d+1, 4, 2","m, l, m","16,15,21",14~15,-14,KND,KND,
paul,d+4 (Close),l,13,15,-31,KND,KND,
paul,d+4,l,9,15,-31,-17,KND,
paul,"d+4, 2","l, m","9,23",15,-18,-9,-9,
paul,d+4:2:1+2,"l, m, m","9,23,22",15,-17~-16,KND,KND,
paul,"d+4, 2:1+2","l, m, m","9,23,25",15,-17~-16,KND,KND,
paul,d+1+2,m?,30,12~13,-16~-15,KND,KND,
paul,d/b+2,m?,21,19~20,-11~-10,KND,Launch,
paul,b+1,h,12,12~13,-9~-8,+2~+3,+2~+3,Homing
paul,"b+1, 2","h, h","12,21",12~13,-5~-4,+8k~+9k,+8k~+9k,Tail spin
paul,b+2,m,22,18,-5s,+4s,+4s,
paul,"b+2, 1","m, m","22,22",18,-12,0s,KND,
paul,"b+2, 1*","m, m","22,35",18,+8~+9s,+8~+9s,KND,
paul,b+3,h,16,14~15,-6~-5,CS,CS,
paul,b+4,l,14,20~21,-13~-12,+3~+4,+3~+4,
paul,b+1+2,h,28,24 pc8~23,0,KND,KND,Power crush
paul,u/b+2,m,22,20~21,-9~-8,KND,CS,Homing
paul,u/f+2,m (TJ),35,34a js8,+9,KND,KND,Wall bounce
paul,u/b+3,m (TJ),12,15~16 js10~,-16~-15,Launch (JG?),Launch (JG?),
paul,u+3,m (TJ),13,15~16 js9~,-16~-15,Launch (JG?),Launch (JG?),
paul,u/f+3,m (TJ),14,15~16 js9~,-16~-15,Launch (JG?),Launch (JG?),
paul,"u/b or u or u/f+3, 4","m (TJ), m (TJ)","14,20",js1~,-13~-12,Launch (JG?),Launch (JG?),
paul,u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
paul,"f, F+2",m,14,15~17 (16~),-17~-15,-7~-5,-7~-5,
paul,"f, F+2, 1","m, m","14,20",15~17 (16~),-12,KND,KND,
paul,"f, F+2, 1, B (Cancel)","m, (Special)",14,15~17 (16~),-21~-19,-11~-9,-11~-9,
paul,"f, F+2, 2","m, l (TC)","14,21",cs15~,-19~-17,Launch,Launch,
paul,"f, F+2, 2, B (Cancel)","m, (Special) (TC)",14,15~s,-28~-26,-18~-16,-18~-16,
paul,"f, F+2:1","m, h","14,24",15~,-4,KMeD,KMeD,
paul,"f, F+3",m (TJ),14,15~16a (16~) js9~,-17~-16,Launch (JG?),Launch (JG?),
paul,"f, F+3, 4","m (TJ), m (TJ)","14,15",js1~,-16~-15,Launch (JG?),Launch (JG?),
paul,"f, F+3, 4, 4","m (TJ), m (TJ), h","14,15,25",1~,-5~-3,KND,KND,
paul,"f, F+3, 4, f or d/f+4","m (TJ), m (TJ), m","14,15,18",1~,-14~-12,KND,KND,
paul,"f, F+3, 4, d or d/b+4","m (TJ), m (TJ), l (TC)","14,15,15",s cs20~,-17~-16,-6~-5,-6~-5,
paul,"f, F+4",m (TJ),20,23~34as (27~) js13~,-5~+6,KND,KND,
paul,"b, f+1",h,22,28~31 (28~),-6~-3,KND,KND,
paul,"b, B+1+2",!,80,63~64 (64~),KND,KND,KND,
paul,WS+2,m,20,15~16,-14~-13,Launch,Launch,
paul,WS+3,m,16,13~14,-8~-7,+3~+4,+3~+4,
paul,"WS+3, 2","m, h","16,21",13~14,-9~-8,KND,CS,Tail spin
paul,WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
paul,FC+d/f+2,m,14,14~16,-17~-16,-7~-6,-7~-6,
paul,FC+d/f+1+2,l (TC),20,32~33s cs1~,-12~-11,KND,KND,
paul,D(Hundred and sixty frames),(Special),-,32~33 1~,-,-,-,
paul,"D(Hundred and sixty frames)n, u+3+4 (On the way up)","m (TJ), m",48,13~18d js9~,-49~-44,Launch,Launch,
paul,"D(Hundred and sixty frames)n, u+3+4 (On the way down)","m (TJ), m",48,46~56d js1~,-21~-11,-10~0s,-10~0s,
paul,SS+1,h,23,20(30~),+8,KND,KND,
paul,SS+3,l,18,19(29~),-12,+4,+12,
paul,"Opponent Down, d+2",l(On grounded opponent),16,18,-12,+4,+4,
paul,qcf,(Special),-,18,-,-,-,
paul,qcf+1,h,21,16~17 (18~),-4~-3,YKU,YKU,
paul,qcf+2 (Close),m,54,13~14 (15~),-17~-16,KND,KND,
paul,qcf+2,m,36,13~14 (15~),-17~-16,KND,KND,
paul,qcf+3,l (TC),17,18~19 (20~) cs6~,-14~-13,0~+1,KND,
paul,qcf+3+4,m (TJ),40,19~20a (21~) js18~,-9~-8,Launch,Launch,
paul,"qcf, or d, d/f, n",-,-,19~20 (21~) 18~,-,-,-,
paul,qcb,(Special),-,19~20 (21~) 18~,-,-,-,
paul,qcb+1,m,24,21~22 (23~),0~+1s,KND,KND,
paul,qcb+2,m,21(31),15(17~),-8,KND,KND,
paul,qcb+3,l (TC),14,18~19s (20~) cs1~,-21~-20,-9~-8,KND,
paul,"qcb+3, 2","l, m","14,20",18~19 (20~) 1~,-10~-9,+6~+7,+6~+7,
paul,"qcb+3, 2, 1","l, m, h","14,20,25",18~19 (20~) 1~,-10~-9,KMeD,KMeD,
paul,"qcb+3, 2, 3","l, m, m","14,20,22",18~19 (20~) 1~,-13,KND,Launch,
paul,qcb+4,h,28,15~16 (17~),+1~+2,KND,CS,"Homing, Tail spin"
paul,qcb+1+2,m?,22,18~19 (20~),-14~-13,Launch,Launch,
paul,1,h,7,10,+1,+8,+8,
paul,2,h,10(12),10,0,+6,+6,
paul,3,m,14,15~16,-7~-6,+4~+5,+4~+5,
paul,4,h,17,12,-7,+7,Launch (JG?),
paul,f+1,h,7,10,+1,+8,+8,
paul,f+2,h,10,12,0,+6,+6,
paul,f+3,h,30,16,-16,KND,KND,
paul,f+4,h,17,12,-7,+7,Launch (JG?),
paul,d/f+1,m,13,14,-2,+4,+4,
paul,d/f+2,m,13,15~16,-8~-7,Launch (JG?) (+3a),Launch (JG?),
paul,d/f+3,m,14,16,-9,+2,+2,
paul,d/f+4,m,21,19~20,-1~0,+9~+10,KND,
paul,d+1,m,16,14~15,-9~-8,+2~+3,+3~+4s,
paul,d+2,Sm (TC),8,11s cs4~,-4,+7,+7,
paul,d+3,l (TC),12,16s cs4~,-17,-3,-3,
paul,d+4 (Close),l,13,15,-31,KND,KND,
paul,d+4,l,9,15,-31,-17,KND,
paul,d/b+1,Sm (TC),5,10s cs4~,-5,+6,+6,
paul,d/b+2,m?,21,19~20,-11~-10,KND,Launch,
paul,d/b+3,l (TC),12,15~17s cs5~,-18~-16,-4~-2,-4~-2,
paul,d/b+4,l (TC),7,12s cs4~,-13,-2,-2,
paul,b+1,h,12,12~13,-9~-8,+2~+3,+2~+3,Homing
paul,b+2,m,22,18,-5s,+4s,+4s,
paul,b+3,h,16,14~15,-6~-5,CS,CS,
paul,b+4,l,14,20~21,-13~-12,+3~+4,+3~+4,
paul,u/b or u or u/f+1,m (TJ),12,18 js9~,-8,+3,+3,
paul,u/b+2,m,22,20~21,-9~-8,KND,CS,Homing
paul,u+2,h,22,15~16,-12~-11,+9~10g,+9~10g,
paul,u/f+2,m (TJ),35,34a js8,+9,KND,KND,Wall bounce
paul,u/b+3,m (TJ),12,15~16 js10~,-16~-15,Launch (JG?),Launch (JG?),
paul,u+3,m (TJ),13,15~16 js9~,-16~-15,Launch (JG?),Launch (JG?),
paul,u/f+3,m (TJ),14,15~16 js9~,-16~-15,Launch (JG?),Launch (JG?),
paul,u/b+4,m (TJ),14,15~17 js9~,-19~-17,-8~-6,-8~-6,
paul,u+4,m (TJ),20,15~17 js9~,-13~-11,KND,Launch (JG?),
paul,u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
paul,"u/f, n+4",m (TJ),25,"23(29,35)",-11(-13),Launch (JG?),Launch (JG?),
paul,WS+1,m,12,10~11,-4~-3,+7~+8,+7~+8,
paul,WS+2,m,20,15~16,-14~-13,Launch,Launch,
paul,WS+3,m,16,13~14,-8~-7,+3~+4,+3~+4,
paul,WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
paul,FC+1,Sm (TC),5,10s cs1~,-5,+6,+6,
paul,FC+d/b or d+2,Sm (TC),8,11s cs1~,-4,+7,+7,
paul,FC+3,l (TC),12,16s cs1~,-17,-3,-3,
paul,FC+4,l (TC),10,12s cs1~,-15,-4,-4,
paul,SS+1,h,23,20(30~),+8,KND,KND,
paul,SS+2,h,10(12),10(11~),0,+6,+6,
paul,SS+3,l,18,19(29~),-12,+4,+12,
paul,SS+4,h,17,12(13~),-7,+7,Launch (JG?),
paul,SS+1+2,h,7,10(11~),+1,+8,+8,
paul,SS+3+4,m,18,15~16 (16~),-7~-6,+4~+5,+4~+5,
paul,BT 1 or 2,h,15,8,-8,+3,+3,
paul,BT 3 or 4,h,25,10,-8,KND,KND,
paul,BT d+1 or 2,Sm,10,10s cs1~,-2,+9,+9,
paul,BT d+3 or 4,l,12,10s cs1~,-11,+3,+3,
