name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
shaheen,in rage 1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
shaheen,"in rage d/b+2, 4","m, h (TJ)","12,12",(14),+6~+7,KND,KND,"Rage drive, Tail spin"
shaheen,"in rage d/b+2, 4, D/F","m, h (TJ), (SNK)","12,12",(14),+19~+20g,KND,KND,"Rage drive, Tail spin"
shaheen,1,h,7,10,+1,+8,+8,
shaheen,"1, 2","h, h","7,9",10,-1,+5,+5,
shaheen,"1, 2, 2","h, h, m","7,9,17",10,-11~-10,+3~+4,CS (12~13),
shaheen,"1, 2, 3","h, h, h","7,9,18",10,-8,+3,+3,
shaheen,"1, 2, 3, D/F","h, h, h (SNK)","7,9,18",10,-1,+10g,+10g,
shaheen,"1, 2, 3, D/F, D/B (Cancel)","h, h, h (SNK)","7,9,18",10,-2,+9,+9,
shaheen,"1, 2, 4","h, h, m","7,9,20",10,-13~-11,KND,KND,
shaheen,2,h,10,10,0,+6,+6,
shaheen,"2, 1","h, m","10,7",10,-4~-3,+2~+3,+2~+3,
shaheen,"2, 3","h, h","10,18",10,-8,+3,+3,
shaheen,"2, 3, D/F","h, h (SNK)","10,18",10,-1,+10g,+10g,
shaheen,"2, 3, D/F, D/B (Cancel)","h, h (SNK)","10,18",10,-2,+9,+9,
shaheen,3 or 3+4,h,20,14,-8,+3,+3,
shaheen,"3, D/F","h, (SNK)",20,14s,-1,+10g,+10g,
shaheen,"3, D/F, D/B (Cancel)","h, (SNK)",20,14s,-2,+9,+9,
shaheen,4,h,16,11,-10,+1,KND,
shaheen,"4, 1","h, h","16,12",11,-5,+4,+4,
shaheen,"4, 3","h, h","16,21",11,-1~0,KND,KND,Tail spin
shaheen,"4, 4","h, m","16,25",11,-13~-12,KND,KND,
shaheen,f+2,h,12,12,-8,-2,-2,
shaheen,"f+2, 3","h, h","12,20",12,-12,KND,KND,
shaheen,"f+2, 4","h, l","12,13",12,-13~-12,-2~-1,KND,
shaheen,"f+2, 4, D/F","h, l, (SNK)","12,13",12,-4~-3,+7~+8,KND,
shaheen,"f+2, 4, D/F, D/B (Cancel)","h, l, (Special)","12,13",12s,-18~-17,-7~-8,KND,
shaheen,"f+2, 4, 4","h, l, h","12,13,21",12,-3~-2,+14~+15kg,Tail spin,Tail spin
shaheen,f+3,m (TJ),17,21 js13~,-5~-4,+6~+7,KND,Homing
shaheen,f+4,h,17,15,-2~-1,KND,KND,"Tail spin, Homing"
shaheen,f+3+4,mm (TJ),"14,14","22~23, 28 js11~24",-7,+5s,+5s,
shaheen,"f+3+4, D/F","mm (TJ), (SNK)","14,14","22~23, 28 js11~24",+1,+13s,+13s,
shaheen,,"mm (TJ), (SNK)","14,14","22~23, 28 js11~24",0,+12s,+12s,
shaheen,d/f+1,m,12,13~14,-1~-2,+5~+6,+5~+6,
shaheen,d/f+2,m,13,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
shaheen,d/f+3,m,20,17,-9,+12kg,+12kg,"Tail spin, Homing"
shaheen,d/f+4,m,16,14,-9,+2,+2,
shaheen,d+2,m?,18,18~19,-6~-5,+8~+9,+8~+9,
