name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
steve,in rage 1+2 or WS+1+2,h,55,13 pc8~,-3,KND,KND,Rage art
steve,in rage d/f+3+4,"(Special), (Special) (TC)",-,13 8~,-,-,-,Rage drive
steve,in rage d/f+2+3,"m, m","14,21",14,+7,JG,JG,Rage drive
steve,in rage D/f+2+3,"m, m (DUK)","14,21",14,+15g,JG,JG,Rage drive
steve,"in rage d/f+3+4, 1+2","(Special), m x 5","10*4,19","15,(35~) cs1~",+1 (wl+7),KND,KND,Rage art
steve,1,h,7,10,+1,+8,+8,
steve,"1, 1","h, h","7,7",10,-3,+3,+3,
steve,"1, 1, 3 or 4 to Weave ","h, h, (Special)","7,7",10,-6,0,0,
steve,"1, 1, 2","h, h, h","7,7,15",10,-7~-6,+4~+5,+4~+5,
steve,"1, 1, 2, f+3 or f+4","h, h, h (DUK)","7,7,15",10,-3,+8,+8,
steve,"1, 1, 2, 3 or 4 to Weave ","h, h, h, (Special)","7,7,15",10,-3,+8,+8,
steve,"1, 1, 2, b+3 or b+4 to Sway ","h, h, h, (Sway)","7,7,15",10,-5,+6,+6,
steve,"1, 1, d+1","h, h, m","7,7,15",10,-6,0,+5,
steve,"1, 1, d+1, B","h, h, m, (FLK)","7,7,15",10,0,+6,+11,
steve,"1, 1, d+1, B, d/b (Cancel)","h, h, m, (FLK)","7,7,15",10s,-2,+4,+9,
steve,"1, 2","h, h","7,10",10,-2,+6,+6,
steve,"1, 2, 3 or 4 to Weave ","h, h, (Special)","7,10",10,-4,+4,+4,
steve,"1, 2, 1","h, h, h","7,10,15",10,-3,+3,+3,
steve,"1, 2, 1, F","h, h, h, (Special)","7,10,15",10,-2,+4,+4,
steve,"1, 2, 1, B","h, h, h, (FLK)","7,10,15",10,-1,+5,+5,
steve,"1, 2, 1, B, d/b (Cancel)","h, h, h, (FLK)","7,10,15",10s,-3,+3,+3,
steve,"1, 2, 1, 3 or 4 to Weave ","h, h, h, (Special)","7,10,15",10,-6,0,0,
steve,"1, 2, 1, 2","h, h, h, m","7,10,15,15",10,-10~-9,KND,KND,
steve,"1, 2, 1, 2","h, h, h, m, (Special)","7,10,15,15",10,-6~-5,KND,KND,
steve,"1, 2, 1, d+2","h, h, h, l (TC)","7,10,15,19",cs10~,-12~-11,+1~+2s,KND,
steve,"1, 2, 1, d+2, d","h, h, h, l (TC)","7,10,15,19",s cs10~,-12~-11,+1~+2s,KND,
steve,"1, d+1","h, m","7,15", 10~,-6,0,+5,
steve,"1, d+1, B","h, m, (FLK)","7,15", 10~,0,+6,+11,
steve,"1, d+1, B, d/b (Cancel)","h, m, (FLK)","7,15", 10~ RC,-2,+4,+9,
steve,2,h,12,12,-1,+5,+5,
steve,"2, 1","h, h","12,14",12,-5,+6,+6,
steve,"2, 1, F","h, h, (Special)","12,14",12,+3,+14 GB,+14,
steve,"2, 1, B","h, h, (FLK)","12,14",12,+3,+14 GB,+14,
steve,"2, 1, B, d/b (Cancel)","h, h, (FLK)","12,14",12 RC,+2,+13 GB,+13,
steve,"2, 1, 2","h, h, m","12,14,22",12,-11,KND,KND,
steve,f+2,m?,11,21~22,-6~-5,+5~+6,+5~+6,
steve,"f+2, 1","m, h","11,12",21~22,-5,-1,-1,
steve,"f+2, 1, F","m, h, (Special)","11,12",21~22,0,+4,+4,
steve,"f+2, 1, B","m, h, (FLK)","11,12",21~22,+1,+5,+5,
steve,"f+2, 1, B, d/b (Cancel)","m, h, (FLK)","11,12",21~22 RC,0,+4,+4,
steve,"f+2, 1~2","m, m","11,20",21,-9,KND,KND,
steve,f+1+2,mh,"10,12","15~16, 23~25",-14~-12,-3~-1,-3~-1,
steve,"f+1+2, 2","mh, m","10,12,20","15~16, 23~25",-13~-12,KND,KND,
steve,d/f+1,m,12,13~14,-2~-1,+5~+6,+5~+6,
steve,"d/f+1, 3 or 4 to Weave ","m, (Special)",12,13~14,-7~-6,0~+1,0~+1,
steve,"d/f+1, 2","m, h","12,13",13~14,-6,+3,+5,
steve,"d/f+1, 2, 3 or 4 to Weave  (Cancel)","m, (Special)",12,13~14,-16~-15,-9~-8,-9~-8,
steve,"d/f+1, 2~1","m, h","12,20",13~14,-2~-1,+2~+3,CS,
steve,d/f+12~1 B,"m, h, (FLK)","12,20",13~14,0~+1,+4~+5,CS,
steve,"d/f+1, 2~2","m, m","12,20",13~14,-9,KND,KND,
steve,"d/f+1, 2~f+1+2","m, hh","12,8,12",13~14,-3,0,0(+3),
steve,"d/f+1, 2~f+1+2 , 3 or 4 to Weave ","m, hh, (Special)","12,8,12",13~14,-4,-1,-1(+2),
steve,d/f+2,m,18,16~17,-11~-10,+6~+7,CS,Homing
steve,"d/f+2, 3 or 4 to Weave ","m, (Special)",18,16~17,-7~-6,+10~+11,CS,Homing
steve,d/f+1+2,mm,"14,21","14,24~25",-12~-11,KND,KND,
steve,d/f+1+2 (Second hit miss),m,14,14,-23,-12s,-12s,
steve,d+1,l (TC),14,16s cs6~,-13,0,0,
steve,d+2,l (TC),13,17 cs6~,-18,-5,-5,
steve,"d+2, 1","l (TC), m","13,8",17 6~,-11~-10,-5~-4,0~+1,
steve,"d+2, 1, 3 or 4 to Weave ","l (TC), m, (Special)","13,8",17 6~,-6~-5,0~+1,+5~+6,
steve,"d+2, 1, 2","l (TC), m, h","13,8,17",17 6~,-2~-1,KND,CS,
steve,d+2~n+1,m,15,29~30,-4~-3,+7~+8,+7~+8,
steve,"d+2~n+1, 3 or 4 to Weave ","m, (Special)",15,29~30,-6~-5,+5~+6,+5~+6,
steve,"d+2~n+1, f+2","m, h","15,17",29~30,-2~-1,KND,CS,
steve,"d+2~n+1 , 2","m, m","15,20",29~30,-13~-12,+3~+4s,KND,
steve,d/b+2 or FC+d/b+2,l (TC),21,26~27 cs6or1~,-12~-11,+1~+2s,KND,
steve,"d/b+2, d/b or D",l (TC),21,26~27s cs6or1~,-12~-11,+1~+2s,KND,
steve,d/b+3,l,10,16,-15,+1,+1,
steve,"d/b+3, 2","l, h","10,16",16,-7~-6,KND,KND,
steve,d/b+1+2,m,21,36~37 pc8~35,-18~-17,+24~+25,+24~+25,Power crush
steve,b+1,h,17,13~14,-14~-13,+2~+3,CS,
steve,"b+1, B","h, (FLK)",17,13~14,-1~0,+9~+10,CS,
steve,"b+1, B, d/b (Cancel)","h, (FLK)",17,13~14s,-3~-2,+7~+8,CS,
steve,"b+1, 2","h, h","17,9",13,-5,+19k,+19k,
steve,"b+1, 2, F","h, h, (PAB)","17,10",13~14,-6~-5,+5~+6,+5~+6,
steve,"b+1, d+2","h, l (TC)","17,10",cs12~,-12~-10,+1~+1,-1~+1,
steve,"b+1, d+2, f","h, l (TC), (PAB)","17,10",12~,-10~-8,+1~+3,+1~+3,
steve,"b+1, d+2, 1","h, l (TC), m","17,10,20",12~,-9~-7,KND,KND,
steve,b+2,m?,20,17~18,-13~-12,CS,CS,
steve,b+1+2,Absorbs 1 h/m hit,-,2~,-,-,-,
steve,When parry successful 1,m,30,14~16,-12~-10,CS,Launch,
steve,u/f+1,m (TJ),18,19~21 js9~,-6~-4,+5~+7,+5~+7,
steve,u or u/f+2,m (TJ),20,22~25 js9~,-14~-11,KND,KND,
steve,u or u/f+3,l (TJ),20,36~37 js9~35,-12~-11,+9~+10,+9~+10,
steve,"u or u/f+3, 2","l (TJ), h","20,16",36~37 9~35,-7~-6,KND,KND,
steve,u or u/f+4,m (TJ),20,23~24 js9~,-14~-13,Launch (JG?),Launch (JG?),
steve,"f, F+2",m,24,14~17 (15~),-13~-10s,KND,KND,
steve,qcf+1,m,21,16(16~),-10,KND,KND,
steve,"qcf+1, B","m, (FLK)",21,16(16~),-3,KND,KND,
steve,"qcf+1, B, d/b (Cancel)","m, (FLK)",21,16s(16~),-4,KND,KND,
steve,qcf+2,l,18,19,-19,+2,+2,
steve,qcf+2 f,l (PAB),18,19,-19,+2,+2,
steve,"qcb, f+2+3",!,70,66~69 (66~),KND,KND,KND,
steve,"f, f, f+2",m (TJ),30,20~24 (23~) js9~,+9~+13g,KND,KND,
steve,WR+1,l (TC),23,16(49~) cs6~,-12,KND,KND,
steve,WS+1,m,12,11~12,-3~-2,+3~+4,+8~+9,
