name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
xiaoyu,in rage b+1+2 or WS+b+1+2 or AOP b+1+2,m,55,20 pc8~17,-27,KND,KND,Rage art
xiaoyu,"in rage RDS d+3, 3+4","l, m, (Special)","7,10",js11~,-4~-3,KND,KND,"Rage drive, Tail spin"
xiaoyu,1,h,7,10,+1,+8,+8,
xiaoyu,"1, 2","h, h","7,8",10,-1,+5,+5,
xiaoyu,"1, 2, 1","h, h, m","7,8,20",10,-9~-8,KND,KND,
xiaoyu,"1, D+2","h, m","7,10",10,-4~-1,+7~+10,+9~+12,
xiaoyu,"1, d+2","h, m(RDS)","7,10",10b,-3~0,+8~+11,+10~+13,
xiaoyu,"1, d+2, 1+2","h, m, m","7,10,24",10,-12~-10,CS,CS,
xiaoyu,2,h,8,10,-2,+6,+6,
xiaoyu,"2, 1","h, m(RDS)","8,10",10b,-4,+7,+7,
xiaoyu,"2, D/F+1","h, m","8,10",10,-4,+7,+7,
xiaoyu,3,h,17,14~15,-11~-10,KND,KND,Tail spin
xiaoyu,4,h,15,11,-9,+8,Launch (JG?),
xiaoyu,4~3,m (TJ),23,23~25s (24~) js10~,-1~+1s,+3~+5s,KND,
xiaoyu,"4~3, d+1+2","m (TJ), (Special)",23,23~25 (24~) js10~,0~+2s,+4~+6s,KND,
xiaoyu,1+2,m,24,20~21,-7~-6,CS,CS,
xiaoyu,3+4 or u+3+4,(Special)(Absorbs 1 h/m hit),-,2~10,-,(+5b),-,
xiaoyu,d+3+4,(Special)(Absorbs 1 h/m hit),-,2~10,-,(+5b),-,
xiaoyu,f+2,m,12,16~17,-7~-6,+4~+5,+4~+5,
xiaoyu,"f+2, 1","m, h","12,14",16~17,-3,+8,+10,
xiaoyu,"f+2, 1, 4","m, h, m","12,14,20",16~17,-12~-11,KND,Tail spin,Tail spin
xiaoyu,f+3,m,14,16~18,-9~-7,+2~+4,+2~+4,
xiaoyu,"f+3, 1","m, m","14,8",16~18b,-4~-2,+7~+9,+7~+9,
xiaoyu,"f+3, 1, 1+2","m, m, mm","14,8,6,20",16~18,-12~-11,+7~+8s,+7~+8s,
xiaoyu,f+4,h,23,19~20,+1~+2,KND,KND,"Tail spin, Homing"
xiaoyu,f+1+2,m,25,12~13,-16~-15,KND,KND,
xiaoyu,f+3+4,(Special),-,s,-,-,-,
xiaoyu,"f+3+4, 3+4","(Special), mmm (TJ)","8,8,14","20~21, 28~29, 37~40s (46~) js23~",-10~-7,KND,KND,
xiaoyu,"f+3+4, 3+4 (second and third hit miss)","(Special), m",8,20~21 (46~),-46,-35,-35,
xiaoyu,"f+3+4, d+1+2","(Special), (AOP)",-,18~19 (44~),-,-,-,
xiaoyu,d/f+1,m (TC)(RDS),11,14b cs6~13,-4,+7,+7,
xiaoyu,D/F+1,m (TC),11,14 cs6~13,-4,+7,+7,
xiaoyu,d/f+2,m,15,15,-6,+5a,+5a,
xiaoyu,d/f+2~1,mm,"8,12","15~16, 22~23 (15~16)",-13~-12,JG,JG,
xiaoyu,d/f+2~1 (Second hit only),m,12,22~23,-12~-11,Launch (JG?),Launch (JG?),
xiaoyu,d/f+3,h,23,23~24 pc8~22,-8~-7,KND,KND,Power crush
xiaoyu,d/f+4,m,12,12,-4,+7,+7,
xiaoyu,d+1,mmm,"7,7,7","17~19, 21~23, 26~32s",-9~-3,+2~+8s,+2~+8s,
xiaoyu,"d+1 (Third hit miss, Second hit only)",mm,"7,7","17~19, 21~23s",-14~-12,-3~-1s,-3~-1s,
xiaoyu,D+1,"mmm, (AOP)","7,7,7","17~18, 21~23, 26~32s",-13~-7,-2~+4s,-2~+4s,
xiaoyu,"D+1 (Third hit miss, Second hit only)","mm, (Special)","7,7","17~18, 21~23a",-18~-16,-7~-5s,-7~-5s,
xiaoyu,d+3,l (TC),12,14s cs6~,-12,-3,+1,
xiaoyu,"d+3, 4","l (TC), h","12,21",14 6~,0~+1,KND,KND,
xiaoyu,d/b+1,m,30,18,-9,KND,KND,
xiaoyu,d/b+3,l(!),0,15,+2,+2s,+12s,
xiaoyu,d/b+4,l,12,18,-12,+7s,KND,
xiaoyu,b+1,m(RDS),10,8~13(b),-,+1,+1,
xiaoyu,B+1,m,10,8~13,-12~-7,-1~+4,-1~+4,
xiaoyu,b+2,m,13,15~16b,-6~-5,+5~+6,+5~+6,Homing
xiaoyu,"b+2, 2","m, l?","13,10",15~16b,-8~-6,+3~+5,+3~+5,
xiaoyu,b+3,h,22,18~19b,-4~-3,+7~+8s,KND,
xiaoyu,b+4,m,14,13~15,-11~-9,0~+2,0~+2,
xiaoyu,"b+4, 4","m, h","14,17",13~15,-9~-8,+14kg,+14kg,Tail spin
xiaoyu,u/b+3+4,m (TJ),23,22~24 js18~,-17~-15,Launch (JG?),Launch (JG?),
xiaoyu,"u/b+3+4, d+1+2","m (TJ), (AOP)",23,22~24 js18~,-19~-17,Launch (JG?),Launch (JG?),
xiaoyu,u+1+2,mm,"5,5","16~18, 22~24s",-11~-9,0~+2s,0~+2s,
xiaoyu,"u+1+2, 2","mm, m","5,5,12","16~18, 22~24",-12,-1,-1,
xiaoyu,"u+1+2, 2, 1","mm, m, m","5,5,12,20","16~18, 22~24",-12~-11,KND,KND,
xiaoyu,"u+1+2, 2, 1, b (Cancel)","mm, m, (RDS)","5,5,12","16~18, 22~24b",-19,-8,-8,
xiaoyu,"u+1+2, 3+4",mm,"5,5","16~18, 22~24",-16~-14,-5~-3s,-5~-3s,
xiaoyu,u or u/f+1,"l (TJ), (AOP)",15,33~35 js9~23,-7~-5,+10~+12s,+10~+12s,
xiaoyu,u/b+3,m,11,16~17 js9~,-13~-12,-1~0,-1~0,
xiaoyu,u+3,m,15,16~17 js9~,-13~-12,KND,Launch (JG?),
xiaoyu,u/f+3,m,13,16~17 js9~,-13~-12,Launch (JG?),Launch (JG?),
xiaoyu,u+4,m (TJ),20,23~26 js9~,-7~-4,+4~+7s,KND (+4~+7s),
xiaoyu,u/f+4,m (TJ),23,23~26 js9~,-3~0,+8~+11s,KND,
xiaoyu,"u/f+4, D",m (TJ),23,23~26s js9~,-7~-4,+4~+7s,KND,
xiaoyu,"u/f+4, d+1+2","m (TJ), (AOP)",23,23~26 js9~,-9~-6,+2~+5s,KND,
xiaoyu,u/f+1+2,m (TJ),23,26~27 js9~,+3~+4s,+7~+8s,KND,
xiaoyu,"u/f+1+2, B",m (TJ)(RDS),23,26~27b js9~,+3~+4s,+7~+8s,KND,
xiaoyu,u/f+3+4,mmm (TJ),"8,10,12","16~17 ,27~28, 36~37(b) js9~",-3~-2,KND,KND,
xiaoyu,u/f+3+4 (Third hit miss),mm (TJ),"8,10","16~17 ,27~28(b) js9~",-21~-20,-,-,
xiaoyu,"f, F+1",m,19,15(16~),-11,0s,0s,
xiaoyu,"f, F+1, D","m, (AOP)",19,15(16~),-5,+6s,+6s,
xiaoyu,"f, F+1, 3","m, h","19,20",15(16~),-1~0,KND,KND,
xiaoyu,"f, F+1, 4","m, m","19,20",15(16~),-12~-11,KND,KND,
xiaoyu,"f, F+2",m,12,15(16~),-5,+6,+6,
xiaoyu,"f, F+2, 1","m, m","12,20",15(16~),-12~-11,KND,KND,
xiaoyu,"f, F+2, 1, b (Cancel)","m, (RDS)",12,15b(16~),-19,-8,-8,
xiaoyu,"f, F+3",m,13,14~15b (15~),-5~-4,+6~+7,+7~+8y,
xiaoyu,"f, F+4",m (TJ),25,24(25~) js9~20,+1,KND,KND,
xiaoyu,"f, F+4, When guarded4","m (TJ), (Special)",-,24(25~) 9~20,+5,-,-,
xiaoyu,"f, F+1+2",m,12,14~16 (15~),-9~-7,+5~+7,+5~+7,
xiaoyu,"f, F+1+2, 1+2","m, m","12,21",14~16 (15~),-8~-7,+5~+6s,KND,
xiaoyu,"f, F+3+4",m (TJ),25,37~45,-5~+3,KND,KND,
xiaoyu,"f, f, f+3","m (TJ), (Special)",20,23~30 (26~) js3~,+7~+14g,KND,KND,
xiaoyu,WS+2,m,17,13~15b,-4~-2,+7~+9,Launch (JG?),
xiaoyu,"WS+2, b or f",m,17,13~15,-6~-4,+5~+7,Launch (JG?),
xiaoyu,WS+2*,m,20,22b,-3,Launch (JG?),Launch (JG?),
xiaoyu,"WS+2*, b or f",m,20,22,-5,Launch (JG?),Launch (JG?),
xiaoyu,WS+3,m,22,22~23,+3~+4s,+6~+7s (KND),Launch,
xiaoyu,WS+4,m,20,11~13,-10~-8,KND,KND,
xiaoyu,WS+b+4 or QCB+4,h,20,14~16,-4~-2,+1~+3,CS,
xiaoyu,FC+3,l (TC),11,15~17s cs1~,-15~-13,-4~-2,-4~-2,
xiaoyu,"FC+3, 2","l (TC), h","11,6",15~17 1~b,0,+7,+7,
xiaoyu,"FC+3, 2, 1","l (TC), h, h","11,6,6",15~17 1~,-1,+6,+10,
xiaoyu,"FC+3, 2, 1, 4","l (TC), h, h, m","11,6,6,12",15~17 1~,-18~-16,Launch (JG?),Launch (JG?),
xiaoyu,FC+d/f+2,l (TC),10,19s cs1~,-17,-6,-6,
xiaoyu,"FC+d/f+2, D/F",l (TC)(RDS),10,19bs cs1~,-8,+3,+3,
xiaoyu,"FC+d/f+2, 1","l (TC), l (TC)","10,14",s cs1~,-11,0,0,
xiaoyu,"FC+d/f+2, 1, D/F","l (TC), l (TC)(RDS)","10,14",bs cs1~,-8,+3,+3,
xiaoyu,FC+d/f+4,"l (TC), (AOP)",10,18~20 cs1~,-7~-5,+4~+6,+4~+6,
xiaoyu,"FC+d/f+4, 4","l (TC), l (TC)","10,10",s cs1~,-6~-4,+5~+7,+5~+7,
xiaoyu,SS+3,l (TC),23,27~28 (36~) cs6~,-23,KND,KND,Homing
xiaoyu,"SS+3, d+1+2","l (TC), (AOP)",23,27~28 (36~) cs6~,-,KND,KND,Homing
xiaoyu,"SS+3, b (Cancel)",(RDS),-,bs,-,-,-,
xiaoyu,SS+4,l (TC),19,18~19s (27~) cs6~,-13~-12,-2~-1,KND,
xiaoyu,1+3+4,(Special) (TJ),-,18~19 (27~) 6~,-,-,-,
xiaoyu,2+3+4,(Special),-,18~19 (27~) 6~,-,-,-,
xiaoyu,d/b+1+2 (SSR),(HYP),-,18~19 (27~) 6~,-,-,-,
xiaoyu,u/b+1+2 (SSL),(HYP),-,18~19 (27~) 6~,-,-,-,
xiaoyu,HYP 1+2,(HYP),-,18~19 (27~) 6~,-,-,-,
xiaoyu,HYP 1+4,"(Special), Parry",-,18~19 (27~) 6~,-,+5,-,
xiaoyu,HYP 2 (After on step),m(HYP),25,22(42),-4,KND,KND,
xiaoyu,HYP 2 (After two step),m(HYP),30,22(67),+5,KND,KND,
xiaoyu,HYP 2 (After three step),m(HYP),35,22(92),+24,KND,KND,
xiaoyu,HYP 4,h,20,"14~16 (34,51,84)",-4~-2,+1~+3,CS,
xiaoyu,HYP 3+4,h (TJ),26,"25~26a (45,70,95) js12~",+2~+3,KND,KND,
xiaoyu,HYP 2+3 (After on step),!?(HYP),40,61(81),KND,KND,KND,
xiaoyu,HYP 2+3 (After two step),!?(HYP),50,61(106),KND,KND,KND,
xiaoyu,HYP 2+3 (After three step),!?(HYP),60,61(131),KND,KND,KND,
xiaoyu,b+3+4,(RDS),-,b,-,-,-,
xiaoyu,FC+d/b+3+4,(Special),-,b,-,-,-,
xiaoyu,"RDS u/f, f",(Special),-,-,-,-,-,
xiaoyu,"RDS u/f, f, D/F",(Special),-,s,-,-,-,
xiaoyu,RDS 1,m,17,16~18,-5~-3,+4~+6,CS,
xiaoyu,"RDS 1, 4","m, h (TJ)","17,24",js12~,-6~-3,KND,Tail spin,Tail spin
xiaoyu,RDS 2,h(RDS),9,12b,0,+6,+6,
xiaoyu,"RDS 2, 1","h, h","9,8",12,-1,+6,+10,
xiaoyu,"RDS 2, 1, 4","h, h, m","9,8,15",12,-18~-16,Launch (JG?),Launch (JG?),
xiaoyu,"RDS 2, 2","h, m","9,12",12b,-7~-5,+4~+6,+4~+6,
xiaoyu,"RDS 2, 2, 1","h, m, mmm","9,12,7,7,7",12s,-13~-7 (-18),-2~+4s,-2~+4s,
xiaoyu,"RDS 2, 2, 1, D","h, m, mmm, (AOP)","9,12,7,7,7",12,-13~-7 (-18),-2~+4s,-2~+4s,
xiaoyu,RDS 3,m (TJ),25,18~19b js9~,-19~-18,KND,KND,Wall bounce
xiaoyu,RDS 4,m,17,13~15,-18~-16,Launch (JG?),Launch (JG?),
xiaoyu,RDS 1+2,mm,"6,6","16~18, 23~24",-5~-4,+6~+7,+6~+7,
xiaoyu,"RDS 1+2, 1+2","mm, mm","6,6,6,6","16~18, 23~24s",-11~-10,0~+1s,0~+1s,
xiaoyu,RDS 3+4 or u+3+4,(Special),-,"16~18, 23~24",-,-,-,
xiaoyu,RDS d+3+4,(Special),-,"16~18, 23~24",-,-,-,
xiaoyu,RDS 1+4,Parry(RDS),-,1~,-,+5,-,
xiaoyu,RDS f+1+2,m(h or m punch parry),21,23,-8,+3(CS),+5,
xiaoyu,RDS f+3+4,(Special)?(RDS),-,b,-,-,-,
xiaoyu,"RDS f+3+4, 3+4",m(RDS),23,12~13b (25~26) ar1~,-11~-10,Launch (JG?),Launch (JG?),
xiaoyu,RDS b+3+4,(RDS),-,b,-,-,-,
xiaoyu,RDS d+3,l,10,16,-12,+7s,+7s,
xiaoyu,"RDS d+3, 4","l, h","10,20",16,-5~-4,KND,Tail spin,Tail spin
xiaoyu,RDS d+4,l,21,24~26s cs8~,-26,KND,KND,
xiaoyu,RDS d/b or d or d/f+1+2,(RDS),-,24~26 8~,-,-,-,
xiaoyu,RDS d+1+4,Low parry(RDS),-,1~,-,-,-,
