name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
yoshimitsu,in rage b+1+2,m,-,20?,-,KND,KND,
yoshimitsu,in rage u/b+1+4,Attack returned,20,6~,-,KND,KND,Rage drive
yoshimitsu,1,h,9,10,+1,+8,+8,
yoshimitsu,"1, 1","h, m","9,21",10,-8~-7,+4~+5s,KND,
yoshimitsu,"1, 2","h, m","9,16",10,-9,-3,-3,
yoshimitsu,"1, 2, 1","h, m, h","9,16,20",10,-9,-2,KND,
yoshimitsu,2,h,13,10,-1,+5,+8,
yoshimitsu,"2, 1","h, m","13,31",10,-9,KND,KND,Tail spin
yoshimitsu,"2, 1, B (Cancel)","h, (Special)",13,10,-13,-7,-4,
yoshimitsu,"2, 2","h, h","13,10",10,-1,+5,+5,
yoshimitsu,"2, 2, 1+2","h, h, (KIN)","13,10",10,-,+,+,
yoshimitsu,"2, 3","h, h","13,28",10,-10,KND,KND,Tail spin
yoshimitsu,"2, d+3","h, l (TC)","13,14",10 RC,-12,-1,-1,
yoshimitsu,3~4,mm (TJ),"16,21","17,28~29 (18~)",-6~-5,+3~+4?,+3~+4?,
yoshimitsu,"3~4, u/b or u or u/f","mm (TJ), (Special) (TJ)(DGF)","16,21","17,28~29 a(18~)",+5~+6,+9~+10?,+9~+10?,
yoshimitsu,3~4 (Second hit miss),m,16,17(18~),-19? (Stance-9?),-,-,
yoshimitsu,4~3,m (TC),33,25a(26~),-12,Launch,Launch,
yoshimitsu,4,h,22,15,-11,0,KND,
yoshimitsu,"4, 4","h, h","22,22",15,-4,-2,-2,
yoshimitsu,"4, 4, 4","h, h, h","22,22,27",15,-4,KND,KND,Tail spin
yoshimitsu,1+4 or WS+1+4,m,28,6,-15,CS,CS,
yoshimitsu,4~1,m,28,6(7~),-15,CS,CS,
yoshimitsu,1+2+3,m(!),0,22~25,-8~-5,0~+3,+16~+19,
yoshimitsu,f+2,h,24,17,-4,+13kg,SCD,Tail spin
yoshimitsu,"f+2, d/b+2","h, m","24,10",17 RC,-5~-4,+6~+7,+6~+7,
yoshimitsu,"f+2, D/B+2, 2","h, m, m","24,10,9",17 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"f+2, D/B+2, 2, 2","h, m, m, m","24,10,9,8",17 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"f+2, D/B+2, 2, 2, 2","h, m, m, m, m","24,10,9,8,6",17 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"f+2, D/B+2, 2, 2, 2, 2","h, m, m, m, m, m","24,10,9,8,6,5",17 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"f+2, D/B+2, 2, 2, 2, 2, 2","h, m, m, m, m, m, m","24,10,9,8,6,5,",17 RG,-49~-46,-38~-35,-38~-35,
yoshimitsu,f+3,h,32,16,-10,KND,KND,"Homing, Tail spin"
yoshimitsu,"f+3, 3","h, l (TC)","32,21",16,-20,KND,KND,
yoshimitsu,"f+3, 3, d+3+4","h, l (TC), (IND)","32,21",16 Air,-35,KND,KND?,
yoshimitsu,"f+3, 4","h, m","32,27",16b,-6,Launch,Launch,
yoshimitsu,f+4,m,33,18,-9,KND,KND,Wall bounce
yoshimitsu,f+1+2,m,29,17?~18,-8?~-7,KND,KND,
yoshimitsu,f+3+4,"m(, (Special))(FLE)",27(35),21~25?,-14~-10?,KND,KND,Power crush
yoshimitsu,"f+3+4, b",(Special),-, RBT,-,-,-,Power crush
yoshimitsu,d/f+1,m,14,13,-4,+5,+5,
yoshimitsu,"d/f+1, 2","m, h","14,",13,-4,+13kg,SCD,Tail spin
yoshimitsu,"d/f+1, 4","m, m","14,17",13,-12,+4?,+,
yoshimitsu,d/f+2,m,17,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
yoshimitsu,d/f+3,m,13,17~18 RC,-4~-3,+4~+5,+4~+5,
yoshimitsu,"d/f+3, 1","m, m","13,27",17~18,-9~-8?,+3~+4?s,KND,
yoshimitsu,"d/f+3, 1* (Cancel)","m, !","13,27～",17~18,0~+1 OC,0~+1 OC,KND,
yoshimitsu,d/f+1+2,l (TC),12,26 RC,-11,+4,+7,
yoshimitsu,"d/f+1+2, 2","l (TC), m","16,27",26,-13,0,+6k,
yoshimitsu,d+1,m,20,24~25,-5~-4,0~+1 OC,KND,
yoshimitsu,"d+1, *, n (After on step)",!,27,65~66,0~+1 OC,0~+1 OC,KND,
yoshimitsu,"d+1, *, n (After two step)",!,33,100~101,0~+1 OC,0~+1 OC,KND,
yoshimitsu,"d+1, *, n (After three step)",!,40,135~136,0~+1 OC,0~+1 OC,KND,
yoshimitsu,"d+1, *, n (Four steps)",!,54,170~171,KND,KND,KND,
yoshimitsu,"d+1, *, n (Five steps)",!,81,205~206,KND,KND,KND,
yoshimitsu,"d+1, *, n (Six steps)",!,135,240~241,KND,KND,KND,
yoshimitsu,"d+1, *, B (Cancel)",(Special),-,240~241,-,-,-,
yoshimitsu,d+2,m (TC),16,16~17,-9~-8,0~+1,0~+1,
yoshimitsu,"d+2, 1","m (TC), h","16,22",16~17,-9?,KND,-,Tail spin
yoshimitsu,"d+2, 2","m (TC), m","16,22",16~17,-12~-11,+7~+8,CS,
yoshimitsu,"d+2, 2, 1","m (TC), m, h","16,22,27",16~17,-9,KND,KND,
yoshimitsu,"d+2, 2, d+1","m (TC), m, m","16,22,22",16~17,-10,+4s,KND,
yoshimitsu,"d+2, 2, 2+3","m (TC), m, (Special)","16,22",16~17,-12~-11,+7~+8,CS,
yoshimitsu,d+1+4,!,"81(,22)",30d,CS,CS,CS,
yoshimitsu,"d+1+4, b+1 (one spin)","!, !","81,24",30 RG,CS,CS,CS,
yoshimitsu,"d+1+4, B+1, 1 (two spins)","!, !, !","81,24,27",30 RG,CS,CS,CS,
yoshimitsu,"d+1+4, B+1, 1, 1 (three spins)","!, !, !, !","81,24,27,28",30 RG,CS,CS,CS,
yoshimitsu,"d+1+4, B+1, 1, 1, 1 (four spins)","!, !, !, !, !","81,24,27,28,",30 RG,CS,CS,CS,
yoshimitsu,"d+1+4, B+1, 1, 1, 1, 1 (five spins)","!, !, !, !, !, !","81,24,27,28,",30 RG,CS,CS,CS,
yoshimitsu,d/b+1,m,21,20,-16,0 OC,0 OC,
yoshimitsu,"d/b+1, 1","m, m","21,31",20,-8,KND,KND,
yoshimitsu,d/b+2,m,10,15 RC,-5,+6,+6,
yoshimitsu,"D/B+2, 2","m, m","10,9",15 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"D/B+2, 2, 2","m, m, m","10,9,7",15 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"D/B+2, 2, 2, 2","m, m, m, m","10,9,8,6",15 RC,-9~-8,+2~+3,+2~+3,
yoshimitsu,"D/B+2, 2, 2, 2, 2","m, m, m, m, m","10,9,8,6,5",15 RC,-9~-8,+2~+3,+2~+3,
