name,cmd,hit,dmg,speed,onBlock,onHit,onCounter,notes
zafina,In rage d/f+3+4,m (throw),"10,45",20 pc8~,-22,throw,throw,Rage Art
zafina,In Rage f+2+3,m (throw),"10,20",14,+19g,throw,throw,Rage Drive
zafina,1,h,7,10,+1,+8,+8,
zafina,"1, 2","h, h","7,9",-,-5,+4,+4,
zafina,"1, 2, 3","h, h, h (SCR)","7,9,12",-,0,+9,+9,
zafina,"1, 2, 3, B","h, h, h","7,9,12",-,-9,0,0,
zafina,"1, 3","h, h (SCR)","7,14",-,-2,+7,+7,
zafina,"1, 3, B","h, h","7,14",-,-8,+1 ,+1,
zafina,"1, 4","h, m (TRT)","7,17",-,-5,+2,KND,
zafina,2,h,8,10,-7,-1,-1,
zafina,"2, 1","h, m","8,9",10,-6s,+2s,+2s,
zafina,"2, 1, 3","h, m, l (MNT)","8,9,17",10,-17,KND,KND,
zafina,"2, 1, 3, D","h, m (MNT)","8,9",10,-17s,-9s,-9s,
zafina,"2, 2","h, m","8,12",10,-9,+2,+7,
zafina,"2, 2, 1+2","h, m, m*3","8,12,7,11,20",10,-9s,+4s,+4s,
zafina,3,h (SCR),17,13,0,+9,+9,
zafina,"3, B",h,17,13,-8,+1,+1,
zafina,4,h,19,14,-6,-1,KND,
zafina,1+2,m,20,16,-12,+4,KND,
zafina,"1+2, 4","m, m","20,12",16,-10,+1,+6,
zafina,"1+2, 4, 4","m, m, m","20,12,26",16,-11,KND,KND,Tail spin
zafina,f+2,m,17,19,-18,-6,KND,
zafina,"f+2, 3","m, h (SCR)","17,12",19,0,+9,+9,
zafina,"f+2, 3, B","m, h","17,12",19,-9,0,0,
zafina,"f+2, 3, 4","m, h, m","17,12,25",19,-18,KND,KND,Wall bounce
zafina,f+3,h (SCR),28,21,+3,KND,KND,Tail spin
zafina,"f+3, B",h,28,21,-1,KND,KND,Tail spin
zafina,f+4,h,13,14,-6,KND,KND,Tail spin
zafina,f+1+2,m,24,19,-10,KND,KND,
zafina,d/f+1,m,11,13,-5,+7,+7,
zafina,"d/f+1, 2","m, m","11,16",13,-13,+3,+3,
zafina,"d/f+1, 2, 1","m, m, m","11,16,20",13,-13,KND,KND,
zafina,"d/f+1, 4","m, h","11,18",13,-6,+12k,+12k,
zafina,d/f+2,m,13,16,-12,Launch,Launch,
zafina,d/f+3,m (SCR),15,14,-5,+4,+4,
zafina,"d/f+3, B",m,15,14,-10,-1,-1,
zafina,"d/f+3, 4","m, h","15,17",14,-6,KND,KND,Tail spin
zafina,"d/f+3, d+4","m, l (TC)","15, 15",14,-14,+1s,+1s,
zafina,d/f+4,m,14,14,-14,+3,+3,
zafina,"d/f+4, 1","m, m","14,22",14,-13s,KND,KND,
zafina,"d/f+4, 1, D",m (Special),14,14,-18,-2,-2,
zafina,"d/f+4, 2","m, m","14,20",14,-13,KND,KND,
zafina,d/f+1+2,m (TC),20 cs6,36,-9,KND,KND,Homing
zafina,d+1,m,11,12,-16,-8s,-3s,
zafina,"d+1, 1","m, m","11,17",12,-12,KND,CS,
zafina,d+2,m,17,19,-16s,-3s,KND,
zafina,"d+2, 4","m, m (TJ) (MNT)","17,13",19,-22,-4,-4s,
zafina,"d+2, 4, D","m, m (TJ) (TRT)","17,13",19,-22,-4,-4s,
zafina,"d+2, 4, 3","m, m, m (TJ)","17,13,15",19,-14,KND,KND,
zafina,d+3,l (TC),14,22 cs6,-15,+2s,KND,
zafina,"d+3, D",l (TC) (MNT),14,22 cs6,-1,+4s,KND,
zafina,d+4,l,8,17,-19,-3,+7,
zafina,"d+4, 3","l, h (TJ)","8,10",17,-6,JG,JG,
zafina,d/b+1,sm (TC),5,10 cs4,-5,+6,+6,
zafina,d/b+2,m,17,13,-9,+3,KND,
zafina,d/b+3,l (SCR),15,18,-8,+3,+3,
zafina,"d/b+3, B",l,15,18,-11,0,0,
zafina,d/b+4,l (TC),14,21 cs6,-13,-4,+3,
zafina,"d/b+4, D",l (TC) (MNT),14,21 cs6,-14,-5,+2,
zafina,"d/b+4,2","l, m","14,17",21,-13,Launch,Launch,
zafina,d/b+1+2,l (TC) (MNT),17,28 cs9,-16,KND,KND,
zafina,"d/b+1+2, 1+2","l (TC), m","17,14",28,-14,KND,KND,
zafina,b+1,m,14,18,-14,2,2,
zafina,"b+1, when hit 1+2",m,"14,42",18,-,Throw,Throw,
zafina,b+2,h,22,22,-5,KND,Launch,Homing
zafina,b+3,m,23,24 pc8,-9s,-5s,-5s,Power Crush
zafina,"b+3, D",m (MNT),23,24 pc8,-8s,-4s,-4s,Power Cursh
zafina,b+4,m,14,22,-9,+4,+4,
zafina,"b+4, 4","m, m","14,20",22,-14,KND,KND,
zafina,b+1+2,l (TC),12,16 cs7,-17,-2s,-2s,
zafina,b+2+3,m!,40,64,KND,KND,KND,
zafina,u/b or u+1,m (TJ),12,18 js9,-12,-1,-1,
zafina,u/f+1,h,20,19,+4,+9,+9,
zafina,u/b or u or u/f+22,h,17,15,-12,+9g,+9g,
zafina,u/b+3,m (TJ),19,22 js8,-17,-6,-6,
zafina,u+3,m (TJ),25,22 js8,-8,KND,KND,
zafina,u/f+3,m (TJ),25,22 js8,-8,KND,KND,
zafina,u/b+4,m (TJ),16,17 js9,-17,-6,-6,
zafina,u+4,m (TJ),18,17 js9,-13,Launch,Launch,
zafina,u/f+4,m (TJ),18,17 js9,-13,Launch,Launch,
zafina,"u/f, N, 4",m (TJ),25,25 js9,-9,KND,KND,
zafina,U/F+4,m,25,25,-8,+3,+3,
zafina,u/f+1+2,m (TJ) (TRT),20,21 js9,-7,+6,CS,
zafina,"u/b, b",(Special),-,50,-,-,-,
zafina,"u/b, b+3+4",(MNT),-,56,-,-,-,
zafina,"f, F+2",h,28,15,+1,KND,Launch,"Homing, Tail spin"
zafina,"f, F+3",m (SCR),24,20,+4,+9s,KND,
zafina,"f, F+3, B",m,24,20,+4,+9s,KND,
zafina,"f, F+3, 1","m, m","24,24",20,-16,KND,KND,
zafina,"f, F+4",m (TJ),22,17 js6,-8,KND,KND,"Homing, Tail spin"
zafina,"f, F+3+4",mm (TJ),"10,21",21 js6,-11,KND,KND,
zafina,"f, F+3+4, D",mm (TJ) (MNT),"10,21",21,-12,KND,KND,
zafina,"f, f, f+3 or WR+3",m (TJ),30,23 js3,+6,KND,KND,
zafina,WR+4,l,21,14,-40,KND,KND,
zafina,"WR+4, D",l (TRT),21,14,-51,KND,KND,
zafina,"WR+4, U",l (BT),21,14,-52,KND,KND,
zafina,FC+1,Sm (TC),5,10,-5,+6,+6,
zafina,FC+2,Sm (TC),8,11,-4,+7,+7,
zafina,FC+3,l (TC),12,16,-17,-3,-3,
zafina,FC+4,l (TC),10,12,-15,-4,-4,
zafina,WS+1,m,9,15,-10,+1,+1,
zafina,"WS+1, 2","m, m","9,10",15,-13,Launch,Launch,
zafina,WS+2,m,20,18,-14,Launch,Launch,
zafina,"WS+2, D",m (MNT),20,18,-40,Launch,Launch,
